"word","uni_lemma","avg_surprisal","child_name"
"you","you",1.7825946741389,"Average_child"
"it","it",2.36647084183364,"Average_child"
"me","me",2.77821063960748,"Average_child"
"that","that",2.80431993720086,"Average_child"
"on","on",2.90460079054344,"Average_child"
"in","in",3.20578151487629,"Average_child"
"i","i",3.29155062791461,"Average_child"
"dont","don't",3.40969305420245,"Average_child"
"your","your",3.43656285943088,"Average_child"
"up","up",3.49890612371394,"Average_child"
"go","go",3.54656053370606,"Average_child"
"this","this",3.58311734455579,"Average_child"
"down","down",3.69253671718505,"Average_child"
"what","what",3.69361015832526,"Average_child"
"see","see",3.77184194508302,"Average_child"
"not","not",3.81860478293279,"Average_child"
"get","get",3.81983268781311,"Average_child"
"there","there",3.88306668116688,"Average_child"
"out","out",4.04158328347886,"Average_child"
"put","put",4.05633599138262,"Average_child"
"off","off",4.11809901060284,"Average_child"
"some","some",4.30364255260455,"Average_child"
"back","back (location)",4.64250158746811,"Average_child"
"good","good",4.70318727270735,"Average_child"
"play","play",4.72801118245828,"Average_child"
"my","my",4.76424411764028,"Average_child"
"big","big",4.78322253102726,"Average_child"
"all","all",4.82602639399437,"Average_child"
"say","say",4.83084289679981,"Average_child"
"little","little (description)",4.83805251941421,"Average_child"
"more","more",4.8475038263171,"Average_child"
"now","now",4.85452813682989,"Average_child"
"other","other",4.85951783204795,"Average_child"
"no","no",4.8675818260847,"Average_child"
"look","look",4.94788521586872,"Average_child"
"her","her",4.96641932107603,"Average_child"
"take","take",5.00498138998466,"Average_child"
"house","house",5.0777731452488,"Average_child"
"head","head",5.09088106552877,"Average_child"
"away","away",5.18647200026543,"Average_child"
"his","his",5.22142898329336,"Average_child"
"nice","nice",5.27019992946623,"Average_child"
"car","car",5.38855903328395,"Average_child"
"eat","eat",5.39621665756632,"Average_child"
"mouth","mouth",5.65841467698309,"Average_child"
"baby","baby",5.66150882152264,"Average_child"
"where","where (question)",5.66200920435362,"Average_child"
"another","another",5.72767244633605,"Average_child"
"how","how",5.73430984831669,"Average_child"
"boy","boy",5.73475899230082,"Average_child"
"book","book",5.73482990583071,"Average_child"
"give","give",5.79310713060727,"Average_child"
"when","when (question)",5.8072410406686,"Average_child"
"box","box",5.85551899746781,"Average_child"
"daddy","daddy",5.96699826965455,"Average_child"
"hand","hand",5.97867221577463,"Average_child"
"girl","girl",6.0264139044053,"Average_child"
"mommy","mommy",6.08370045413868,"Average_child"
"door","door",6.10090836640915,"Average_child"
"morning","morning",6.1454844348548,"Average_child"
"today","today",6.29101338760717,"Average_child"
"hair","hair",6.39165062842444,"Average_child"
"help","help",6.49879504405086,"Average_child"
"nose","nose",6.62033557039695,"Average_child"
"water","water (beverage)",6.63018604777084,"Average_child"
"water","water (not beverage)",6.63018604777084,"Average_child"
"why","why",6.69927344244432,"Average_child"
"man","man",6.70311075792905,"Average_child"
"chair","chair",6.73352599428068,"Average_child"
"bed","bed",6.73843407169626,"Average_child"
"day","day",6.74823450138966,"Average_child"
"face","face",6.79489842541728,"Average_child"
"work","work (place)",6.80640000801877,"Average_child"
"red","red",6.87751592021506,"Average_child"
"who","who",6.90001053319417,"Average_child"
"home","home",6.93557249469425,"Average_child"
"show","show",7.00961401659291,"Average_child"
"same","same",7.04608230552204,"Average_child"
"table","table",7.05059578558194,"Average_child"
"picture","picture",7.07761533153793,"Average_child"
"hat","hat",7.08328005116614,"Average_child"
"dog","dog",7.10101036369119,"Average_child"
"sleep","sleep",7.15325048348256,"Average_child"
"yes","yes",7.20465061055258,"Average_child"
"please","please",7.20840531412732,"Average_child"
"fall","fall",7.28136895858703,"Average_child"
"foot","foot",7.41947224455904,"Average_child"
"bring","bring",7.42688881430465,"Average_child"
"read","read",7.46679107756812,"Average_child"
"train","train",7.4725566064755,"Average_child"
"open","open (action)",7.47690921480712,"Average_child"
"drink","drink (action)",7.54366711017913,"Average_child"
"drink","drink (beverage)",7.54366711017913,"Average_child"
"hurt","hurt (description)",7.55633458468912,"Average_child"
"ball","ball",7.55782382240571,"Average_child"
"hard","hard",7.64123769981528,"Average_child"
"careful","careful",7.74270026221358,"Average_child"
"people","people",7.75921018690349,"Average_child"
"horse","horse",7.77674291640602,"Average_child"
"blue","blue",7.81174298081564,"Average_child"
