word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,4.336086591084798
animal,animal,NA
another,another,5.048420111338298
apple,apple,NA
arm,arm,NA
asleep,asleep,NA
aunt,aunt,NA
away,away,7.497418403625488
baby,baby,NA
babysitter,babysitter,NA
back,back (location),4.7157210350036625
bad,bad,NA
ball,ball,4.86828030858721
balloon,balloon,NA
banana,banana,NA
bath,bath,NA
bathroom,bathroom,NA
bathtub,bathtub,NA
beach,beach,NA
beads,beads,NA
bear,bear,NA
bed,bed,7.111259937286377
bedroom,bedroom,NA
bee,bee,NA
bib,bib,NA
bicycle,bicycle,NA
big,big,5.830909967422485
bird,bird,5.327323981693813
bite,bite,5.896910508473714
blanket,blanket,NA
block,block,6.449502944946289
blow,blow,5.716291109720866
blue,blue,NA
book,book,5.328243970870972
boots,boots,6.368101596832275
bottle,bottle,NA
bowl,bowl,NA
box,box,NA
boy,boy,4.59014876683553
bread,bread,NA
break,break,NA
breakfast,breakfast,NA
bring,bring,7.250469207763672
broken,broken,NA
broom,broom,NA
brother,brother,NA
brush,brush (object),NA
bubbles,bubbles,NA
bug,bug,NA
bump,bump,NA
bunny,bunny,NA
bus,bus,NA
butter,butter,NA
butterfly,butterfly,NA
button,button,NA
bye,bye,NA
cake,cake,NA
candy,candy,NA
car,car,NA
careful,careful,NA
carrots,carrots,NA
cat,cat,NA
cereal,cereal,NA
chair,chair,NA
cheek,cheek,NA
cheerios,cheerios,NA
cheese,cheese,NA
chicken,chicken (animal),NA
chicken,chicken (food),NA
child,child,NA
church,church,NA
clean,clean (action),NA
clean,clean (description),NA
clock,clock,NA
close,close,6.223049163818359
coat,coat,6.152021408081055
cockadoodledoo,cockadoodledoo,NA
coffee,coffee,NA
cold,cold,5.6949180364608765
comb,comb (object),NA
cookie,cookie,5.0825215975443525
couch,couch,NA
cow,cow,NA
cracker,cracker,NA
crib,crib,NA
cry,cry,NA
cup,cup,5.941596508026123
cute,cute,NA
daddy,daddy,NA
dance,dance,NA
dark,dark,NA
day,day,NA
deer,deer,NA
diaper,diaper,NA
dinner,dinner,NA
dirty,dirty,NA
dish,dish,NA
dog,dog,NA
doll,doll,NA
dont,don't,4.685370547430856
donkey,donkey,NA
door,door,NA
down,down,5.749709367752075
draw,draw,NA
drawer,drawer,NA
dress,dress (object),NA
drink,drink (action),NA
drink,drink (beverage),NA
drive,drive,NA
dry,dry (description),NA
duck,duck,NA
ear,ear,NA
eat,eat,5.418322515487671
egg,egg,NA
elephant,elephant,NA
empty,empty,NA
eye,eye,NA
face,face,6.353496313095093
fall,fall,6.636102676391602
fast,fast,NA
feed,feed,NA
fine,fine,NA
finger,finger,NA
finish,finish,6.832664966583252
firetruck,firetruck,NA
fish,fish (animal),NA
fish,fish (food),NA
flower,flower,NA
food,food,NA
foot,foot,NA
