iter,utterance_length,nb_utterances,produced,production_score
1,2,2533,2101,0.829451243585
1,3,4118,2946,0.715395823215
1,4,4960,2715,0.547379032258
1,5,4787,1801,0.376227282223
1,6,3789,973,0.256795988387
1,7,2727,478,0.175284195086
1,8,1835,183,0.099727520436
1,9,1181,63,0.0533446232007
1,10,792,25,0.0315656565657
1,11,497,12,0.0241448692153
1,12,321,5,0.0155763239875
1,13,251,1,0.00398406374502
1,14,134,3,0.0223880597015
1,15,116,0,0.0
1,16,79,1,0.0126582278481
1,17,45,1,0.0222222222222
1,18,38,0,0.0
1,19,19,0,0.0
1,20,10,0,0.0
1,21,15,0,0.0
1,22,4,0,0.0
1,23,8,0,0.0
1,24,3,0,0.0
1,25,3,0,0.0
1,26,2,0,0.0
1,27,5,0,0.0
1,28,1,0,0.0
1,30,3,0,0.0
1,32,1,0,0.0
1,36,1,0,0.0
1,39,1,0,0.0
1,41,1,0,0.0
1,60,1,0,0.0
2,2,2533,2102,0.829846032373
2,3,4118,2940,0.713938805245
2,4,4960,2695,0.543346774194
2,5,4787,1756,0.366826822645
2,6,3789,959,0.25310108208
2,7,2727,492,0.180418041804
2,8,1835,174,0.0948228882834
2,9,1181,65,0.0550381033023
2,10,792,28,0.0353535353535
2,11,497,10,0.0201207243461
2,12,321,5,0.0155763239875
2,13,251,1,0.00398406374502
2,14,134,3,0.0223880597015
2,15,116,0,0.0
2,16,79,1,0.0126582278481
2,17,45,1,0.0222222222222
2,18,38,0,0.0
2,19,19,0,0.0
2,20,10,0,0.0
2,21,15,0,0.0
2,22,4,0,0.0
2,23,8,0,0.0
2,24,3,0,0.0
2,25,3,0,0.0
2,26,2,0,0.0
2,27,5,0,0.0
2,28,1,0,0.0
2,30,3,0,0.0
2,32,1,0,0.0
2,36,1,0,0.0
2,39,1,0,0.0
2,41,1,0,0.0
2,60,1,0,0.0
3,2,2533,2102,0.829846032373
3,3,4118,2950,0.716367168528
3,4,4960,2732,0.550806451613
3,5,4787,1821,0.380405264257
3,6,3789,947,0.24993401953
3,7,2727,484,0.177484415108
3,8,1835,184,0.100272479564
3,9,1181,63,0.0533446232007
3,10,792,30,0.0378787878788
3,11,497,12,0.0241448692153
3,12,321,6,0.018691588785
3,13,251,1,0.00398406374502
3,14,134,3,0.0223880597015
3,15,116,0,0.0
3,16,79,1,0.0126582278481
3,17,45,1,0.0222222222222
3,18,38,0,0.0
3,19,19,0,0.0
3,20,10,0,0.0
3,21,15,0,0.0
3,22,4,0,0.0
3,23,8,0,0.0
3,24,3,0,0.0
3,25,3,0,0.0
3,26,2,0,0.0
3,27,5,0,0.0
3,28,1,0,0.0
3,30,3,0,0.0
3,32,1,0,0.0
3,36,1,0,0.0
3,39,1,0,0.0
3,41,1,0,0.0
3,60,1,0,0.0
4,2,2533,2100,0.829056454797
4,3,4118,2944,0.714910150559
4,4,4960,2709,0.546169354839
4,5,4787,1781,0.372049300188
4,6,3789,957,0.252573238321
4,7,2727,462,0.169416941694
4,8,1835,168,0.091553133515
4,9,1181,62,0.0524978831499
4,10,792,19,0.0239898989899
4,11,497,11,0.0221327967807
4,12,321,5,0.0155763239875
4,13,251,1,0.00398406374502
4,14,134,3,0.0223880597015
4,15,116,0,0.0
4,16,79,1,0.0126582278481
4,17,45,1,0.0222222222222
4,18,38,0,0.0
4,19,19,0,0.0
4,20,10,0,0.0
4,21,15,0,0.0
4,22,4,0,0.0
4,23,8,0,0.0
4,24,3,0,0.0
4,25,3,0,0.0
4,26,2,0,0.0
4,27,5,0,0.0
4,28,1,0,0.0
4,30,3,0,0.0
4,32,1,0,0.0
4,36,1,0,0.0
4,39,1,0,0.0
4,41,1,0,0.0
4,60,1,0,0.0
5,2,2533,2100,0.829056454797
5,3,4118,2956,0.717824186498
5,4,4960,2726,0.549596774194
5,5,4787,1780,0.371840401086
5,6,3789,945,0.249406175772
5,7,2727,487,0.178584525119
5,8,1835,168,0.091553133515
5,9,1181,62,0.0524978831499
5,10,792,26,0.0328282828283
5,11,497,10,0.0201207243461
5,12,321,7,0.0218068535826
5,13,251,0,0.0
5,14,134,3,0.0223880597015
5,15,116,0,0.0
5,16,79,1,0.0126582278481
5,17,45,1,0.0222222222222
5,18,38,0,0.0
5,19,19,0,0.0
5,20,10,0,0.0
5,21,15,0,0.0
5,22,4,0,0.0
5,23,8,0,0.0
5,24,3,0,0.0
5,25,3,0,0.0
5,26,2,0,0.0
5,27,5,0,0.0
5,28,1,0,0.0
5,30,3,0,0.0
5,32,1,0,0.0
5,36,1,0,0.0
5,39,1,0,0.0
5,41,1,0,0.0
5,60,1,0,0.0
6,2,2533,2097,0.827872088433
6,3,4118,2922,0.709567751336
6,4,4960,2698,0.543951612903
6,5,4787,1772,0.370169208272
6,6,3789,938,0.247558722618
6,7,2727,479,0.175650898423
6,8,1835,188,0.102452316076
6,9,1181,62,0.0524978831499
6,10,792,31,0.0391414141414
6,11,497,12,0.0241448692153
6,12,321,5,0.0155763239875
6,13,251,1,0.00398406374502
6,14,134,3,0.0223880597015
6,15,116,0,0.0
6,16,79,1,0.0126582278481
6,17,45,1,0.0222222222222
6,18,38,0,0.0
6,19,19,0,0.0
6,20,10,0,0.0
6,21,15,0,0.0
6,22,4,0,0.0
6,23,8,0,0.0
6,24,3,0,0.0
6,25,3,0,0.0
6,26,2,0,0.0
6,27,5,0,0.0
6,28,1,0,0.0
6,30,3,0,0.0
6,32,1,0,0.0
6,36,1,0,0.0
6,39,1,0,0.0
6,41,1,0,0.0
6,60,1,0,0.0
7,2,2533,2102,0.829846032373
7,3,4118,2946,0.715395823215
7,4,4960,2708,0.545967741935
7,5,4787,1790,0.373929392104
7,6,3789,968,0.255476378992
7,7,2727,459,0.168316831683
7,8,1835,164,0.0893732970027
7,9,1181,64,0.0541913632515
7,10,792,21,0.0265151515152
7,11,497,9,0.0181086519115
7,12,321,7,0.0218068535826
7,13,251,1,0.00398406374502
7,14,134,3,0.0223880597015
7,15,116,0,0.0
7,16,79,1,0.0126582278481
7,17,45,1,0.0222222222222
7,18,38,0,0.0
7,19,19,0,0.0
7,20,10,0,0.0
7,21,15,0,0.0
7,22,4,0,0.0
7,23,8,0,0.0
7,24,3,0,0.0
7,25,3,0,0.0
7,26,2,0,0.0
7,27,5,0,0.0
7,28,1,0,0.0
7,30,3,0,0.0
7,32,1,0,0.0
7,36,1,0,0.0
7,39,1,0,0.0
7,41,1,0,0.0
7,60,1,0,0.0
8,2,2533,2105,0.831030398737
8,3,4118,2958,0.718309859155
8,4,4960,2703,0.544959677419
8,5,4787,1792,0.374347190307
8,6,3789,933,0.246239113222
8,7,2727,497,0.182251558489
8,8,1835,172,0.0937329700272
8,9,1181,58,0.0491109229467
8,10,792,24,0.030303030303
8,11,497,12,0.0241448692153
8,12,321,6,0.018691588785
8,13,251,1,0.00398406374502
8,14,134,3,0.0223880597015
8,15,116,0,0.0
8,16,79,1,0.0126582278481
8,17,45,1,0.0222222222222
8,18,38,0,0.0
8,19,19,0,0.0
8,20,10,0,0.0
8,21,15,0,0.0
8,22,4,0,0.0
8,23,8,0,0.0
8,24,3,0,0.0
8,25,3,0,0.0
8,26,2,0,0.0
8,27,5,0,0.0
8,28,1,0,0.0
8,30,3,0,0.0
8,32,1,0,0.0
8,36,1,0,0.0
8,39,1,0,0.0
8,41,1,0,0.0
8,60,1,0,0.0
9,2,2533,2104,0.830635609949
9,3,4118,2938,0.713453132589
9,4,4960,2713,0.546975806452
9,5,4787,1778,0.371422602883
9,6,3789,944,0.249142253893
9,7,2727,467,0.171250458379
9,8,1835,176,0.0959128065395
9,9,1181,64,0.0541913632515
9,10,792,31,0.0391414141414
9,11,497,10,0.0201207243461
9,12,321,6,0.018691588785
9,13,251,0,0.0
9,14,134,3,0.0223880597015
9,15,116,0,0.0
9,16,79,1,0.0126582278481
9,17,45,1,0.0222222222222
9,18,38,0,0.0
9,19,19,0,0.0
9,20,10,0,0.0
9,21,15,0,0.0
9,22,4,0,0.0
9,23,8,0,0.0
9,24,3,0,0.0
9,25,3,0,0.0
9,26,2,0,0.0
9,27,5,0,0.0
9,28,1,0,0.0
9,30,3,0,0.0
9,32,1,0,0.0
9,36,1,0,0.0
9,39,1,0,0.0
9,41,1,0,0.0
9,60,1,0,0.0
10,2,2533,2099,0.828661666009
10,3,4118,2920,0.709082078679
10,4,4960,2685,0.541330645161
10,5,4787,1780,0.371840401086
10,6,3789,958,0.252837160201
10,7,2727,486,0.178217821782
10,8,1835,170,0.0926430517711
10,9,1181,63,0.0533446232007
10,10,792,29,0.0366161616162
10,11,497,12,0.0241448692153
10,12,321,8,0.0249221183801
10,13,251,1,0.00398406374502
10,14,134,3,0.0223880597015
10,15,116,0,0.0
10,16,79,1,0.0126582278481
10,17,45,1,0.0222222222222
10,18,38,0,0.0
10,19,19,0,0.0
10,20,10,0,0.0
10,21,15,0,0.0
10,22,4,0,0.0
10,23,8,0,0.0
10,24,3,0,0.0
10,25,3,0,0.0
10,26,2,0,0.0
10,27,5,0,0.0
10,28,1,0,0.0
10,30,3,0,0.0
10,32,1,0,0.0
10,36,1,0,0.0
10,39,1,0,0.0
10,41,1,0,0.0
10,60,1,0,0.0
