iter,utterance_length,nb_utterances,produced,production_score
1,2,9215,7397,0.802712967987
1,3,9152,5699,0.62270541958
1,4,7172,3384,0.471834913553
1,5,5038,1699,0.337236998809
1,6,3306,839,0.253781004235
1,7,1902,285,0.149842271293
1,8,1107,126,0.113821138211
1,9,608,39,0.0641447368421
1,10,361,20,0.0554016620499
1,11,186,1,0.00537634408602
1,12,127,5,0.0393700787402
1,13,67,1,0.0149253731343
1,14,46,2,0.0434782608696
1,15,27,0,0.0
1,16,17,0,0.0
1,17,7,0,0.0
1,18,7,0,0.0
1,19,5,0,0.0
1,20,4,0,0.0
1,21,4,0,0.0
1,22,2,0,0.0
1,24,1,0,0.0
1,25,1,0,0.0
1,30,1,0,0.0
1,44,1,1,1.0
2,2,9215,7373,0.800108518719
2,3,9152,5700,0.622814685315
2,4,7172,3366,0.469325153374
2,5,5038,1714,0.340214370782
2,6,3306,841,0.254385964912
2,7,1902,276,0.145110410095
2,8,1107,126,0.113821138211
2,9,608,38,0.0625
2,10,361,19,0.0526315789474
2,11,186,2,0.010752688172
2,12,127,5,0.0393700787402
2,13,67,1,0.0149253731343
2,14,46,2,0.0434782608696
2,15,27,0,0.0
2,16,17,0,0.0
2,17,7,0,0.0
2,18,7,0,0.0
2,19,5,0,0.0
2,20,4,0,0.0
2,21,4,0,0.0
2,22,2,0,0.0
2,24,1,0,0.0
2,25,1,0,0.0
2,30,1,0,0.0
2,44,1,1,1.0
3,2,9215,7371,0.799891481281
3,3,9152,5679,0.620520104895
3,4,7172,3355,0.467791411043
3,5,5038,1662,0.329892814609
3,6,3306,812,0.245614035088
3,7,1902,292,0.153522607781
3,8,1107,116,0.104787714544
3,9,608,43,0.0707236842105
3,10,361,21,0.0581717451524
3,11,186,1,0.00537634408602
3,12,127,5,0.0393700787402
3,13,67,1,0.0149253731343
3,14,46,3,0.0652173913043
3,15,27,0,0.0
3,16,17,0,0.0
3,17,7,0,0.0
3,18,7,0,0.0
3,19,5,0,0.0
3,20,4,0,0.0
3,21,4,0,0.0
3,22,2,0,0.0
3,24,1,0,0.0
3,25,1,0,0.0
3,30,1,0,0.0
3,44,1,1,1.0
4,2,9215,7396,0.802604449267
4,3,9152,5676,0.620192307692
4,4,7172,3397,0.473647518126
4,5,5038,1686,0.334656609766
4,6,3306,818,0.24742891712
4,7,1902,302,0.158780231335
4,8,1107,124,0.112014453478
4,9,608,32,0.0526315789474
4,10,361,18,0.0498614958449
4,11,186,2,0.010752688172
4,12,127,5,0.0393700787402
4,13,67,1,0.0149253731343
4,14,46,2,0.0434782608696
4,15,27,0,0.0
4,16,17,0,0.0
4,17,7,0,0.0
4,18,7,0,0.0
4,19,5,0,0.0
4,20,4,0,0.0
4,21,4,0,0.0
4,22,2,0,0.0
4,24,1,0,0.0
4,25,1,0,0.0
4,30,1,0,0.0
4,44,1,1,1.0
5,2,9215,7381,0.800976668475
5,3,9152,5696,0.622377622378
5,4,7172,3348,0.466815393196
5,5,5038,1668,0.331083763398
5,6,3306,830,0.251058681186
5,7,1902,301,0.15825446898
5,8,1107,130,0.117434507678
5,9,608,44,0.0723684210526
5,10,361,16,0.0443213296399
5,11,186,1,0.00537634408602
5,12,127,5,0.0393700787402
5,13,67,1,0.0149253731343
5,14,46,2,0.0434782608696
5,15,27,0,0.0
5,16,17,0,0.0
5,17,7,0,0.0
5,18,7,0,0.0
5,19,5,0,0.0
5,20,4,0,0.0
5,21,4,0,0.0
5,22,2,0,0.0
5,24,1,0,0.0
5,25,1,0,0.0
5,30,1,0,0.0
5,44,1,1,1.0
6,2,9215,7373,0.800108518719
6,3,9152,5689,0.621612762238
6,4,7172,3380,0.471277189069
6,5,5038,1684,0.334259626836
6,6,3306,834,0.252268602541
6,7,1902,293,0.154048370137
6,8,1107,127,0.114724480578
6,9,608,38,0.0625
6,10,361,19,0.0526315789474
6,11,186,1,0.00537634408602
6,12,127,5,0.0393700787402
6,13,67,1,0.0149253731343
6,14,46,2,0.0434782608696
6,15,27,0,0.0
6,16,17,0,0.0
6,17,7,0,0.0
6,18,7,0,0.0
6,19,5,0,0.0
6,20,4,0,0.0
6,21,4,0,0.0
6,22,2,0,0.0
6,24,1,0,0.0
6,25,1,0,0.0
6,30,1,0,0.0
6,44,1,1,1.0
7,2,9215,7402,0.803255561584
7,3,9152,5697,0.622486888112
7,4,7172,3347,0.466675962075
7,5,5038,1703,0.338030964669
7,6,3306,852,0.257713248639
7,7,1902,296,0.155625657203
7,8,1107,129,0.116531165312
7,9,608,39,0.0641447368421
7,10,361,18,0.0498614958449
7,11,186,2,0.010752688172
7,12,127,5,0.0393700787402
7,13,67,1,0.0149253731343
7,14,46,2,0.0434782608696
7,15,27,0,0.0
7,16,17,0,0.0
7,17,7,0,0.0
7,18,7,0,0.0
7,19,5,0,0.0
7,20,4,0,0.0
7,21,4,0,0.0
7,22,2,0,0.0
7,24,1,0,0.0
7,25,1,0,0.0
7,30,1,0,0.0
7,44,1,1,1.0
8,2,9215,7380,0.800868149756
8,3,9152,5719,0.624890734266
8,4,7172,3352,0.46737311768
8,5,5038,1678,0.333068678047
8,6,3306,820,0.248033877798
8,7,1902,286,0.150368033649
8,8,1107,118,0.106594399277
8,9,608,40,0.0657894736842
8,10,361,20,0.0554016620499
8,11,186,0,0.0
8,12,127,5,0.0393700787402
8,13,67,1,0.0149253731343
8,14,46,2,0.0434782608696
8,15,27,0,0.0
8,16,17,0,0.0
8,17,7,0,0.0
8,18,7,0,0.0
8,19,5,0,0.0
8,20,4,0,0.0
8,21,4,0,0.0
8,22,2,0,0.0
8,24,1,0,0.0
8,25,1,0,0.0
8,30,1,0,0.0
8,44,1,1,1.0
9,2,9215,7384,0.801302224634
9,3,9152,5695,0.622268356643
9,4,7172,3373,0.470301171221
9,5,5038,1666,0.330686780468
9,6,3306,832,0.251663641863
9,7,1902,295,0.155099894848
9,8,1107,123,0.111111111111
9,9,608,36,0.0592105263158
9,10,361,18,0.0498614958449
9,11,186,2,0.010752688172
9,12,127,7,0.0551181102362
9,13,67,1,0.0149253731343
9,14,46,2,0.0434782608696
9,15,27,0,0.0
9,16,17,0,0.0
9,17,7,0,0.0
9,18,7,0,0.0
9,19,5,0,0.0
9,20,4,0,0.0
9,21,4,0,0.0
9,22,2,0,0.0
9,24,1,0,0.0
9,25,1,0,0.0
9,30,1,0,0.0
9,44,1,1,1.0
10,2,9215,7393,0.802278893109
10,3,9152,5699,0.62270541958
10,4,7172,3399,0.473926380368
10,5,5038,1680,0.333465660977
10,6,3306,823,0.248941318814
10,7,1902,301,0.15825446898
10,8,1107,118,0.106594399277
10,9,608,38,0.0625
10,10,361,18,0.0498614958449
10,11,186,0,0.0
10,12,127,7,0.0551181102362
10,13,67,1,0.0149253731343
10,14,46,2,0.0434782608696
10,15,27,0,0.0
10,16,17,0,0.0
10,17,7,0,0.0
10,18,7,0,0.0
10,19,5,0,0.0
10,20,4,0,0.0
10,21,4,0,0.0
10,22,2,0,0.0
10,24,1,0,0.0
10,25,1,0,0.0
10,30,1,0,0.0
10,44,1,1,1.0
