iter,utterance_length,nb_utterances,produced,production_score
1,2,5373,4294,0.799181090638
1,3,3269,1837,0.561945549098
1,4,1875,768,0.4096
1,5,995,261,0.262311557789
1,6,559,99,0.1771019678
1,7,319,43,0.134796238245
1,8,187,23,0.122994652406
1,9,94,5,0.0531914893617
1,10,47,4,0.0851063829787
1,11,24,4,0.166666666667
1,12,30,4,0.133333333333
1,13,12,1,0.0833333333333
1,14,13,2,0.153846153846
1,15,9,0,0.0
1,16,3,2,0.666666666667
1,17,5,0,0.0
1,20,2,0,0.0
1,21,2,0,0.0
1,22,1,0,0.0
1,23,2,0,0.0
1,25,1,0,0.0
1,27,2,0,0.0
1,31,1,1,1.0
2,2,5373,4295,0.799367206402
2,3,3269,1830,0.559804221474
2,4,1875,749,0.399466666667
2,5,995,265,0.266331658291
2,6,559,93,0.166368515206
2,7,319,41,0.128526645768
2,8,187,26,0.139037433155
2,9,94,6,0.063829787234
2,10,47,4,0.0851063829787
2,11,24,4,0.166666666667
2,12,30,3,0.1
2,13,12,0,0.0
2,14,13,2,0.153846153846
2,15,9,1,0.111111111111
2,16,3,2,0.666666666667
2,17,5,0,0.0
2,20,2,0,0.0
2,21,2,0,0.0
2,22,1,0,0.0
2,23,2,0,0.0
2,25,1,0,0.0
2,27,2,0,0.0
2,31,1,1,1.0
3,2,5373,4297,0.79973943793
3,3,3269,1840,0.562863260936
3,4,1875,770,0.410666666667
3,5,995,269,0.270351758794
3,6,559,95,0.169946332737
3,7,319,43,0.134796238245
3,8,187,22,0.117647058824
3,9,94,5,0.0531914893617
3,10,47,3,0.063829787234
3,11,24,4,0.166666666667
3,12,30,3,0.1
3,13,12,0,0.0
3,14,13,2,0.153846153846
3,15,9,0,0.0
3,16,3,2,0.666666666667
3,17,5,0,0.0
3,20,2,0,0.0
3,21,2,0,0.0
3,22,1,0,0.0
3,23,2,0,0.0
3,25,1,0,0.0
3,27,2,0,0.0
3,31,1,1,1.0
4,2,5373,4294,0.799181090638
4,3,3269,1836,0.561639645151
4,4,1875,761,0.405866666667
4,5,995,277,0.278391959799
4,6,559,99,0.1771019678
4,7,319,40,0.12539184953
4,8,187,22,0.117647058824
4,9,94,6,0.063829787234
4,10,47,4,0.0851063829787
4,11,24,4,0.166666666667
4,12,30,3,0.1
4,13,12,1,0.0833333333333
4,14,13,2,0.153846153846
4,15,9,0,0.0
4,16,3,2,0.666666666667
4,17,5,0,0.0
4,20,2,0,0.0
4,21,2,0,0.0
4,22,1,0,0.0
4,23,2,0,0.0
4,25,1,0,0.0
4,27,2,0,0.0
4,31,1,1,1.0
5,2,5373,4299,0.800111669458
5,3,3269,1834,0.561027837259
5,4,1875,758,0.404266666667
5,5,995,278,0.279396984925
5,6,559,93,0.166368515206
5,7,319,47,0.147335423197
5,8,187,23,0.122994652406
5,9,94,6,0.063829787234
5,10,47,3,0.063829787234
5,11,24,4,0.166666666667
5,12,30,3,0.1
5,13,12,0,0.0
5,14,13,2,0.153846153846
5,15,9,1,0.111111111111
5,16,3,2,0.666666666667
5,17,5,0,0.0
5,20,2,0,0.0
5,21,2,0,0.0
5,22,1,0,0.0
5,23,2,0,0.0
5,25,1,0,0.0
5,27,2,0,0.0
5,31,1,1,1.0
6,2,5373,4299,0.800111669458
6,3,3269,1834,0.561027837259
6,4,1875,770,0.410666666667
6,5,995,271,0.272361809045
6,6,559,100,0.178890876565
6,7,319,52,0.163009404389
6,8,187,23,0.122994652406
6,9,94,6,0.063829787234
6,10,47,3,0.063829787234
6,11,24,4,0.166666666667
6,12,30,3,0.1
6,13,12,0,0.0
6,14,13,2,0.153846153846
6,15,9,1,0.111111111111
6,16,3,2,0.666666666667
6,17,5,0,0.0
6,20,2,0,0.0
6,21,2,0,0.0
6,22,1,0,0.0
6,23,2,0,0.0
6,25,1,0,0.0
6,27,2,0,0.0
6,31,1,1,1.0
7,2,5373,4296,0.799553322166
7,3,3269,1829,0.559498317528
7,4,1875,759,0.4048
7,5,995,262,0.263316582915
7,6,559,94,0.168157423971
7,7,319,46,0.144200626959
7,8,187,23,0.122994652406
7,9,94,6,0.063829787234
7,10,47,4,0.0851063829787
7,11,24,4,0.166666666667
7,12,30,3,0.1
7,13,12,0,0.0
7,14,13,2,0.153846153846
7,15,9,1,0.111111111111
7,16,3,2,0.666666666667
7,17,5,0,0.0
7,20,2,0,0.0
7,21,2,0,0.0
7,22,1,0,0.0
7,23,2,0,0.0
7,25,1,0,0.0
7,27,2,0,0.0
7,31,1,1,1.0
8,2,5373,4296,0.799553322166
8,3,3269,1834,0.561027837259
8,4,1875,758,0.404266666667
8,5,995,271,0.272361809045
8,6,559,97,0.173524150268
8,7,319,43,0.134796238245
8,8,187,23,0.122994652406
8,9,94,5,0.0531914893617
8,10,47,4,0.0851063829787
8,11,24,4,0.166666666667
8,12,30,3,0.1
8,13,12,0,0.0
8,14,13,2,0.153846153846
8,15,9,1,0.111111111111
8,16,3,2,0.666666666667
8,17,5,0,0.0
8,20,2,0,0.0
8,21,2,0,0.0
8,22,1,0,0.0
8,23,2,0,0.0
8,25,1,0,0.0
8,27,2,0,0.0
8,31,1,1,1.0
9,2,5373,4297,0.79973943793
9,3,3269,1834,0.561027837259
9,4,1875,762,0.4064
9,5,995,267,0.268341708543
9,6,559,93,0.166368515206
9,7,319,45,0.141065830721
9,8,187,24,0.128342245989
9,9,94,5,0.0531914893617
