iter,utterance_length,nb_utterances,produced,production_score
1,2,4644,3637,0.783161068045
1,3,3726,2266,0.608158883521
1,4,2061,900,0.436681222707
1,5,1055,324,0.307109004739
1,6,416,81,0.194711538462
1,7,215,28,0.13023255814
1,8,78,4,0.0512820512821
1,9,41,1,0.0243902439024
1,10,17,0,0.0
1,11,7,0,0.0
1,12,4,0,0.0
1,13,3,0,0.0
1,14,1,0,0.0
1,45,1,0,0.0
2,2,4644,3638,0.783376399655
2,3,3726,2248,0.603327965647
2,4,2061,935,0.453663270257
2,5,1055,322,0.305213270142
2,6,416,74,0.177884615385
2,7,215,26,0.120930232558
2,8,78,4,0.0512820512821
2,9,41,1,0.0243902439024
2,10,17,0,0.0
2,11,7,0,0.0
2,12,4,1,0.25
2,13,3,1,0.333333333333
2,14,1,0,0.0
2,45,1,0,0.0
3,2,4644,3641,0.784022394488
3,3,3726,2260,0.606548577563
3,4,2061,913,0.442988840369
3,5,1055,320,0.303317535545
3,6,416,79,0.189903846154
3,7,215,27,0.125581395349
3,8,78,4,0.0512820512821
3,9,41,1,0.0243902439024
3,10,17,1,0.0588235294118
3,11,7,0,0.0
3,12,4,0,0.0
3,13,3,0,0.0
3,14,1,0,0.0
3,45,1,0,0.0
4,2,4644,3638,0.783376399655
4,3,3726,2252,0.604401502952
4,4,2061,878,0.426006792819
4,5,1055,324,0.307109004739
4,6,416,71,0.170673076923
4,7,215,26,0.120930232558
4,8,78,2,0.025641025641
4,9,41,1,0.0243902439024
4,10,17,0,0.0
4,11,7,0,0.0
4,12,4,0,0.0
4,13,3,0,0.0
4,14,1,0,0.0
4,45,1,0,0.0
5,2,4644,3643,0.784453057709
5,3,3726,2257,0.605743424584
5,4,2061,908,0.440562833576
5,5,1055,327,0.309952606635
5,6,416,74,0.177884615385
5,7,215,33,0.153488372093
5,8,78,4,0.0512820512821
5,9,41,2,0.0487804878049
5,10,17,0,0.0
5,11,7,0,0.0
5,12,4,1,0.25
5,13,3,0,0.0
5,14,1,0,0.0
5,45,1,0,0.0
6,2,4644,3642,0.784237726098
6,3,3726,2262,0.607085346216
6,4,2061,915,0.443959243086
6,5,1055,318,0.301421800948
6,6,416,73,0.175480769231
6,7,215,30,0.139534883721
6,8,78,4,0.0512820512821
6,9,41,1,0.0243902439024
6,10,17,1,0.0588235294118
6,11,7,0,0.0
6,12,4,1,0.25
6,13,3,0,0.0
6,14,1,0,0.0
6,45,1,0,0.0
7,2,4644,3636,0.782945736434
7,3,3726,2257,0.605743424584
7,4,2061,897,0.435225618632
7,5,1055,329,0.311848341232
7,6,416,79,0.189903846154
7,7,215,29,0.13488372093
7,8,78,6,0.0769230769231
7,9,41,1,0.0243902439024
7,10,17,0,0.0
7,11,7,0,0.0
7,12,4,0,0.0
7,13,3,0,0.0
7,14,1,0,0.0
7,45,1,0,0.0
8,2,4644,3636,0.782945736434
8,3,3726,2240,0.601180891036
8,4,2061,904,0.438622028142
8,5,1055,329,0.311848341232
8,6,416,74,0.177884615385
8,7,215,33,0.153488372093
8,8,78,2,0.025641025641
8,9,41,1,0.0243902439024
8,10,17,0,0.0
8,11,7,0,0.0
8,12,4,1,0.25
8,13,3,0,0.0
8,14,1,0,0.0
8,45,1,0,0.0
9,2,4644,3643,0.784453057709
9,3,3726,2267,0.608427267848
9,4,2061,886,0.429888403688
9,5,1055,311,0.294786729858
9,6,416,74,0.177884615385
9,7,215,27,0.125581395349
9,8,78,4,0.0512820512821
9,9,41,1,0.0243902439024
9,10,17,0,0.0
9,11,7,0,0.0
9,12,4,0,0.0
9,13,3,0,0.0
9,14,1,0,0.0
9,45,1,0,0.0
10,2,4644,3633,0.782299741602
10,3,3726,2253,0.604669887279
10,4,2061,905,0.4391072295
10,5,1055,316,0.299526066351
10,6,416,78,0.1875
10,7,215,31,0.144186046512
10,8,78,5,0.0641025641026
10,9,41,1,0.0243902439024
10,10,17,0,0.0
10,11,7,1,0.142857142857
10,12,4,0,0.0
10,13,3,1,0.333333333333
10,14,1,0,0.0
10,45,1,0,0.0
