iter,utterance_length,nb_utterances,produced,production_score
1,2,3542,2648,0.747600225861
1,3,2990,1811,0.605685618729
1,4,2181,1039,0.47638697845
1,5,1338,470,0.351270553064
1,6,676,186,0.275147928994
1,7,343,47,0.137026239067
1,8,155,20,0.129032258065
1,9,68,2,0.0294117647059
1,10,38,3,0.0789473684211
1,11,21,2,0.0952380952381
1,12,10,0,0.0
1,13,3,0,0.0
1,14,3,0,0.0
1,15,1,0,0.0
1,17,1,0,0.0
2,2,3542,2651,0.748447204969
2,3,2990,1808,0.604682274247
2,4,2181,1036,0.475011462632
2,5,1338,451,0.337070254111
2,6,676,177,0.261834319527
2,7,343,49,0.142857142857
2,8,155,15,0.0967741935484
2,9,68,1,0.0147058823529
2,10,38,4,0.105263157895
2,11,21,0,0.0
2,12,10,0,0.0
2,13,3,0,0.0
2,14,3,0,0.0
2,15,1,0,0.0
2,17,1,0,0.0
3,2,3542,2649,0.74788255223
3,3,2990,1809,0.605016722408
3,4,2181,1039,0.47638697845
3,5,1338,463,0.346038863976
3,6,676,179,0.264792899408
3,7,343,46,0.134110787172
3,8,155,16,0.103225806452
3,9,68,3,0.0441176470588
3,10,38,4,0.105263157895
3,11,21,2,0.0952380952381
3,12,10,0,0.0
3,13,3,0,0.0
3,14,3,0,0.0
3,15,1,0,0.0
3,17,1,0,0.0
4,2,3542,2643,0.746188594015
4,3,2990,1810,0.605351170569
4,4,2181,1044,0.478679504814
4,5,1338,453,0.338565022422
4,6,676,182,0.269230769231
4,7,343,46,0.134110787172
4,8,155,18,0.116129032258
4,9,68,1,0.0147058823529
4,10,38,3,0.0789473684211
4,11,21,1,0.047619047619
4,12,10,0,0.0
4,13,3,0,0.0
4,14,3,0,0.0
4,15,1,0,0.0
4,17,1,0,0.0
5,2,3542,2652,0.748729531338
5,3,2990,1788,0.597993311037
5,4,2181,1035,0.474552957359
5,5,1338,461,0.344544095665
5,6,676,174,0.257396449704
5,7,343,45,0.131195335277
5,8,155,20,0.129032258065
5,9,68,4,0.0588235294118
5,10,38,2,0.0526315789474
5,11,21,0,0.0
5,12,10,0,0.0
5,13,3,0,0.0
5,14,3,0,0.0
5,15,1,0,0.0
5,17,1,0,0.0
6,2,3542,2651,0.748447204969
6,3,2990,1812,0.60602006689
6,4,2181,1046,0.47959651536
6,5,1338,452,0.337817638266
6,6,676,184,0.272189349112
6,7,343,46,0.134110787172
6,8,155,16,0.103225806452
6,9,68,3,0.0441176470588
6,10,38,3,0.0789473684211
6,11,21,0,0.0
6,12,10,0,0.0
6,13,3,0,0.0
6,14,3,0,0.0
6,15,1,0,0.0
6,17,1,0,0.0
7,2,3542,2647,0.747317899492
7,3,2990,1801,0.602341137124
7,4,2181,1026,0.470426409904
7,5,1338,466,0.348281016442
7,6,676,189,0.279585798817
7,7,343,49,0.142857142857
7,8,155,18,0.116129032258
7,9,68,3,0.0441176470588
7,10,38,3,0.0789473684211
7,11,21,0,0.0
7,12,10,0,0.0
7,13,3,0,0.0
7,14,3,0,0.0
7,15,1,0,0.0
7,17,1,0,0.0
8,2,3542,2651,0.748447204969
8,3,2990,1793,0.599665551839
8,4,2181,1047,0.480055020633
8,5,1338,456,0.340807174888
8,6,676,181,0.26775147929
8,7,343,47,0.137026239067
8,8,155,15,0.0967741935484
8,9,68,2,0.0294117647059
8,10,38,3,0.0789473684211
8,11,21,1,0.047619047619
8,12,10,0,0.0
8,13,3,0,0.0
8,14,3,0,0.0
8,15,1,0,0.0
8,17,1,0,0.0
9,2,3542,2651,0.748447204969
9,3,2990,1807,0.604347826087
9,4,2181,1060,0.486015589179
9,5,1338,460,0.34379671151
9,6,676,168,0.248520710059
9,7,343,47,0.137026239067
9,8,155,18,0.116129032258
9,9,68,2,0.0294117647059
9,10,38,3,0.0789473684211
9,11,21,1,0.047619047619
9,12,10,0,0.0
9,13,3,0,0.0
9,14,3,0,0.0
9,15,1,0,0.0
9,17,1,0,0.0
10,2,3542,2648,0.747600225861
10,3,2990,1803,0.603010033445
10,4,2181,1053,0.48280605227
10,5,1338,455,0.340059790732
10,6,676,183,0.270710059172
10,7,343,42,0.122448979592
10,8,155,15,0.0967741935484
10,9,68,5,0.0735294117647
10,10,38,3,0.0789473684211
10,11,21,0,0.0
10,12,10,0,0.0
10,13,3,0,0.0
10,14,3,0,0.0
10,15,1,0,0.0
10,17,1,0,0.0
