iter,utterance_length,nb_utterances,produced,production_score
1,2,377,307,0.814323607427
1,3,443,287,0.647855530474
1,4,391,180,0.460358056266
1,5,336,96,0.285714285714
1,6,231,42,0.181818181818
1,7,116,14,0.120689655172
1,8,85,6,0.0705882352941
1,9,41,2,0.0487804878049
1,10,24,0,0.0
1,11,13,0,0.0
1,12,5,0,0.0
1,13,3,0,0.0
1,14,1,0,0.0
1,15,1,0,0.0
1,16,1,0,0.0
1,25,1,0,0.0
2,2,377,310,0.822281167109
2,3,443,287,0.647855530474
2,4,391,192,0.49104859335
2,5,336,89,0.264880952381
2,6,231,44,0.190476190476
2,7,116,12,0.103448275862
2,8,85,9,0.105882352941
2,9,41,3,0.0731707317073
2,10,24,0,0.0
2,11,13,0,0.0
2,12,5,0,0.0
2,13,3,0,0.0
2,14,1,0,0.0
2,15,1,0,0.0
2,16,1,0,0.0
2,25,1,0,0.0
3,2,377,306,0.811671087533
3,3,443,293,0.661399548533
3,4,391,195,0.498721227621
3,5,336,87,0.258928571429
3,6,231,38,0.164502164502
3,7,116,13,0.112068965517
3,8,85,11,0.129411764706
3,9,41,2,0.0487804878049
3,10,24,1,0.0416666666667
3,11,13,1,0.0769230769231
3,12,5,0,0.0
3,13,3,0,0.0
3,14,1,0,0.0
3,15,1,0,0.0
3,16,1,0,0.0
3,25,1,0,0.0
4,2,377,303,0.803713527851
4,3,443,291,0.656884875847
4,4,391,198,0.506393861893
4,5,336,97,0.28869047619
4,6,231,41,0.177489177489
4,7,116,11,0.0948275862069
4,8,85,6,0.0705882352941
4,9,41,2,0.0487804878049
4,10,24,0,0.0
4,11,13,1,0.0769230769231
4,12,5,0,0.0
4,13,3,0,0.0
4,14,1,0,0.0
4,15,1,0,0.0
4,16,1,0,0.0
4,25,1,0,0.0
5,2,377,302,0.801061007958
5,3,443,285,0.643340857788
5,4,391,183,0.468030690537
5,5,336,105,0.3125
5,6,231,44,0.190476190476
5,7,116,11,0.0948275862069
5,8,85,8,0.0941176470588
5,9,41,2,0.0487804878049
5,10,24,1,0.0416666666667
5,11,13,0,0.0
5,12,5,0,0.0
5,13,3,0,0.0
5,14,1,0,0.0
5,15,1,0,0.0
5,16,1,0,0.0
5,25,1,0,0.0
6,2,377,304,0.806366047745
6,3,443,286,0.645598194131
6,4,391,185,0.473145780051
6,5,336,90,0.267857142857
6,6,231,40,0.17316017316
6,7,116,14,0.120689655172
6,8,85,6,0.0705882352941
6,9,41,2,0.0487804878049
6,10,24,1,0.0416666666667
6,11,13,0,0.0
6,12,5,0,0.0
6,13,3,0,0.0
6,14,1,0,0.0
6,15,1,0,0.0
6,16,1,0,0.0
6,25,1,0,0.0
7,2,377,310,0.822281167109
7,3,443,284,0.641083521445
7,4,391,186,0.475703324808
7,5,336,101,0.300595238095
7,6,231,38,0.164502164502
7,7,116,11,0.0948275862069
7,8,85,7,0.0823529411765
7,9,41,2,0.0487804878049
7,10,24,1,0.0416666666667
7,11,13,1,0.0769230769231
7,12,5,0,0.0
7,13,3,0,0.0
7,14,1,0,0.0
7,15,1,0,0.0
7,16,1,0,0.0
7,25,1,0,0.0
8,2,377,303,0.803713527851
8,3,443,278,0.627539503386
8,4,391,195,0.498721227621
8,5,336,92,0.27380952381
8,6,231,44,0.190476190476
8,7,116,11,0.0948275862069
8,8,85,9,0.105882352941
8,9,41,2,0.0487804878049
8,10,24,0,0.0
8,11,13,0,0.0
8,12,5,0,0.0
8,13,3,0,0.0
8,14,1,0,0.0
8,15,1,0,0.0
8,16,1,0,0.0
8,25,1,0,0.0
9,2,377,308,0.816976127321
9,3,443,282,0.636568848758
9,4,391,190,0.485933503836
9,5,336,97,0.28869047619
9,6,231,44,0.190476190476
9,7,116,11,0.0948275862069
9,8,85,8,0.0941176470588
9,9,41,2,0.0487804878049
9,10,24,0,0.0
9,11,13,0,0.0
9,12,5,0,0.0
9,13,3,0,0.0
9,14,1,0,0.0
9,15,1,0,0.0
9,16,1,0,0.0
9,25,1,0,0.0
10,2,377,304,0.806366047745
10,3,443,281,0.634311512415
10,4,391,182,0.46547314578
10,5,336,89,0.264880952381
10,6,231,44,0.190476190476
10,7,116,13,0.112068965517
10,8,85,8,0.0941176470588
10,9,41,2,0.0487804878049
10,10,24,0,0.0
10,11,13,0,0.0
10,12,5,0,0.0
10,13,3,0,0.0
10,14,1,0,0.0
10,15,1,0,0.0
10,16,1,0,0.0
10,25,1,0,0.0
