iter,utterance_length,nb_utterances,produced,production_score
1,2,4969,3863,0.777420004025
1,3,3809,2508,0.658440535574
1,4,2605,1299,0.498656429942
1,5,1350,488,0.361481481481
1,6,682,158,0.231671554252
1,7,301,50,0.166112956811
1,8,136,13,0.0955882352941
1,9,52,0,0.0
1,10,14,2,0.142857142857
1,11,12,0,0.0
1,12,5,0,0.0
1,13,3,0,0.0
1,15,3,0,0.0
2,2,4969,3871,0.779029985913
2,3,3809,2527,0.663428721449
2,4,2605,1314,0.504414587332
2,5,1350,484,0.358518518519
2,6,682,160,0.234604105572
2,7,301,49,0.162790697674
2,8,136,11,0.0808823529412
2,9,52,0,0.0
2,10,14,0,0.0
2,11,12,0,0.0
2,12,5,0,0.0
2,13,3,0,0.0
2,15,3,0,0.0
3,2,4969,3870,0.778828738177
3,3,3809,2512,0.659490679968
3,4,2605,1297,0.497888675624
3,5,1350,487,0.360740740741
3,6,682,179,0.262463343109
3,7,301,52,0.172757475083
3,8,136,15,0.110294117647
3,9,52,0,0.0
3,10,14,0,0.0
3,11,12,0,0.0
3,12,5,0,0.0
3,13,3,0,0.0
3,15,3,0,0.0
4,2,4969,3867,0.778224994969
4,3,3809,2515,0.660278288265
4,4,2605,1308,0.502111324376
4,5,1350,473,0.35037037037
4,6,682,170,0.24926686217
4,7,301,54,0.179401993355
4,8,136,10,0.0735294117647
4,9,52,1,0.0192307692308
4,10,14,0,0.0
4,11,12,0,0.0
4,12,5,0,0.0
4,13,3,0,0.0
4,15,3,0,0.0
5,2,4969,3867,0.778224994969
5,3,3809,2496,0.655290102389
5,4,2605,1308,0.502111324376
5,5,1350,484,0.358518518519
5,6,682,161,0.236070381232
5,7,301,52,0.172757475083
5,8,136,11,0.0808823529412
5,9,52,1,0.0192307692308
5,10,14,1,0.0714285714286
5,11,12,0,0.0
5,12,5,0,0.0
5,13,3,0,0.0
5,15,3,0,0.0
6,2,4969,3866,0.778023747233
6,3,3809,2510,0.658965607771
6,4,2605,1315,0.504798464491
6,5,1350,471,0.348888888889
6,6,682,166,0.243401759531
6,7,301,51,0.169435215947
6,8,136,12,0.0882352941176
6,9,52,2,0.0384615384615
6,10,14,2,0.142857142857
6,11,12,1,0.0833333333333
6,12,5,0,0.0
6,13,3,0,0.0
6,15,3,0,0.0
7,2,4969,3871,0.779029985913
7,3,3809,2509,0.658703071672
7,4,2605,1313,0.504030710173
7,5,1350,480,0.355555555556
7,6,682,156,0.228739002933
7,7,301,52,0.172757475083
7,8,136,9,0.0661764705882
7,9,52,0,0.0
7,10,14,1,0.0714285714286
7,11,12,1,0.0833333333333
7,12,5,0,0.0
7,13,3,0,0.0
7,15,3,0,0.0
8,2,4969,3869,0.778627490441
8,3,3809,2511,0.65922814387
8,4,2605,1311,0.503262955854
8,5,1350,479,0.354814814815
8,6,682,169,0.24780058651
8,7,301,46,0.152823920266
8,8,136,12,0.0882352941176
8,9,52,1,0.0192307692308
8,10,14,1,0.0714285714286
8,11,12,0,0.0
8,12,5,0,0.0
8,13,3,0,0.0
8,15,3,0,0.0
9,2,4969,3864,0.777621251761
9,3,3809,2513,0.659753216067
9,4,2605,1293,0.496353166987
9,5,1350,475,0.351851851852
9,6,682,157,0.230205278592
9,7,301,53,0.176079734219
9,8,136,14,0.102941176471
9,9,52,0,0.0
9,10,14,1,0.0714285714286
9,11,12,0,0.0
9,12,5,0,0.0
9,13,3,0,0.0
9,15,3,0,0.0
10,2,4969,3863,0.777420004025
10,3,3809,2499,0.656077710685
10,4,2605,1294,0.496737044146
10,5,1350,473,0.35037037037
10,6,682,170,0.24926686217
10,7,301,52,0.172757475083
10,8,136,11,0.0808823529412
10,9,52,0,0.0
10,10,14,0,0.0
10,11,12,0,0.0
10,12,5,0,0.0
10,13,3,0,0.0
10,15,3,0,0.0
