iter,utterance_length,nb_utterances,produced,production_score
1,2,6878,5759,0.83730735679
1,3,5481,3762,0.686371100164
1,4,3278,1820,0.555216595485
1,5,1504,611,0.40625
1,6,695,193,0.277697841727
1,7,298,47,0.157718120805
1,8,119,10,0.0840336134454
1,9,37,6,0.162162162162
1,10,25,2,0.08
1,11,16,0,0.0
1,12,4,0,0.0
1,13,4,1,0.25
1,14,2,0,0.0
2,2,6878,5754,0.836580401279
2,3,5481,3761,0.686188651706
2,4,3278,1789,0.545759609518
2,5,1504,622,0.413563829787
2,6,695,193,0.277697841727
2,7,298,47,0.157718120805
2,8,119,10,0.0840336134454
2,9,37,6,0.162162162162
2,10,25,1,0.04
2,11,16,0,0.0
2,12,4,0,0.0
2,13,4,1,0.25
2,14,2,0,0.0
3,2,6878,5758,0.837161965688
3,3,5481,3749,0.683999270206
3,4,3278,1806,0.550945698597
3,5,1504,617,0.410239361702
3,6,695,187,0.269064748201
3,7,298,42,0.140939597315
3,8,119,11,0.0924369747899
3,9,37,6,0.162162162162
3,10,25,1,0.04
3,11,16,0,0.0
3,12,4,0,0.0
3,13,4,1,0.25
3,14,2,0,0.0
4,2,6878,5748,0.835708054667
4,3,5481,3774,0.688560481664
4,4,3278,1785,0.544539353264
4,5,1504,607,0.403590425532
4,6,695,190,0.273381294964
4,7,298,44,0.147651006711
4,8,119,9,0.0756302521008
4,9,37,4,0.108108108108
4,10,25,2,0.08
4,11,16,0,0.0
4,12,4,0,0.0
4,13,4,1,0.25
4,14,2,0,0.0
5,2,6878,5756,0.836871183484
5,3,5481,3762,0.686371100164
5,4,3278,1796,0.547895057962
5,5,1504,613,0.407579787234
5,6,695,195,0.280575539568
5,7,298,45,0.151006711409
5,8,119,8,0.0672268907563
5,9,37,5,0.135135135135
5,10,25,1,0.04
5,11,16,0,0.0
5,12,4,0,0.0
5,13,4,0,0.0
5,14,2,0,0.0
6,2,6878,5755,0.836725792382
6,3,5481,3756,0.685276409414
6,4,3278,1796,0.547895057962
6,5,1504,595,0.395611702128
6,6,695,197,0.28345323741
6,7,298,40,0.134228187919
6,8,119,5,0.0420168067227
6,9,37,6,0.162162162162
6,10,25,2,0.08
6,11,16,0,0.0
6,12,4,0,0.0
6,13,4,1,0.25
6,14,2,0,0.0
7,2,6878,5747,0.835562663565
7,3,5481,3759,0.685823754789
7,4,3278,1791,0.546369737645
7,5,1504,617,0.410239361702
7,6,695,197,0.28345323741
7,7,298,42,0.140939597315
7,8,119,8,0.0672268907563
7,9,37,3,0.0810810810811
7,10,25,1,0.04
7,11,16,1,0.0625
7,12,4,0,0.0
7,13,4,0,0.0
7,14,2,0,0.0
8,2,6878,5757,0.837016574586
8,3,5481,3753,0.684729064039
8,4,3278,1793,0.546979865772
8,5,1504,617,0.410239361702
8,6,695,194,0.279136690647
8,7,298,43,0.144295302013
8,8,119,6,0.0504201680672
8,9,37,3,0.0810810810811
8,10,25,1,0.04
8,11,16,0,0.0
8,12,4,0,0.0
8,13,4,0,0.0
8,14,2,0,0.0
9,2,6878,5749,0.835853445769
9,3,5481,3762,0.686371100164
9,4,3278,1800,0.549115314216
9,5,1504,600,0.398936170213
9,6,695,180,0.258992805755
9,7,298,48,0.161073825503
9,8,119,8,0.0672268907563
9,9,37,5,0.135135135135
9,10,25,2,0.08
9,11,16,0,0.0
9,12,4,0,0.0
9,13,4,1,0.25
9,14,2,0,0.0
10,2,6878,5746,0.835417272463
10,3,5481,3753,0.684729064039
10,4,3278,1781,0.54331909701
10,5,1504,611,0.40625
10,6,695,192,0.276258992806
10,7,298,45,0.151006711409
10,8,119,8,0.0672268907563
10,9,37,2,0.0540540540541
10,10,25,1,0.04
10,11,16,0,0.0
10,12,4,0,0.0
10,13,4,0,0.0
10,14,2,0,0.0
