iter,utterance_length,nb_utterances,produced,production_score
1,2,484,358,0.739669421488
1,3,509,286,0.561886051081
1,4,458,160,0.349344978166
1,5,379,88,0.232189973615
1,6,237,34,0.143459915612
1,7,160,14,0.0875
1,8,100,6,0.06
1,9,58,1,0.0172413793103
1,10,47,0,0.0
1,11,8,0,0.0
1,12,19,0,0.0
1,13,11,0,0.0
1,14,6,0,0.0
1,15,8,0,0.0
1,16,5,0,0.0
1,17,2,0,0.0
1,18,1,0,0.0
1,22,1,0,0.0
1,23,1,0,0.0
1,24,1,0,0.0
1,27,1,0,0.0
2,2,484,353,0.729338842975
2,3,509,284,0.557956777996
2,4,458,163,0.355895196507
2,5,379,99,0.261213720317
2,6,237,36,0.151898734177
2,7,160,12,0.075
2,8,100,6,0.06
2,9,58,0,0.0
2,10,47,0,0.0
2,11,8,0,0.0
2,12,19,0,0.0
2,13,11,0,0.0
2,14,6,0,0.0
2,15,8,0,0.0
2,16,5,0,0.0
2,17,2,0,0.0
2,18,1,0,0.0
2,22,1,0,0.0
2,23,1,0,0.0
2,24,1,0,0.0
2,27,1,0,0.0
3,2,484,348,0.719008264463
3,3,509,280,0.550098231827
3,4,458,158,0.344978165939
3,5,379,90,0.23746701847
3,6,237,32,0.135021097046
3,7,160,15,0.09375
3,8,100,8,0.08
3,9,58,0,0.0
3,10,47,0,0.0
3,11,8,0,0.0
3,12,19,0,0.0
3,13,11,0,0.0
3,14,6,0,0.0
3,15,8,0,0.0
3,16,5,0,0.0
3,17,2,0,0.0
3,18,1,0,0.0
3,22,1,0,0.0
3,23,1,0,0.0
3,24,1,0,0.0
3,27,1,0,0.0
4,2,484,350,0.723140495868
4,3,509,289,0.567779960707
4,4,458,173,0.377729257642
4,5,379,91,0.240105540897
4,6,237,33,0.139240506329
4,7,160,10,0.0625
4,8,100,4,0.04
4,9,58,0,0.0
4,10,47,0,0.0
4,11,8,0,0.0
4,12,19,0,0.0
4,13,11,0,0.0
4,14,6,0,0.0
4,15,8,0,0.0
4,16,5,0,0.0
4,17,2,0,0.0
4,18,1,0,0.0
4,22,1,0,0.0
4,23,1,0,0.0
4,24,1,0,0.0
4,27,1,0,0.0
5,2,484,355,0.73347107438
5,3,509,281,0.552062868369
5,4,458,173,0.377729257642
5,5,379,94,0.248021108179
5,6,237,38,0.160337552743
5,7,160,13,0.08125
5,8,100,4,0.04
5,9,58,0,0.0
5,10,47,0,0.0
5,11,8,0,0.0
5,12,19,0,0.0
5,13,11,0,0.0
5,14,6,0,0.0
5,15,8,0,0.0
5,16,5,0,0.0
5,17,2,0,0.0
5,18,1,0,0.0
5,22,1,0,0.0
5,23,1,0,0.0
5,24,1,0,0.0
5,27,1,0,0.0
6,2,484,350,0.723140495868
6,3,509,292,0.573673870334
6,4,458,171,0.373362445415
6,5,379,91,0.240105540897
6,6,237,28,0.118143459916
6,7,160,12,0.075
6,8,100,7,0.07
6,9,58,0,0.0
6,10,47,1,0.0212765957447
6,11,8,0,0.0
6,12,19,0,0.0
6,13,11,0,0.0
6,14,6,0,0.0
6,15,8,0,0.0
6,16,5,0,0.0
6,17,2,0,0.0
6,18,1,0,0.0
6,22,1,0,0.0
6,23,1,0,0.0
6,24,1,0,0.0
6,27,1,0,0.0
7,2,484,349,0.721074380165
7,3,509,284,0.557956777996
7,4,458,162,0.353711790393
7,5,379,87,0.229551451187
7,6,237,33,0.139240506329
7,7,160,11,0.06875
7,8,100,7,0.07
7,9,58,0,0.0
7,10,47,0,0.0
7,11,8,0,0.0
7,12,19,0,0.0
7,13,11,0,0.0
7,14,6,0,0.0
7,15,8,0,0.0
7,16,5,1,0.2
7,17,2,0,0.0
7,18,1,0,0.0
7,22,1,0,0.0
7,23,1,0,0.0
7,24,1,0,0.0
7,27,1,0,0.0
8,2,484,350,0.723140495868
8,3,509,284,0.557956777996
8,4,458,165,0.360262008734
8,5,379,90,0.23746701847
8,6,237,31,0.130801687764
8,7,160,14,0.0875
8,8,100,5,0.05
8,9,58,0,0.0
8,10,47,1,0.0212765957447
8,11,8,0,0.0
8,12,19,0,0.0
8,13,11,0,0.0
8,14,6,0,0.0
8,15,8,0,0.0
8,16,5,0,0.0
8,17,2,0,0.0
8,18,1,0,0.0
8,22,1,0,0.0
8,23,1,0,0.0
8,24,1,0,0.0
8,27,1,0,0.0
9,2,484,350,0.723140495868
9,3,509,291,0.571709233792
9,4,458,167,0.364628820961
9,5,379,100,0.263852242744
9,6,237,33,0.139240506329
9,7,160,6,0.0375
9,8,100,7,0.07
9,9,58,0,0.0
9,10,47,1,0.0212765957447
9,11,8,0,0.0
9,12,19,0,0.0
9,13,11,0,0.0
9,14,6,0,0.0
9,15,8,0,0.0
9,16,5,0,0.0
9,17,2,0,0.0
9,18,1,0,0.0
9,22,1,0,0.0
9,23,1,0,0.0
9,24,1,0,0.0
9,27,1,0,0.0
10,2,484,348,0.719008264463
10,3,509,279,0.548133595285
10,4,458,167,0.364628820961
10,5,379,94,0.248021108179
10,6,237,36,0.151898734177
10,7,160,8,0.05
10,8,100,5,0.05
10,9,58,0,0.0
10,10,47,0,0.0
10,11,8,0,0.0
10,12,19,0,0.0
10,13,11,0,0.0
10,14,6,0,0.0
10,15,8,0,0.0
10,16,5,0,0.0
10,17,2,0,0.0
10,18,1,0,0.0
10,22,1,0,0.0
10,23,1,0,0.0
10,24,1,0,0.0
10,27,1,0,0.0
