iter,utterance_length,nb_utterances,produced,production_score
1,2,405,328,0.80987654321
1,3,366,237,0.647540983607
1,4,313,142,0.453674121406
1,5,198,60,0.30303030303
1,6,128,38,0.296875
1,7,91,10,0.10989010989
1,8,50,2,0.04
1,9,37,2,0.0540540540541
1,10,18,0,0.0
1,11,11,0,0.0
1,12,8,0,0.0
1,13,2,0,0.0
1,14,2,0,0.0
1,15,1,0,0.0
1,16,1,0,0.0
1,18,1,0,0.0
2,2,405,329,0.812345679012
2,3,366,240,0.655737704918
2,4,313,140,0.447284345048
2,5,198,56,0.282828282828
2,6,128,31,0.2421875
2,7,91,10,0.10989010989
2,8,50,3,0.06
2,9,37,1,0.027027027027
2,10,18,0,0.0
2,11,11,0,0.0
2,12,8,0,0.0
2,13,2,0,0.0
2,14,2,0,0.0
2,15,1,0,0.0
2,16,1,0,0.0
2,18,1,0,0.0
3,2,405,323,0.797530864198
3,3,366,237,0.647540983607
3,4,313,144,0.460063897764
3,5,198,57,0.287878787879
3,6,128,33,0.2578125
3,7,91,6,0.0659340659341
3,8,50,3,0.06
3,9,37,2,0.0540540540541
3,10,18,0,0.0
3,11,11,0,0.0
3,12,8,0,0.0
3,13,2,0,0.0
3,14,2,0,0.0
3,15,1,0,0.0
3,16,1,0,0.0
3,18,1,0,0.0
4,2,405,324,0.8
4,3,366,240,0.655737704918
4,4,313,143,0.456869009585
4,5,198,54,0.272727272727
4,6,128,35,0.2734375
4,7,91,11,0.120879120879
4,8,50,4,0.08
4,9,37,1,0.027027027027
4,10,18,0,0.0
4,11,11,0,0.0
4,12,8,0,0.0
4,13,2,0,0.0
4,14,2,0,0.0
4,15,1,0,0.0
4,16,1,0,0.0
4,18,1,0,0.0
5,2,405,327,0.807407407407
5,3,366,234,0.639344262295
5,4,313,147,0.4696485623
5,5,198,56,0.282828282828
5,6,128,29,0.2265625
5,7,91,12,0.131868131868
5,8,50,2,0.04
5,9,37,2,0.0540540540541
5,10,18,0,0.0
5,11,11,0,0.0
5,12,8,0,0.0
5,13,2,0,0.0
5,14,2,0,0.0
5,15,1,0,0.0
5,16,1,0,0.0
5,18,1,0,0.0
6,2,405,323,0.797530864198
6,3,366,242,0.661202185792
6,4,313,141,0.450479233227
6,5,198,57,0.287878787879
6,6,128,35,0.2734375
6,7,91,6,0.0659340659341
6,8,50,4,0.08
6,9,37,4,0.108108108108
6,10,18,0,0.0
6,11,11,0,0.0
6,12,8,0,0.0
6,13,2,0,0.0
6,14,2,0,0.0
6,15,1,0,0.0
6,16,1,0,0.0
6,18,1,0,0.0
7,2,405,328,0.80987654321
7,3,366,233,0.636612021858
7,4,313,141,0.450479233227
7,5,198,55,0.277777777778
7,6,128,29,0.2265625
7,7,91,7,0.0769230769231
7,8,50,3,0.06
7,9,37,2,0.0540540540541
7,10,18,0,0.0
7,11,11,0,0.0
7,12,8,0,0.0
7,13,2,0,0.0
7,14,2,0,0.0
7,15,1,0,0.0
7,16,1,0,0.0
7,18,1,0,0.0
8,2,405,327,0.807407407407
8,3,366,232,0.633879781421
8,4,313,141,0.450479233227
8,5,198,62,0.313131313131
8,6,128,35,0.2734375
8,7,91,7,0.0769230769231
8,8,50,3,0.06
8,9,37,2,0.0540540540541
8,10,18,0,0.0
8,11,11,0,0.0
8,12,8,0,0.0
8,13,2,0,0.0
8,14,2,0,0.0
8,15,1,0,0.0
8,16,1,0,0.0
8,18,1,0,0.0
9,2,405,326,0.804938271605
9,3,366,241,0.658469945355
9,4,313,139,0.444089456869
9,5,198,58,0.292929292929
9,6,128,36,0.28125
9,7,91,8,0.0879120879121
9,8,50,3,0.06
9,9,37,1,0.027027027027
9,10,18,0,0.0
9,11,11,0,0.0
9,12,8,0,0.0
9,13,2,0,0.0
9,14,2,0,0.0
9,15,1,0,0.0
9,16,1,0,0.0
9,18,1,0,0.0
10,2,405,329,0.812345679012
10,3,366,232,0.633879781421
10,4,313,147,0.4696485623
10,5,198,56,0.282828282828
10,6,128,33,0.2578125
10,7,91,15,0.164835164835
10,8,50,2,0.04
10,9,37,1,0.027027027027
10,10,18,0,0.0
10,11,11,0,0.0
10,12,8,0,0.0
10,13,2,0,0.0
10,14,2,0,0.0
10,15,1,0,0.0
10,16,1,0,0.0
10,18,1,0,0.0
