iter,utterance_length,nb_utterances,produced,production_score
1,2,5252,3946,0.75133282559
1,3,3312,1845,0.557065217391
1,4,1909,835,0.437401781037
1,5,897,256,0.285395763657
1,6,416,73,0.175480769231
1,7,194,20,0.103092783505
1,8,80,2,0.025
1,9,41,3,0.0731707317073
1,10,14,0,0.0
1,11,3,0,0.0
1,12,4,0,0.0
1,13,2,0,0.0
1,14,2,0,0.0
1,15,2,0,0.0
2,2,5252,3949,0.751904036558
2,3,3312,1843,0.556461352657
2,4,1909,846,0.443163960189
2,5,897,247,0.275362318841
2,6,416,67,0.161057692308
2,7,194,21,0.10824742268
2,8,80,7,0.0875
2,9,41,1,0.0243902439024
2,10,14,0,0.0
2,11,3,0,0.0
2,12,4,0,0.0
2,13,2,0,0.0
2,14,2,0,0.0
2,15,2,0,0.0
3,2,5252,3953,0.752665651181
3,3,3312,1843,0.556461352657
3,4,1909,827,0.433211105291
3,5,897,246,0.274247491639
3,6,416,70,0.168269230769
3,7,194,20,0.103092783505
3,8,80,5,0.0625
3,9,41,0,0.0
3,10,14,0,0.0
3,11,3,0,0.0
3,12,4,0,0.0
3,13,2,0,0.0
3,14,2,0,0.0
3,15,2,0,0.0
4,2,5252,3944,0.750952018279
4,3,3312,1848,0.557971014493
4,4,1909,846,0.443163960189
4,5,897,245,0.273132664437
4,6,416,68,0.163461538462
4,7,194,28,0.144329896907
4,8,80,6,0.075
4,9,41,2,0.0487804878049
4,10,14,0,0.0
4,11,3,0,0.0
4,12,4,0,0.0
4,13,2,0,0.0
4,14,2,0,0.0
4,15,2,0,0.0
5,2,5252,3944,0.750952018279
5,3,3312,1847,0.557669082126
5,4,1909,839,0.43949711891
5,5,897,248,0.276477146042
5,6,416,70,0.168269230769
5,7,194,23,0.118556701031
5,8,80,4,0.05
5,9,41,0,0.0
5,10,14,0,0.0
5,11,3,0,0.0
5,12,4,0,0.0
5,13,2,0,0.0
5,14,2,0,0.0
5,15,2,0,0.0
6,2,5252,3950,0.752094440213
6,3,3312,1858,0.560990338164
6,4,1909,857,0.44892613934
6,5,897,241,0.26867335563
6,6,416,67,0.161057692308
6,7,194,22,0.113402061856
6,8,80,5,0.0625
6,9,41,4,0.0975609756098
6,10,14,0,0.0
6,11,3,0,0.0
6,12,4,0,0.0
6,13,2,0,0.0
6,14,2,0,0.0
6,15,2,0,0.0
7,2,5252,3945,0.751142421935
7,3,3312,1834,0.553743961353
7,4,1909,854,0.447354635935
7,5,897,250,0.278706800446
7,6,416,66,0.158653846154
7,7,194,24,0.123711340206
7,8,80,5,0.0625
7,9,41,1,0.0243902439024
7,10,14,0,0.0
7,11,3,0,0.0
7,12,4,0,0.0
7,13,2,0,0.0
7,14,2,0,0.0
7,15,2,0,0.0
8,2,5252,3949,0.751904036558
8,3,3312,1854,0.559782608696
8,4,1909,844,0.442116291252
8,5,897,249,0.277591973244
8,6,416,75,0.180288461538
8,7,194,26,0.134020618557
8,8,80,4,0.05
8,9,41,1,0.0243902439024
8,10,14,0,0.0
8,11,3,0,0.0
8,12,4,0,0.0
8,13,2,0,0.0
8,14,2,0,0.0
8,15,2,0,0.0
9,2,5252,3952,0.752475247525
9,3,3312,1865,0.563103864734
9,4,1909,853,0.446830801467
9,5,897,247,0.275362318841
9,6,416,61,0.146634615385
9,7,194,20,0.103092783505
9,8,80,5,0.0625
9,9,41,1,0.0243902439024
9,10,14,0,0.0
9,11,3,0,0.0
9,12,4,0,0.0
9,13,2,0,0.0
9,14,2,0,0.0
9,15,2,0,0.0
10,2,5252,3945,0.751142421935
10,3,3312,1861,0.561896135266
10,4,1909,850,0.445259298062
10,5,897,243,0.270903010033
10,6,416,80,0.192307692308
10,7,194,18,0.0927835051546
10,8,80,4,0.05
10,9,41,1,0.0243902439024
10,10,14,0,0.0
10,11,3,0,0.0
10,12,4,0,0.0
10,13,2,0,0.0
10,14,2,0,0.0
10,15,2,0,0.0
