iter,utterance_length,nb_utterances,produced,production_score
1,2,474,369,0.778481012658
1,3,633,383,0.605055292259
1,4,620,243,0.391935483871
1,5,542,135,0.249077490775
1,6,383,43,0.11227154047
1,7,250,17,0.068
1,8,161,16,0.0993788819876
1,9,94,4,0.0425531914894
1,10,68,0,0.0
1,11,37,0,0.0
1,12,23,0,0.0
1,13,23,0,0.0
1,14,15,0,0.0
1,15,7,0,0.0
1,16,6,0,0.0
1,17,5,0,0.0
1,18,1,0,0.0
1,19,2,0,0.0
1,20,3,0,0.0
1,21,1,0,0.0
1,22,1,0,0.0
1,23,1,0,0.0
1,24,1,0,0.0
1,25,1,0,0.0
1,29,1,0,0.0
2,2,474,373,0.786919831224
2,3,633,380,0.600315955766
2,4,620,251,0.404838709677
2,5,542,134,0.247232472325
2,6,383,51,0.13315926893
2,7,250,23,0.092
2,8,161,11,0.0683229813665
2,9,94,2,0.0212765957447
2,10,68,1,0.0147058823529
2,11,37,0,0.0
2,12,23,0,0.0
2,13,23,0,0.0
2,14,15,0,0.0
2,15,7,0,0.0
2,16,6,0,0.0
2,17,5,0,0.0
2,18,1,0,0.0
2,19,2,0,0.0
2,20,3,0,0.0
2,21,1,0,0.0
2,22,1,0,0.0
2,23,1,0,0.0
2,24,1,0,0.0
2,25,1,0,0.0
2,29,1,0,0.0
3,2,474,371,0.782700421941
3,3,633,370,0.584518167457
3,4,620,246,0.396774193548
3,5,542,144,0.265682656827
3,6,383,48,0.125326370757
3,7,250,24,0.096
3,8,161,9,0.055900621118
3,9,94,4,0.0425531914894
3,10,68,0,0.0
3,11,37,2,0.0540540540541
3,12,23,0,0.0
3,13,23,0,0.0
3,14,15,0,0.0
3,15,7,0,0.0
3,16,6,0,0.0
3,17,5,0,0.0
3,18,1,0,0.0
3,19,2,0,0.0
3,20,3,0,0.0
3,21,1,0,0.0
3,22,1,0,0.0
3,23,1,0,0.0
3,24,1,0,0.0
3,25,1,0,0.0
3,29,1,0,0.0
4,2,474,368,0.776371308017
4,3,633,363,0.57345971564
4,4,620,269,0.433870967742
4,5,542,131,0.241697416974
4,6,383,48,0.125326370757
4,7,250,17,0.068
4,8,161,7,0.0434782608696
4,9,94,1,0.0106382978723
4,10,68,0,0.0
4,11,37,0,0.0
4,12,23,0,0.0
4,13,23,0,0.0
4,14,15,0,0.0
4,15,7,0,0.0
4,16,6,0,0.0
4,17,5,0,0.0
4,18,1,0,0.0
4,19,2,0,0.0
4,20,3,0,0.0
4,21,1,0,0.0
4,22,1,0,0.0
4,23,1,0,0.0
4,24,1,0,0.0
4,25,1,0,0.0
4,29,1,0,0.0
5,2,474,372,0.784810126582
5,3,633,379,0.598736176935
5,4,620,261,0.420967741935
5,5,542,136,0.250922509225
5,6,383,49,0.127937336815
5,7,250,25,0.1
5,8,161,14,0.0869565217391
5,9,94,4,0.0425531914894
5,10,68,0,0.0
5,11,37,0,0.0
5,12,23,0,0.0
5,13,23,0,0.0
5,14,15,0,0.0
5,15,7,0,0.0
5,16,6,0,0.0
