iter,utterance_length,nb_utterances,produced,production_score
1,2,2931,2164,0.738314568407
1,3,2475,1347,0.544242424242
1,4,1735,663,0.382132564841
1,5,1107,286,0.258355916893
1,6,653,91,0.139356814701
1,7,375,30,0.08
1,8,213,16,0.075117370892
1,9,111,0,0.0
1,10,69,3,0.0434782608696
1,11,37,2,0.0540540540541
1,12,23,0,0.0
1,13,9,0,0.0
1,14,2,0,0.0
1,15,2,0,0.0
1,16,4,0,0.0
1,17,3,0,0.0
1,18,1,0,0.0
1,23,1,0,0.0
2,2,2931,2166,0.738996929376
2,3,2475,1353,0.546666666667
2,4,1735,669,0.385590778098
2,5,1107,271,0.244805781391
2,6,653,103,0.157733537519
2,7,375,31,0.0826666666667
2,8,213,16,0.075117370892
2,9,111,0,0.0
2,10,69,3,0.0434782608696
2,11,37,2,0.0540540540541
2,12,23,0,0.0
2,13,9,0,0.0
2,14,2,0,0.0
2,15,2,0,0.0
2,16,4,0,0.0
2,17,3,0,0.0
2,18,1,0,0.0
2,23,1,0,0.0
3,2,2931,2169,0.740020470829
3,3,2475,1343,0.542626262626
3,4,1735,675,0.389048991354
3,5,1107,276,0.249322493225
3,6,653,94,0.143950995406
3,7,375,35,0.0933333333333
3,8,213,14,0.0657276995305
3,9,111,0,0.0
3,10,69,4,0.0579710144928
3,11,37,2,0.0540540540541
3,12,23,0,0.0
3,13,9,0,0.0
3,14,2,0,0.0
3,15,2,0,0.0
3,16,4,0,0.0
3,17,3,0,0.0
3,18,1,0,0.0
3,23,1,0,0.0
4,2,2931,2168,0.739679290345
4,3,2475,1349,0.545050505051
4,4,1735,674,0.388472622478
4,5,1107,284,0.256549232159
4,6,653,95,0.145482388974
4,7,375,37,0.0986666666667
4,8,213,18,0.0845070422535
4,9,111,0,0.0
4,10,69,2,0.0289855072464
4,11,37,2,0.0540540540541
4,12,23,0,0.0
4,13,9,0,0.0
4,14,2,0,0.0
4,15,2,0,0.0
4,16,4,0,0.0
4,17,3,0,0.0
4,18,1,0,0.0
4,23,1,0,0.0
5,2,2931,2165,0.738655748891
5,3,2475,1343,0.542626262626
5,4,1735,674,0.388472622478
5,5,1107,277,0.250225835592
5,6,653,100,0.153139356815
5,7,375,37,0.0986666666667
5,8,213,14,0.0657276995305
5,9,111,0,0.0
5,10,69,3,0.0434782608696
5,11,37,3,0.0810810810811
5,12,23,0,0.0
5,13,9,0,0.0
5,14,2,0,0.0
5,15,2,0,0.0
5,16,4,0,0.0
5,17,3,0,0.0
5,18,1,0,0.0
5,23,1,0,0.0
6,2,2931,2166,0.738996929376
6,3,2475,1348,0.544646464646
6,4,1735,663,0.382132564841
6,5,1107,275,0.248419150858
6,6,653,95,0.145482388974
6,7,375,36,0.096
6,8,213,17,0.0798122065728
6,9,111,0,0.0
6,10,69,4,0.0579710144928
6,11,37,3,0.0810810810811
6,12,23,0,0.0
6,13,9,0,0.0
6,14,2,0,0.0
6,15,2,0,0.0
6,16,4,0,0.0
6,17,3,0,0.0
6,18,1,0,0.0
6,23,1,0,0.0
7,2,2931,2172,0.741044012282
7,3,2475,1342,0.542222222222
7,4,1735,666,0.38386167147
7,5,1107,267,0.241192411924
7,6,653,98,0.150076569678
7,7,375,38,0.101333333333
7,8,213,15,0.0704225352113
7,9,111,1,0.00900900900901
7,10,69,3,0.0434782608696
7,11,37,2,0.0540540540541
7,12,23,0,0.0
7,13,9,0,0.0
7,14,2,0,0.0
7,15,2,0,0.0
7,16,4,0,0.0
7,17,3,0,0.0
7,18,1,0,0.0
7,23,1,0,0.0
8,2,2931,2171,0.740702831798
8,3,2475,1343,0.542626262626
8,4,1735,664,0.382708933718
8,5,1107,269,0.242999096658
8,6,653,86,0.131699846861
8,7,375,34,0.0906666666667
8,8,213,14,0.0657276995305
8,9,111,1,0.00900900900901
8,10,69,2,0.0289855072464
8,11,37,3,0.0810810810811
8,12,23,0,0.0
8,13,9,0,0.0
8,14,2,0,0.0
8,15,2,0,0.0
8,16,4,0,0.0
8,17,3,0,0.0
8,18,1,0,0.0
8,23,1,0,0.0
9,2,2931,2172,0.741044012282
9,3,2475,1349,0.545050505051
9,4,1735,669,0.385590778098
9,5,1107,266,0.240289069557
9,6,653,100,0.153139356815
9,7,375,38,0.101333333333
9,8,213,18,0.0845070422535
9,9,111,1,0.00900900900901
9,10,69,2,0.0289855072464
9,11,37,2,0.0540540540541
9,12,23,0,0.0
9,13,9,0,0.0
9,14,2,0,0.0
9,15,2,0,0.0
9,16,4,0,0.0
9,17,3,0,0.0
9,18,1,0,0.0
9,23,1,0,0.0
10,2,2931,2160,0.736949846469
10,3,2475,1330,0.537373737374
10,4,1735,675,0.389048991354
10,5,1107,277,0.250225835592
10,6,653,102,0.156202143951
10,7,375,42,0.112
10,8,213,18,0.0845070422535
10,9,111,0,0.0
10,10,69,2,0.0289855072464
10,11,37,2,0.0540540540541
10,12,23,0,0.0
10,13,9,0,0.0
10,14,2,0,0.0
10,15,2,0,0.0
10,16,4,0,0.0
10,17,3,0,0.0
10,18,1,0,0.0
10,23,1,0,0.0
