iter,utterance_length,nb_utterances,produced,production_score
1,2,2525,2010,0.79603960396
1,3,2332,1366,0.58576329331
1,4,1573,689,0.438016528926
1,5,908,251,0.276431718062
1,6,523,106,0.202676864245
1,7,246,45,0.182926829268
1,8,145,9,0.0620689655172
1,9,67,4,0.0597014925373
1,10,35,2,0.0571428571429
1,11,25,0,0.0
1,12,17,1,0.0588235294118
1,13,14,0,0.0
1,14,5,0,0.0
1,15,2,0,0.0
1,16,1,1,1.0
1,17,2,0,0.0
1,18,4,1,0.25
1,20,2,0,0.0
1,24,1,0,0.0
1,25,1,0,0.0
2,2,2525,1995,0.790099009901
2,3,2332,1396,0.598627787307
2,4,1573,688,0.437380801017
2,5,908,268,0.295154185022
2,6,523,109,0.208413001912
2,7,246,44,0.178861788618
2,8,145,11,0.0758620689655
2,9,67,2,0.0298507462687
2,10,35,1,0.0285714285714
2,11,25,0,0.0
2,12,17,1,0.0588235294118
2,13,14,0,0.0
2,14,5,0,0.0
2,15,2,0,0.0
2,16,1,1,1.0
2,17,2,0,0.0
2,18,4,1,0.25
2,20,2,0,0.0
2,24,1,0,0.0
2,25,1,0,0.0
3,2,2525,2017,0.798811881188
3,3,2332,1377,0.590480274443
3,4,1573,702,0.446280991736
3,5,908,256,0.281938325991
3,6,523,114,0.217973231358
3,7,246,40,0.162601626016
3,8,145,9,0.0620689655172
3,9,67,4,0.0597014925373
3,10,35,1,0.0285714285714
3,11,25,0,0.0
3,12,17,1,0.0588235294118
3,13,14,0,0.0
3,14,5,0,0.0
3,15,2,0,0.0
3,16,1,1,1.0
3,17,2,0,0.0
3,18,4,1,0.25
3,20,2,0,0.0
3,24,1,0,0.0
3,25,1,0,0.0
4,2,2525,2006,0.794455445545
4,3,2332,1371,0.587907375643
4,4,1573,686,0.4361093452
4,5,908,269,0.296255506608
4,6,523,107,0.204588910134
4,7,246,41,0.166666666667
4,8,145,10,0.0689655172414
4,9,67,2,0.0298507462687
4,10,35,2,0.0571428571429
4,11,25,0,0.0
4,12,17,2,0.117647058824
4,13,14,0,0.0
4,14,5,0,0.0
4,15,2,0,0.0
4,16,1,1,1.0
4,17,2,0,0.0
4,18,4,1,0.25
4,20,2,0,0.0
4,24,1,0,0.0
4,25,1,0,0.0
5,2,2525,2013,0.797227722772
5,3,2332,1368,0.586620926244
5,4,1573,711,0.452002542912
5,5,908,264,0.290748898678
5,6,523,113,0.216061185468
5,7,246,41,0.166666666667
5,8,145,8,0.0551724137931
5,9,67,2,0.0298507462687
5,10,35,2,0.0571428571429
5,11,25,0,0.0
5,12,17,1,0.0588235294118
5,13,14,0,0.0
5,14,5,0,0.0
5,15,2,0,0.0
5,16,1,1,1.0
5,17,2,0,0.0
5,18,4,1,0.25
5,20,2,0,0.0
5,24,1,0,0.0
5,25,1,0,0.0
6,2,2525,2016,0.798415841584
6,3,2332,1374,0.589193825043
6,4,1573,701,0.445645263827
6,5,908,261,0.287444933921
6,6,523,109,0.208413001912
6,7,246,43,0.174796747967
6,8,145,8,0.0551724137931
6,9,67,5,0.0746268656716
6,10,35,2,0.0571428571429
6,11,25,0,0.0
6,12,17,1,0.0588235294118
6,13,14,0,0.0
6,14,5,0,0.0
6,15,2,0,0.0
6,16,1,1,1.0
6,17,2,0,0.0
6,18,4,1,0.25
6,20,2,0,0.0
6,24,1,0,0.0
6,25,1,0,0.0
7,2,2525,2015,0.79801980198
7,3,2332,1363,0.584476843911
7,4,1573,720,0.457724094088
7,5,908,255,0.280837004405
7,6,523,108,0.206500956023
7,7,246,46,0.186991869919
7,8,145,11,0.0758620689655
7,9,67,2,0.0298507462687
7,10,35,1,0.0285714285714
7,11,25,0,0.0
7,12,17,1,0.0588235294118
7,13,14,0,0.0
7,14,5,1,0.2
7,15,2,0,0.0
7,16,1,1,1.0
7,17,2,0,0.0
7,18,4,1,0.25
7,20,2,0,0.0
7,24,1,0,0.0
7,25,1,0,0.0
8,2,2525,2013,0.797227722772
8,3,2332,1371,0.587907375643
8,4,1573,680,0.43229497775
8,5,908,258,0.284140969163
8,6,523,99,0.189292543021
8,7,246,41,0.166666666667
8,8,145,10,0.0689655172414
8,9,67,2,0.0298507462687
8,10,35,2,0.0571428571429
8,11,25,0,0.0
8,12,17,1,0.0588235294118
8,13,14,0,0.0
8,14,5,0,0.0
8,15,2,0,0.0
8,16,1,1,1.0
8,17,2,0,0.0
8,18,4,1,0.25
8,20,2,0,0.0
8,24,1,0,0.0
8,25,1,0,0.0
9,2,2525,2012,0.796831683168
9,3,2332,1384,0.593481989708
9,4,1573,723,0.459631277813
9,5,908,264,0.290748898678
9,6,523,102,0.195028680688
9,7,246,42,0.170731707317
9,8,145,12,0.0827586206897
9,9,67,2,0.0298507462687
9,10,35,2,0.0571428571429
9,11,25,0,0.0
9,12,17,1,0.0588235294118
9,13,14,0,0.0
9,14,5,0,0.0
9,15,2,0,0.0
9,16,1,1,1.0
9,17,2,0,0.0
9,18,4,1,0.25
9,20,2,0,0.0
9,24,1,0,0.0
9,25,1,0,0.0
10,2,2525,2015,0.79801980198
10,3,2332,1381,0.592195540309
10,4,1573,710,0.451366815003
10,5,908,259,0.285242290749
10,6,523,100,0.19120458891
10,7,246,41,0.166666666667
10,8,145,12,0.0827586206897
10,9,67,3,0.044776119403
10,10,35,2,0.0571428571429
10,11,25,0,0.0
10,12,17,1,0.0588235294118
10,13,14,0,0.0
10,14,5,0,0.0
10,15,2,0,0.0
10,16,1,1,1.0
10,17,2,0,0.0
10,18,4,1,0.25
10,20,2,0,0.0
10,24,1,0,0.0
10,25,1,0,0.0
