iter,utterance_length,nb_utterances,produced,production_score
1,2,3271,2615,0.799449709569
1,3,2924,1802,0.616279069767
1,4,1992,862,0.432730923695
1,5,1044,352,0.337164750958
1,6,484,139,0.287190082645
1,7,206,31,0.150485436893
1,8,79,6,0.0759493670886
1,9,29,3,0.103448275862
1,10,21,1,0.047619047619
1,11,9,0,0.0
1,12,3,0,0.0
1,13,4,0,0.0
1,14,1,0,0.0
1,16,1,0,0.0
2,2,3271,2614,0.799143992663
2,3,2924,1788,0.611491108071
2,4,1992,864,0.433734939759
2,5,1044,357,0.341954022989
2,6,484,127,0.262396694215
2,7,206,31,0.150485436893
2,8,79,6,0.0759493670886
2,9,29,1,0.0344827586207
2,10,21,1,0.047619047619
2,11,9,0,0.0
2,12,3,0,0.0
2,13,4,0,0.0
2,14,1,0,0.0
2,16,1,0,0.0
3,2,3271,2611,0.798226841944
3,3,2924,1807,0.617989056088
3,4,1992,868,0.435742971888
3,5,1044,358,0.342911877395
3,6,484,128,0.264462809917
3,7,206,27,0.131067961165
3,8,79,6,0.0759493670886
3,9,29,1,0.0344827586207
3,10,21,1,0.047619047619
3,11,9,0,0.0
3,12,3,0,0.0
3,13,4,0,0.0
3,14,1,0,0.0
3,16,1,0,0.0
4,2,3271,2617,0.800061143381
4,3,2924,1766,0.603967168263
4,4,1992,864,0.433734939759
4,5,1044,364,0.348659003831
4,6,484,123,0.254132231405
4,7,206,30,0.145631067961
4,8,79,7,0.0886075949367
4,9,29,2,0.0689655172414
4,10,21,2,0.0952380952381
4,11,9,0,0.0
4,12,3,0,0.0
4,13,4,0,0.0
4,14,1,0,0.0
4,16,1,0,0.0
5,2,3271,2610,0.797921125038
5,3,2924,1792,0.612859097127
5,4,1992,854,0.428714859438
5,5,1044,356,0.340996168582
5,6,484,127,0.262396694215
5,7,206,31,0.150485436893
5,8,79,6,0.0759493670886
5,9,29,1,0.0344827586207
5,10,21,1,0.047619047619
5,11,9,0,0.0
5,12,3,0,0.0
5,13,4,0,0.0
5,14,1,0,0.0
5,16,1,0,0.0
6,2,3271,2613,0.798838275757
6,3,2924,1785,0.610465116279
6,4,1992,868,0.435742971888
6,5,1044,348,0.333333333333
6,6,484,119,0.245867768595
6,7,206,28,0.135922330097
6,8,79,7,0.0886075949367
6,9,29,0,0.0
6,10,21,1,0.047619047619
6,11,9,0,0.0
6,12,3,0,0.0
6,13,4,0,0.0
6,14,1,0,0.0
6,16,1,0,0.0
7,2,3271,2611,0.798226841944
7,3,2924,1798,0.614911080711
7,4,1992,851,0.427208835341
7,5,1044,354,0.33908045977
7,6,484,135,0.278925619835
7,7,206,36,0.174757281553
7,8,79,7,0.0886075949367
7,9,29,2,0.0689655172414
7,10,21,1,0.047619047619
7,11,9,0,0.0
7,12,3,0,0.0
7,13,4,0,0.0
7,14,1,0,0.0
7,16,1,0,0.0
8,2,3271,2613,0.798838275757
8,3,2924,1786,0.610807113543
8,4,1992,869,0.43624497992
8,5,1044,351,0.336206896552
8,6,484,125,0.25826446281
8,7,206,32,0.155339805825
8,8,79,9,0.113924050633
8,9,29,1,0.0344827586207
8,10,21,1,0.047619047619
8,11,9,0,0.0
8,12,3,0,0.0
8,13,4,0,0.0
8,14,1,0,0.0
8,16,1,0,0.0
9,2,3271,2614,0.799143992663
9,3,2924,1799,0.615253077975
9,4,1992,852,0.427710843373
9,5,1044,348,0.333333333333
9,6,484,119,0.245867768595
9,7,206,29,0.140776699029
9,8,79,7,0.0886075949367
9,9,29,3,0.103448275862
9,10,21,1,0.047619047619
9,11,9,0,0.0
9,12,3,0,0.0
9,13,4,0,0.0
9,14,1,0,0.0
9,16,1,0,0.0
10,2,3271,2613,0.798838275757
10,3,2924,1790,0.612175102599
10,4,1992,858,0.430722891566
10,5,1044,336,0.32183908046
10,6,484,137,0.28305785124
10,7,206,31,0.150485436893
10,8,79,6,0.0759493670886
10,9,29,1,0.0344827586207
10,10,21,1,0.047619047619
10,11,9,0,0.0
10,12,3,0,0.0
10,13,4,0,0.0
10,14,1,0,0.0
10,16,1,0,0.0
