iter,utterance_length,nb_utterances,produced,production_score
1,2,1269,1028,0.810086682427
1,3,1204,701,0.582225913621
1,4,1006,379,0.376739562624
1,5,651,169,0.259600614439
1,6,379,49,0.129287598945
1,7,218,16,0.0733944954128
1,8,103,4,0.0388349514563
1,9,77,3,0.038961038961
1,10,42,0,0.0
1,11,17,0,0.0
1,12,12,1,0.0833333333333
1,13,7,0,0.0
1,14,4,0,0.0
1,15,1,0,0.0
1,16,1,0,0.0
1,17,2,0,0.0
1,18,1,0,0.0
1,19,1,0,0.0
1,21,2,0,0.0
1,24,2,0,0.0
2,2,1269,1023,0.806146572104
2,3,1204,709,0.588870431894
2,4,1006,384,0.381709741551
2,5,651,165,0.253456221198
2,6,379,50,0.131926121372
2,7,218,22,0.100917431193
2,8,103,1,0.00970873786408
2,9,77,1,0.012987012987
2,10,42,0,0.0
2,11,17,1,0.0588235294118
2,12,12,0,0.0
2,13,7,0,0.0
2,14,4,0,0.0
2,15,1,0,0.0
2,16,1,0,0.0
2,17,2,0,0.0
2,18,1,0,0.0
2,19,1,0,0.0
2,21,2,0,0.0
2,24,2,0,0.0
3,2,1269,1026,0.808510638298
3,3,1204,704,0.584717607973
3,4,1006,370,0.367793240557
3,5,651,160,0.245775729647
3,6,379,50,0.131926121372
3,7,218,17,0.0779816513761
3,8,103,3,0.0291262135922
3,9,77,1,0.012987012987
3,10,42,0,0.0
3,11,17,0,0.0
3,12,12,0,0.0
3,13,7,0,0.0
3,14,4,0,0.0
3,15,1,0,0.0
3,16,1,0,0.0
3,17,2,0,0.0
3,18,1,0,0.0
3,19,1,0,0.0
3,21,2,0,0.0
3,24,2,0,0.0
4,2,1269,1031,0.812450748621
4,3,1204,714,0.593023255814
4,4,1006,387,0.384691848907
4,5,651,159,0.244239631336
4,6,379,55,0.145118733509
4,7,218,22,0.100917431193
4,8,103,2,0.0194174757282
4,9,77,3,0.038961038961
4,10,42,0,0.0
4,11,17,0,0.0
4,12,12,0,0.0
4,13,7,0,0.0
4,14,4,0,0.0
4,15,1,0,0.0
4,16,1,0,0.0
4,17,2,0,0.0
4,18,1,0,0.0
4,19,1,0,0.0
4,21,2,0,0.0
4,24,2,0,0.0
5,2,1269,1032,0.813238770686
5,3,1204,702,0.583056478405
5,4,1006,381,0.378727634195
5,5,651,163,0.250384024578
5,6,379,54,0.142480211082
5,7,218,19,0.0871559633028
5,8,103,2,0.0194174757282
5,9,77,1,0.012987012987
5,10,42,0,0.0
5,11,17,0,0.0
5,12,12,0,0.0
5,13,7,0,0.0
5,14,4,0,0.0
5,15,1,0,0.0
5,16,1,0,0.0
5,17,2,0,0.0
5,18,1,0,0.0
5,19,1,0,0.0
5,21,2,0,0.0
5,24,2,0,0.0
6,2,1269,1030,0.811662726556
6,3,1204,714,0.593023255814
6,4,1006,358,0.355864811133
6,5,651,177,0.271889400922
6,6,379,50,0.131926121372
6,7,218,16,0.0733944954128
6,8,103,3,0.0291262135922
6,9,77,1,0.012987012987
6,10,42,0,0.0
6,11,17,0,0.0
6,12,12,0,0.0
6,13,7,0,0.0
6,14,4,0,0.0
6,15,1,0,0.0
6,16,1,0,0.0
6,17,2,0,0.0
6,18,1,0,0.0
6,19,1,0,0.0
6,21,2,0,0.0
6,24,2,0,0.0
7,2,1269,1027,0.809298660362
7,3,1204,706,0.586378737542
7,4,1006,380,0.37773359841
7,5,651,171,0.26267281106
7,6,379,53,0.139841688654
7,7,218,17,0.0779816513761
7,8,103,4,0.0388349514563
7,9,77,1,0.012987012987
7,10,42,1,0.0238095238095
7,11,17,0,0.0
7,12,12,0,0.0
7,13,7,0,0.0
7,14,4,0,0.0
7,15,1,0,0.0
7,16,1,0,0.0
7,17,2,0,0.0
7,18,1,0,0.0
7,19,1,0,0.0
7,21,2,0,0.0
7,24,2,0,0.0
8,2,1269,1035,0.815602836879
8,3,1204,699,0.580564784053
8,4,1006,377,0.374751491054
8,5,651,160,0.245775729647
8,6,379,51,0.134564643799
8,7,218,20,0.0917431192661
8,8,103,1,0.00970873786408
8,9,77,1,0.012987012987
8,10,42,0,0.0
8,11,17,0,0.0
8,12,12,0,0.0
8,13,7,0,0.0
8,14,4,0,0.0
8,15,1,0,0.0
8,16,1,0,0.0
8,17,2,0,0.0
8,18,1,0,0.0
8,19,1,0,0.0
8,21,2,0,0.0
8,24,2,0,0.0
9,2,1269,1026,0.808510638298
9,3,1204,715,0.593853820598
9,4,1006,359,0.356858846918
9,5,651,170,0.26113671275
9,6,379,49,0.129287598945
9,7,218,20,0.0917431192661
9,8,103,2,0.0194174757282
9,9,77,3,0.038961038961
9,10,42,0,0.0
9,11,17,0,0.0
9,12,12,0,0.0
9,13,7,0,0.0
9,14,4,0,0.0
9,15,1,0,0.0
9,16,1,0,0.0
9,17,2,0,0.0
9,18,1,0,0.0
9,19,1,0,0.0
9,21,2,0,0.0
9,24,2,0,0.0
10,2,1269,1030,0.811662726556
10,3,1204,696,0.578073089701
10,4,1006,373,0.370775347913
10,5,651,162,0.248847926267
10,6,379,54,0.142480211082
10,7,218,22,0.100917431193
10,8,103,4,0.0388349514563
10,9,77,1,0.012987012987
10,10,42,0,0.0
10,11,17,0,0.0
10,12,12,0,0.0
10,13,7,0,0.0
10,14,4,0,0.0
10,15,1,0,0.0
10,16,1,0,0.0
10,17,2,0,0.0
10,18,1,0,0.0
10,19,1,0,0.0
10,21,2,0,0.0
10,24,2,0,0.0
