iter,utterance_length,nb_utterances,produced,production_score
1,2,4110,3191,0.776399026764
1,3,3152,1959,0.621510152284
1,4,1912,892,0.466527196653
1,5,992,331,0.333669354839
1,6,416,96,0.230769230769
1,7,199,45,0.226130653266
1,8,63,6,0.0952380952381
1,9,28,0,0.0
1,10,6,0,0.0
1,11,6,0,0.0
1,12,1,0,0.0
1,13,2,1,0.5
1,14,1,0,0.0
1,15,1,0,0.0
2,2,4110,3202,0.779075425791
2,3,3152,1985,0.629758883249
2,4,1912,874,0.457112970711
2,5,992,350,0.352822580645
2,6,416,91,0.21875
2,7,199,39,0.195979899497
2,8,63,9,0.142857142857
2,9,28,0,0.0
2,10,6,0,0.0
2,11,6,0,0.0
2,12,1,0,0.0
2,13,2,1,0.5
2,14,1,0,0.0
2,15,1,0,0.0
3,2,4110,3197,0.777858880779
3,3,3152,1989,0.631027918782
3,4,1912,885,0.462866108787
3,5,992,348,0.350806451613
3,6,416,94,0.225961538462
3,7,199,42,0.211055276382
3,8,63,10,0.15873015873
3,9,28,2,0.0714285714286
3,10,6,0,0.0
3,11,6,0,0.0
3,12,1,0,0.0
3,13,2,1,0.5
3,14,1,0,0.0
3,15,1,0,0.0
4,2,4110,3201,0.778832116788
4,3,3152,1991,0.631662436548
4,4,1912,896,0.468619246862
4,5,992,342,0.344758064516
4,6,416,96,0.230769230769
4,7,199,49,0.246231155779
4,8,63,8,0.126984126984
4,9,28,1,0.0357142857143
4,10,6,0,0.0
4,11,6,0,0.0
4,12,1,0,0.0
4,13,2,1,0.5
4,14,1,0,0.0
4,15,1,0,0.0
5,2,4110,3200,0.778588807786
5,3,3152,1989,0.631027918782
5,4,1912,901,0.471234309623
5,5,992,330,0.332661290323
5,6,416,91,0.21875
5,7,199,42,0.211055276382
5,8,63,8,0.126984126984
5,9,28,3,0.107142857143
5,10,6,0,0.0
5,11,6,0,0.0
5,12,1,0,0.0
5,13,2,1,0.5
5,14,1,0,0.0
5,15,1,0,0.0
6,2,4110,3199,0.778345498783
6,3,3152,1979,0.627855329949
6,4,1912,892,0.466527196653
6,5,992,346,0.348790322581
6,6,416,94,0.225961538462
6,7,199,45,0.226130653266
6,8,63,9,0.142857142857
6,9,28,1,0.0357142857143
6,10,6,0,0.0
6,11,6,0,0.0
6,12,1,0,0.0
6,13,2,1,0.5
6,14,1,0,0.0
6,15,1,0,0.0
7,2,4110,3197,0.777858880779
7,3,3152,1976,0.626903553299
7,4,1912,892,0.466527196653
7,5,992,350,0.352822580645
7,6,416,100,0.240384615385
7,7,199,46,0.231155778894
7,8,63,7,0.111111111111
7,9,28,0,0.0
7,10,6,0,0.0
7,11,6,0,0.0
7,12,1,0,0.0
7,13,2,1,0.5
7,14,1,0,0.0
7,15,1,0,0.0
8,2,4110,3191,0.776399026764
8,3,3152,1972,0.625634517766
8,4,1912,895,0.46809623431
8,5,992,345,0.347782258065
8,6,416,94,0.225961538462
8,7,199,44,0.221105527638
8,8,63,7,0.111111111111
8,9,28,0,0.0
8,10,6,0,0.0
8,11,6,0,0.0
8,12,1,0,0.0
8,13,2,1,0.5
8,14,1,0,0.0
8,15,1,0,0.0
9,2,4110,3197,0.777858880779
9,3,3152,1982,0.628807106599
9,4,1912,907,0.474372384937
9,5,992,332,0.334677419355
9,6,416,94,0.225961538462
9,7,199,45,0.226130653266
9,8,63,8,0.126984126984
9,9,28,2,0.0714285714286
9,10,6,0,0.0
9,11,6,0,0.0
9,12,1,0,0.0
9,13,2,1,0.5
9,14,1,0,0.0
9,15,1,0,0.0
10,2,4110,3195,0.777372262774
10,3,3152,1990,0.631345177665
10,4,1912,895,0.46809623431
10,5,992,334,0.336693548387
10,6,416,92,0.221153846154
10,7,199,45,0.226130653266
10,8,63,9,0.142857142857
10,9,28,1,0.0357142857143
10,10,6,0,0.0
10,11,6,0,0.0
10,12,1,0,0.0
10,13,2,1,0.5
10,14,1,0,0.0
10,15,1,0,0.0
