iter,utterance_length,nb_utterances,produced,production_score
1,2,3253,2469,0.758991699969
1,3,2687,1698,0.631931522144
1,4,1168,565,0.483732876712
1,5,475,165,0.347368421053
1,6,160,43,0.26875
1,7,85,13,0.152941176471
1,8,30,1,0.0333333333333
1,9,16,2,0.125
1,10,8,0,0.0
1,11,2,0,0.0
1,12,1,0,0.0
1,18,1,0,0.0
2,2,3253,2472,0.759913925607
2,3,2687,1693,0.63007071083
2,4,1168,570,0.48801369863
2,5,475,162,0.341052631579
2,6,160,39,0.24375
2,7,85,16,0.188235294118
2,8,30,0,0.0
2,9,16,0,0.0
2,10,8,0,0.0
2,11,2,0,0.0
2,12,1,0,0.0
2,18,1,0,0.0
3,2,3253,2468,0.758684291423
3,3,2687,1696,0.631187197618
3,4,1168,541,0.463184931507
3,5,475,169,0.355789473684
3,6,160,40,0.25
3,7,85,13,0.152941176471
3,8,30,0,0.0
3,9,16,1,0.0625
3,10,8,0,0.0
3,11,2,0,0.0
3,12,1,0,0.0
3,18,1,0,0.0
4,2,3253,2472,0.759913925607
4,3,2687,1701,0.633048008932
4,4,1168,560,0.479452054795
4,5,475,165,0.347368421053
4,6,160,40,0.25
4,7,85,15,0.176470588235
4,8,30,0,0.0
4,9,16,0,0.0
4,10,8,0,0.0
4,11,2,0,0.0
4,12,1,0,0.0
4,18,1,0,0.0
5,2,3253,2473,0.760221334153
5,3,2687,1696,0.631187197618
5,4,1168,549,0.470034246575
5,5,475,163,0.343157894737
5,6,160,35,0.21875
5,7,85,17,0.2
5,8,30,2,0.0666666666667
5,9,16,1,0.0625
5,10,8,0,0.0
5,11,2,0,0.0
5,12,1,0,0.0
5,18,1,0,0.0
6,2,3253,2470,0.759299108515
6,3,2687,1705,0.634536657983
6,4,1168,566,0.484589041096
6,5,475,155,0.326315789474
6,6,160,42,0.2625
6,7,85,13,0.152941176471
6,8,30,1,0.0333333333333
6,9,16,1,0.0625
6,10,8,0,0.0
6,11,2,0,0.0
6,12,1,0,0.0
6,18,1,0,0.0
7,2,3253,2472,0.759913925607
7,3,2687,1697,0.631559359881
7,4,1168,549,0.470034246575
7,5,475,160,0.336842105263
7,6,160,41,0.25625
7,7,85,15,0.176470588235
7,8,30,0,0.0
7,9,16,0,0.0
7,10,8,0,0.0
7,11,2,0,0.0
7,12,1,0,0.0
7,18,1,0,0.0
8,2,3253,2476,0.761143559791
8,3,2687,1706,0.634908820246
8,4,1168,551,0.471746575342
8,5,475,154,0.324210526316
8,6,160,40,0.25
8,7,85,16,0.188235294118
8,8,30,0,0.0
8,9,16,1,0.0625
8,10,8,0,0.0
8,11,2,0,0.0
8,12,1,0,0.0
8,18,1,0,0.0
9,2,3253,2475,0.760836151245
9,3,2687,1701,0.633048008932
9,4,1168,562,0.481164383562
9,5,475,166,0.349473684211
9,6,160,42,0.2625
9,7,85,18,0.211764705882
9,8,30,1,0.0333333333333
9,9,16,2,0.125
9,10,8,1,0.125
9,11,2,0,0.0
9,12,1,0,0.0
9,18,1,0,0.0
10,2,3253,2472,0.759913925607
10,3,2687,1687,0.627837737253
10,4,1168,557,0.476883561644
10,5,475,157,0.330526315789
10,6,160,39,0.24375
10,7,85,18,0.211764705882
10,8,30,0,0.0
10,9,16,1,0.0625
10,10,8,0,0.0
10,11,2,0,0.0
10,12,1,0,0.0
10,18,1,0,0.0
