iter,utterance_length,nb_utterances,produced,production_score
1,2,8002,6543,0.817670582354
1,3,9346,7084,0.757971324631
1,4,8278,5462,0.659821212853
1,5,5582,2995,0.536546040846
1,6,3251,1322,0.406644109505
1,7,1747,529,0.302804808243
1,8,900,187,0.207777777778
1,9,426,53,0.12441314554
1,10,228,18,0.0789473684211
1,11,134,5,0.0373134328358
1,12,82,3,0.0365853658537
1,13,41,0,0.0
1,14,28,0,0.0
1,15,17,0,0.0
1,16,9,0,0.0
1,17,6,0,0.0
1,18,6,0,0.0
1,19,3,0,0.0
1,20,2,0,0.0
1,21,3,0,0.0
1,22,1,0,0.0
1,23,1,0,0.0
1,30,2,0,0.0
2,2,8002,6554,0.81904523869
2,3,9346,7087,0.758292317569
2,4,8278,5458,0.659338004349
2,5,5582,2962,0.530634181297
2,6,3251,1327,0.408182097816
2,7,1747,521,0.298225529479
2,8,900,199,0.221111111111
2,9,426,56,0.131455399061
2,10,228,11,0.0482456140351
2,11,134,10,0.0746268656716
2,12,82,5,0.0609756097561
2,13,41,0,0.0
2,14,28,0,0.0
2,15,17,0,0.0
2,16,9,0,0.0
2,17,6,0,0.0
2,18,6,0,0.0
2,19,3,0,0.0
2,20,2,0,0.0
2,21,3,0,0.0
2,22,1,0,0.0
2,23,1,0,0.0
2,30,2,0,0.0
3,2,8002,6556,0.819295176206
3,3,9346,7084,0.757971324631
3,4,8278,5460,0.659579608601
3,5,5582,2995,0.536546040846
3,6,3251,1314,0.404183328207
3,7,1747,531,0.303949627934
3,8,900,196,0.217777777778
3,9,426,52,0.1220657277
3,10,228,18,0.0789473684211
3,11,134,6,0.044776119403
3,12,82,4,0.0487804878049
3,13,41,0,0.0
3,14,28,0,0.0
3,15,17,0,0.0
3,16,9,0,0.0
3,17,6,0,0.0
3,18,6,0,0.0
3,19,3,0,0.0
3,20,2,0,0.0
3,21,3,0,0.0
3,22,1,0,0.0
3,23,1,0,0.0
3,30,2,0,0.0
4,2,8002,6554,0.81904523869
4,3,9346,7060,0.755403381126
