iter,utterance_length,nb_utterances,produced,production_score
1,2,4831,3705,0.766921962327
1,3,4044,2528,0.62512363996
1,4,3128,1517,0.484974424552
1,5,2157,691,0.320352341215
1,6,1374,287,0.208879184862
1,7,852,116,0.136150234742
1,8,551,35,0.0635208711434
1,9,356,15,0.0421348314607
1,10,225,13,0.0577777777778
1,11,167,2,0.0119760479042
1,12,120,4,0.0333333333333
1,13,79,0,0.0
1,14,71,0,0.0
1,15,53,0,0.0
1,16,35,0,0.0
1,17,22,0,0.0
1,18,13,0,0.0
1,19,15,0,0.0
1,20,8,0,0.0
1,21,13,1,0.0769230769231
1,22,6,0,0.0
1,23,4,0,0.0
1,24,4,0,0.0
1,25,3,0,0.0
1,26,2,0,0.0
1,27,3,0,0.0
1,28,5,0,0.0
1,30,2,0,0.0
1,32,1,0,0.0
1,33,1,0,0.0
1,35,1,0,0.0
1,43,1,0,0.0
2,2,4831,3705,0.766921962327
2,3,4044,2516,0.62215628091
2,4,3128,1509,0.482416879795
2,5,2157,690,0.319888734353
2,6,1374,277,0.201601164483
2,7,852,110,0.129107981221
2,8,551,32,0.0580762250454
2,9,356,14,0.0393258426966
2,10,225,11,0.0488888888889
2,11,167,4,0.0239520958084
2,12,120,4,0.0333333333333
2,13,79,0,0.0
2,14,71,0,0.0
2,15,53,1,0.0188679245283
2,16,35,1,0.0285714285714
2,17,22,0,0.0
2,18,13,0,0.0
2,19,15,0,0.0
2,20,8,0,0.0
2,21,13,1,0.0769230769231
2,22,6,0,0.0
2,23,4,0,0.0
2,24,4,0,0.0
2,25,3,0,0.0
2,26,2,0,0.0
2,27,3,0,0.0
2,28,5,0,0.0
2,30,2,0,0.0
2,32,1,0,0.0
2,33,1,0,0.0
2,35,1,0,0.0
2,43,1,0,0.0
3,2,4831,3703,0.766507969365
3,3,4044,2532,0.626112759644
3,4,3128,1517,0.484974424552
3,5,2157,686,0.318034306908
3,6,1374,280,0.203784570597
3,7,852,112,0.131455399061
3,8,551,32,0.0580762250454
3,9,356,14,0.0393258426966
3,10,225,12,0.0533333333333
3,11,167,3,0.0179640718563
3,12,120,4,0.0333333333333
3,13,79,0,0.0
3,14,71,0,0.0
3,15,53,0,0.0
3,16,35,0,0.0
3,17,22,0,0.0
3,18,13,0,0.0
3,19,15,0,0.0
3,20,8,0,0.0
3,21,13,1,0.0769230769231
3,22,6,0,0.0
3,23,4,0,0.0
3,24,4,0,0.0
3,25,3,0,0.0
3,26,2,0,0.0
3,27,3,0,0.0
3,28,5,0,0.0
3,30,2,0,0.0
3,32,1,0,0.0
3,33,1,0,0.0
3,35,1,0,0.0
3,43,1,0,0.0
4,2,4831,3706,0.767128958808
4,3,4044,2526,0.624629080119
4,4,3128,1502,0.480179028133
4,5,2157,688,0.318961520631
4,6,1374,285,0.207423580786
4,7,852,110,0.129107981221
4,8,551,32,0.0580762250454
4,9,356,15,0.0421348314607
4,10,225,12,0.0533333333333
4,11,167,3,0.0179640718563
4,12,120,5,0.0416666666667
4,13,79,0,0.0
4,14,71,0,0.0
4,15,53,0,0.0
4,16,35,1,0.0285714285714
4,17,22,0,0.0
4,18,13,0,0.0
4,19,15,0,0.0
4,20,8,0,0.0
4,21,13,1,0.0769230769231
4,22,6,0,0.0
4,23,4,0,0.0
4,24,4,0,0.0
4,25,3,0,0.0
4,26,2,0,0.0
4,27,3,0,0.0
4,28,5,0,0.0
4,30,2,0,0.0
4,32,1,0,0.0
4,33,1,0,0.0
4,35,1,0,0.0
4,43,1,0,0.0
5,2,4831,3698,0.765472986959
5,3,4044,2542,0.628585558853
5,4,3128,1494,0.477621483376
5,5,2157,671,0.311080203987
5,6,1374,278,0.202328966521
5,7,852,118,0.138497652582
5,8,551,34,0.0617059891107
5,9,356,17,0.0477528089888
5,10,225,9,0.04
5,11,167,1,0.0059880239521
5,12,120,5,0.0416666666667
5,13,79,0,0.0
5,14,71,0,0.0
5,15,53,0,0.0
5,16,35,0,0.0
5,17,22,0,0.0
5,18,13,0,0.0
5,19,15,0,0.0
5,20,8,0,0.0
5,21,13,1,0.0769230769231
5,22,6,0,0.0
5,23,4,0,0.0
5,24,4,0,0.0
5,25,3,0,0.0
5,26,2,0,0.0
5,27,3,0,0.0
5,28,5,0,0.0
5,30,2,0,0.0
5,32,1,0,0.0
5,33,1,0,0.0
5,35,1,0,0.0
5,43,1,0,0.0
6,2,4831,3702,0.766300972883
6,3,4044,2529,0.625370919881
6,4,3128,1494,0.477621483376
6,5,2157,675,0.312934631433
6,6,1374,281,0.204512372635
6,7,852,107,0.12558685446
6,8,551,37,0.0671506352087
6,9,356,13,0.0365168539326
6,10,225,13,0.0577777777778
