iter,utterance_length,nb_utterances,produced,production_score
1,2,3652,2642,0.723439211391
1,3,2784,1709,0.613864942529
1,4,1663,802,0.482260974143
1,5,867,320,0.369088811995
1,6,418,109,0.260765550239
1,7,255,55,0.21568627451
1,8,136,7,0.0514705882353
1,9,71,4,0.056338028169
1,10,33,0,0.0
1,11,15,0,0.0
1,12,6,0,0.0
1,13,4,0,0.0
1,14,5,0,0.0
1,15,1,0,0.0
1,17,1,0,0.0
2,2,3652,2639,0.722617743702
2,3,2784,1714,0.61566091954
2,4,1663,805,0.484064942874
2,5,867,328,0.378316032295
2,6,418,108,0.258373205742
2,7,255,48,0.188235294118
2,8,136,11,0.0808823529412
2,9,71,1,0.0140845070423
2,10,33,2,0.0606060606061
2,11,15,0,0.0
2,12,6,0,0.0
2,13,4,0,0.0
2,14,5,0,0.0
2,15,1,0,0.0
2,17,1,0,0.0
3,2,3652,2647,0.724808324206
3,3,2784,1717,0.616738505747
3,4,1663,808,0.485868911606
3,5,867,326,0.37600922722
3,6,418,115,0.275119617225
3,7,255,55,0.21568627451
3,8,136,12,0.0882352941176
3,9,71,3,0.0422535211268
3,10,33,1,0.030303030303
3,11,15,0,0.0
3,12,6,0,0.0
3,13,4,0,0.0
3,14,5,0,0.0
3,15,1,0,0.0
3,17,1,0,0.0
4,2,3652,2645,0.72426067908
4,3,2784,1726,0.619971264368
4,4,1663,786,0.472639807577
4,5,867,320,0.369088811995
4,6,418,114,0.272727272727
4,7,255,49,0.192156862745
4,8,136,12,0.0882352941176
4,9,71,3,0.0422535211268
4,10,33,1,0.030303030303
4,11,15,0,0.0
4,12,6,0,0.0
4,13,4,0,0.0
4,14,5,0,0.0
4,15,1,0,0.0
4,17,1,0,0.0
5,2,3652,2642,0.723439211391
5,3,2784,1729,0.621048850575
5,4,1663,817,0.491280817799
5,5,867,310,0.357554786621
5,6,418,109,0.260765550239
5,7,255,52,0.203921568627
5,8,136,11,0.0808823529412
5,9,71,4,0.056338028169
5,10,33,1,0.030303030303
5,11,15,0,0.0
5,12,6,0,0.0
5,13,4,0,0.0
5,14,5,0,0.0
5,15,1,0,0.0
5,17,1,0,0.0
6,2,3652,2643,0.723713033954
6,3,2784,1729,0.621048850575
6,4,1663,808,0.485868911606
6,5,867,317,0.365628604383
6,6,418,107,0.255980861244
6,7,255,53,0.207843137255
6,8,136,16,0.117647058824
6,9,71,4,0.056338028169
6,10,33,1,0.030303030303
6,11,15,0,0.0
6,12,6,0,0.0
6,13,4,0,0.0
6,14,5,0,0.0
6,15,1,0,0.0
6,17,1,0,0.0
7,2,3652,2637,0.722070098576
7,3,2784,1723,0.618893678161
7,4,1663,815,0.490078171978
7,5,867,323,0.372549019608
7,6,418,110,0.263157894737
7,7,255,46,0.180392156863
7,8,136,14,0.102941176471
7,9,71,2,0.0281690140845
7,10,33,2,0.0606060606061
7,11,15,0,0.0
7,12,6,0,0.0
7,13,4,0,0.0
7,14,5,0,0.0
7,15,1,0,0.0
7,17,1,0,0.0
8,2,3652,2634,0.721248630887
8,3,2784,1719,0.617456896552
8,4,1663,814,0.489476849068
8,5,867,314,0.36216839677
8,6,418,105,0.251196172249
8,7,255,48,0.188235294118
8,8,136,14,0.102941176471
8,9,71,4,0.056338028169
8,10,33,1,0.030303030303
8,11,15,0,0.0
8,12,6,0,0.0
8,13,4,0,0.0
8,14,5,0,0.0
8,15,1,0,0.0
8,17,1,0,0.0
9,2,3652,2638,0.722343921139
9,3,2784,1730,0.621408045977
9,4,1663,808,0.485868911606
9,5,867,318,0.36678200692
9,6,418,112,0.267942583732
9,7,255,51,0.2
9,8,136,14,0.102941176471
9,9,71,2,0.0281690140845
9,10,33,2,0.0606060606061
9,11,15,0,0.0
9,12,6,1,0.166666666667
9,13,4,0,0.0
9,14,5,0,0.0
9,15,1,0,0.0
9,17,1,0,0.0
10,2,3652,2643,0.723713033954
10,3,2784,1743,0.626077586207
10,4,1663,811,0.487672880337
10,5,867,332,0.382929642445
10,6,418,106,0.253588516746
10,7,255,53,0.207843137255
10,8,136,12,0.0882352941176
10,9,71,2,0.0281690140845
10,10,33,1,0.030303030303
10,11,15,0,0.0
10,12,6,0,0.0
10,13,4,0,0.0
10,14,5,0,0.0
10,15,1,0,0.0
10,17,1,0,0.0
