iter,utterance_length,nb_utterances,produced,production_score
1,2,1558,1257,0.806803594352
1,3,1409,838,0.594748048261
1,4,1124,467,0.415480427046
1,5,861,235,0.27293844367
1,6,669,108,0.161434977578
1,7,533,51,0.0956848030019
1,8,359,22,0.0612813370474
1,9,256,6,0.0234375
1,10,188,5,0.0265957446809
1,11,146,0,0.0
1,12,107,1,0.00934579439252
1,13,72,0,0.0
1,14,52,1,0.0192307692308
1,15,58,0,0.0
1,16,35,0,0.0
1,17,32,0,0.0
1,18,21,0,0.0
1,19,21,0,0.0
1,20,13,0,0.0
1,21,16,0,0.0
1,22,9,0,0.0
1,23,14,0,0.0
1,24,4,0,0.0
1,25,7,0,0.0
1,26,8,0,0.0
1,27,9,0,0.0
1,28,3,0,0.0
1,29,4,0,0.0
1,30,3,0,0.0
1,31,2,0,0.0
1,32,3,0,0.0
1,33,2,0,0.0
1,34,4,0,0.0
1,35,1,0,0.0
1,36,1,0,0.0
1,37,2,0,0.0
1,38,6,0,0.0
1,39,1,0,0.0
1,40,1,0,0.0
1,41,3,0,0.0
1,45,2,0,0.0
1,48,1,0,0.0
1,49,1,0,0.0
1,55,2,0,0.0
1,56,1,0,0.0
1,63,1,0,0.0
1,64,1,0,0.0
1,80,1,0,0.0
2,2,1558,1235,0.792682926829
2,3,1409,836,0.593328601845
2,4,1124,445,0.39590747331
2,5,861,222,0.257839721254
2,6,669,108,0.161434977578
2,7,533,60,0.112570356473
2,8,359,19,0.0529247910864
2,9,256,8,0.03125
2,10,188,3,0.0159574468085
2,11,146,0,0.0
2,12,107,1,0.00934579439252
2,13,72,0,0.0
2,14,52,0,0.0
2,15,58,0,0.0
2,16,35,0,0.0
2,17,32,0,0.0
2,18,21,0,0.0
2,19,21,0,0.0
2,20,13,0,0.0
2,21,16,0,0.0
2,22,9,0,0.0
2,23,14,0,0.0
2,24,4,0,0.0
2,25,7,0,0.0
2,26,8,0,0.0
2,27,9,0,0.0
2,28,3,0,0.0
2,29,4,0,0.0
2,30,3,0,0.0
2,31,2,0,0.0
2,32,3,0,0.0
2,33,2,0,0.0
2,34,4,0,0.0
2,35,1,0,0.0
2,36,1,0,0.0
2,37,2,0,0.0
2,38,6,0,0.0
2,39,1,0,0.0
2,40,1,0,0.0
2,41,3,0,0.0
2,45,2,0,0.0
2,48,1,0,0.0
2,49,1,0,0.0
2,55,2,0,0.0
2,56,1,0,0.0
2,63,1,0,0.0
2,64,1,0,0.0
2,80,1,0,0.0
3,2,1558,1246,0.799743260591
3,3,1409,843,0.598296664301
3,4,1124,467,0.415480427046
3,5,861,229,0.265969802555
3,6,669,103,0.153961136024
3,7,533,65,0.121951219512
3,8,359,15,0.041782729805
