iter,utterance_length,nb_utterances,produced,production_score
1,2,405,303,0.748148148148
1,3,603,421,0.698175787728
1,4,489,217,0.443762781186
1,5,404,102,0.252475247525
1,6,312,62,0.198717948718
1,7,230,25,0.108695652174
1,8,172,16,0.093023255814
1,9,91,2,0.021978021978
1,10,47,1,0.0212765957447
1,11,34,0,0.0
1,12,10,0,0.0
1,13,17,0,0.0
1,14,14,0,0.0
1,15,6,0,0.0
1,16,4,0,0.0
1,17,4,0,0.0
1,18,1,0,0.0
1,19,2,0,0.0
1,20,2,0,0.0
1,37,1,0,0.0
2,2,405,305,0.753086419753
2,3,603,418,0.69320066335
2,4,489,220,0.449897750511
2,5,404,110,0.272277227723
2,6,312,59,0.189102564103
2,7,230,29,0.126086956522
2,8,172,15,0.0872093023256
2,9,91,2,0.021978021978
2,10,47,2,0.0425531914894
2,11,34,0,0.0
2,12,10,0,0.0
2,13,17,0,0.0
2,14,14,0,0.0
2,15,6,0,0.0
2,16,4,0,0.0
2,17,4,0,0.0
2,18,1,0,0.0
2,19,2,0,0.0
2,20,2,0,0.0
2,37,1,0,0.0
3,2,405,310,0.765432098765
3,3,603,419,0.694859038143
3,4,489,222,0.453987730061
3,5,404,115,0.284653465347
3,6,312,67,0.214743589744
3,7,230,27,0.117391304348
3,8,172,16,0.093023255814
3,9,91,2,0.021978021978
3,10,47,1,0.0212765957447
3,11,34,0,0.0
3,12,10,0,0.0
3,13,17,0,0.0
3,14,14,0,0.0
3,15,6,0,0.0
3,16,4,0,0.0
3,17,4,0,0.0
3,18,1,0,0.0
3,19,2,0,0.0
3,20,2,0,0.0
3,37,1,0,0.0
4,2,405,307,0.758024691358
4,3,603,412,0.683250414594
4,4,489,232,0.474437627812
4,5,404,108,0.267326732673
4,6,312,55,0.176282051282
4,7,230,22,0.095652173913
4,8,172,11,0.0639534883721
4,9,91,3,0.032967032967
4,10,47,1,0.0212765957447
4,11,34,0,0.0
4,12,10,0,0.0
4,13,17,0,0.0
4,14,14,0,0.0
4,15,6,0,0.0
4,16,4,0,0.0
4,17,4,0,0.0
4,18,1,0,0.0
4,19,2,0,0.0
4,20,2,0,0.0
4,37,1,0,0.0
5,2,405,309,0.762962962963
5,3,603,415,0.688225538972
5,4,489,223,0.456032719836
5,5,404,120,0.29702970297
5,6,312,64,0.205128205128
5,7,230,20,0.0869565217391
5,8,172,17,0.0988372093023
5,9,91,2,0.021978021978
5,10,47,1,0.0212765957447
5,11,34,0,0.0
5,12,10,0,0.0
5,13,17,0,0.0
5,14,14,0,0.0
5,15,6,0,0.0
5,16,4,0,0.0
5,17,4,0,0.0
5,18,1,0,0.0
5,19,2,0,0.0
5,20,2,0,0.0
5,37,1,0,0.0
6,2,405,311,0.767901234568
6,3,603,423,0.701492537313
6,4,489,221,0.451942740286
6,5,404,116,0.287128712871
6,6,312,59,0.189102564103
6,7,230,27,0.117391304348
6,8,172,18,0.104651162791
6,9,91,1,0.010989010989
6,10,47,3,0.063829787234
6,11,34,0,0.0
6,12,10,0,0.0
6,13,17,0,0.0
6,14,14,0,0.0
6,15,6,0,0.0
6,16,4,0,0.0
6,17,4,0,0.0
6,18,1,0,0.0
6,19,2,0,0.0
6,20,2,0,0.0
6,37,1,0,0.0
7,2,405,310,0.765432098765
7,3,603,424,0.703150912106
7,4,489,228,0.466257668712
7,5,404,109,0.269801980198
7,6,312,64,0.205128205128
7,7,230,25,0.108695652174
7,8,172,17,0.0988372093023
7,9,91,2,0.021978021978
7,10,47,1,0.0212765957447
7,11,34,1,0.0294117647059
7,12,10,0,0.0
7,13,17,0,0.0
7,14,14,0,0.0
7,15,6,0,0.0
7,16,4,0,0.0
7,17,4,0,0.0
7,18,1,0,0.0
7,19,2,0,0.0
7,20,2,0,0.0
7,37,1,0,0.0
8,2,405,307,0.758024691358
8,3,603,419,0.694859038143
8,4,489,224,0.458077709611
8,5,404,120,0.29702970297
8,6,312,62,0.198717948718
8,7,230,25,0.108695652174
8,8,172,15,0.0872093023256
8,9,91,2,0.021978021978
8,10,47,2,0.0425531914894
8,11,34,0,0.0
8,12,10,0,0.0
8,13,17,0,0.0
8,14,14,0,0.0
8,15,6,0,0.0
8,16,4,0,0.0
8,17,4,0,0.0
8,18,1,0,0.0
8,19,2,0,0.0
8,20,2,0,0.0
8,37,1,0,0.0
9,2,405,307,0.758024691358
9,3,603,424,0.703150912106
9,4,489,217,0.443762781186
9,5,404,114,0.282178217822
9,6,312,65,0.208333333333
9,7,230,32,0.139130434783
9,8,172,14,0.0813953488372
9,9,91,2,0.021978021978
9,10,47,1,0.0212765957447
9,11,34,0,0.0
9,12,10,0,0.0
9,13,17,0,0.0
9,14,14,0,0.0
9,15,6,0,0.0
9,16,4,0,0.0
9,17,4,0,0.0
9,18,1,0,0.0
9,19,2,0,0.0
9,20,2,0,0.0
9,37,1,0,0.0
10,2,405,309,0.762962962963
10,3,603,419,0.694859038143
10,4,489,221,0.451942740286
10,5,404,111,0.274752475248
10,6,312,60,0.192307692308
10,7,230,29,0.126086956522
10,8,172,16,0.093023255814
10,9,91,2,0.021978021978
10,10,47,1,0.0212765957447
10,11,34,0,0.0
10,12,10,0,0.0
10,13,17,0,0.0
10,14,14,0,0.0
10,15,6,0,0.0
10,16,4,0,0.0
10,17,4,0,0.0
10,18,1,0,0.0
10,19,2,0,0.0
10,20,2,0,0.0
10,37,1,0,0.0
