iter,utterance_length,nb_utterances,produced,production_score
1,2,2593,2086,0.804473582723
1,3,2668,1711,0.641304347826
1,4,1650,722,0.437575757576
1,5,1052,286,0.271863117871
1,6,594,84,0.141414141414
1,7,344,29,0.0843023255814
1,8,199,8,0.0402010050251
1,9,155,2,0.0129032258065
1,10,82,2,0.0243902439024
1,11,58,1,0.0172413793103
1,12,43,0,0.0
1,13,17,0,0.0
1,14,13,0,0.0
1,15,15,0,0.0
1,16,8,0,0.0
1,17,12,0,0.0
1,18,3,0,0.0
1,19,1,0,0.0
1,20,2,0,0.0
1,21,1,0,0.0
1,28,1,0,0.0
1,29,1,0,0.0
1,30,1,0,0.0
1,35,1,0,0.0
2,2,2593,2077,0.801002699576
2,3,2668,1721,0.645052473763
2,4,1650,725,0.439393939394
2,5,1052,281,0.26711026616
2,6,594,79,0.132996632997
2,7,344,22,0.0639534883721
2,8,199,11,0.0552763819095
2,9,155,3,0.0193548387097
2,10,82,2,0.0243902439024
2,11,58,1,0.0172413793103
2,12,43,0,0.0
2,13,17,0,0.0
2,14,13,0,0.0
2,15,15,0,0.0
2,16,8,0,0.0
2,17,12,0,0.0
2,18,3,0,0.0
2,19,1,0,0.0
2,20,2,0,0.0
2,21,1,0,0.0
2,28,1,0,0.0
2,29,1,0,0.0
2,30,1,0,0.0
2,35,1,0,0.0
3,2,2593,2083,0.803316621674
3,3,2668,1722,0.645427286357
3,4,1650,712,0.431515151515
3,5,1052,297,0.282319391635
3,6,594,85,0.143097643098
3,7,344,24,0.0697674418605
3,8,199,9,0.0452261306533
3,9,155,2,0.0129032258065
3,10,82,3,0.0365853658537
3,11,58,2,0.0344827586207
3,12,43,0,0.0
3,13,17,0,0.0
3,14,13,0,0.0
3,15,15,0,0.0
3,16,8,0,0.0
3,17,12,0,0.0
3,18,3,0,0.0
3,19,1,0,0.0
3,20,2,0,0.0
3,21,1,0,0.0
3,28,1,0,0.0
3,29,1,0,0.0
3,30,1,0,0.0
3,35,1,0,0.0
4,2,2593,2075,0.80023139221
4,3,2668,1707,0.639805097451
4,4,1650,704,0.426666666667
4,5,1052,285,0.270912547529
4,6,594,84,0.141414141414
4,7,344,26,0.0755813953488
4,8,199,10,0.0502512562814
4,9,155,4,0.0258064516129
4,10,82,1,0.0121951219512
4,11,58,1,0.0172413793103
4,12,43,0,0.0
4,13,17,0,0.0
4,14,13,0,0.0
4,15,15,0,0.0
4,16,8,0,0.0
4,17,12,0,0.0
4,18,3,0,0.0
4,19,1,0,0.0
4,20,2,0,0.0
4,21,1,0,0.0
4,28,1,0,0.0
4,29,1,0,0.0
