iter,utterance_length,nb_utterances,produced,production_score
1,2,5378,4233,0.787095574563
1,3,5763,3909,0.67829255596
1,4,4066,1980,0.486965076242
1,5,2775,970,0.34954954955
1,6,1724,468,0.271461716937
1,7,1128,213,0.188829787234
1,8,573,67,0.116928446771
1,9,320,28,0.0875
1,10,190,8,0.0421052631579
1,11,104,2,0.0192307692308
1,12,75,1,0.0133333333333
1,13,39,1,0.025641025641
1,14,40,1,0.025
1,15,14,0,0.0
1,16,11,1,0.0909090909091
1,17,9,0,0.0
1,18,4,0,0.0
1,19,9,0,0.0
1,20,3,0,0.0
1,21,2,0,0.0
1,24,2,0,0.0
1,25,5,1,0.2
1,27,1,0,0.0
1,28,1,0,0.0
1,33,1,0,0.0
2,2,5378,4227,0.785979918185
2,3,5763,3907,0.677945514489
2,4,4066,2026,0.498278406296
2,5,2775,984,0.354594594595
2,6,1724,474,0.27494199536
2,7,1128,208,0.184397163121
2,8,573,71,0.123909249564
2,9,320,31,0.096875
2,10,190,10,0.0526315789474
2,11,104,0,0.0
2,12,75,2,0.0266666666667
2,13,39,0,0.0
2,14,40,1,0.025
2,15,14,0,0.0
2,16,11,1,0.0909090909091
2,17,9,0,0.0
2,18,4,0,0.0
2,19,9,0,0.0
2,20,3,0,0.0
2,21,2,0,0.0
2,24,2,0,0.0
2,25,5,1,0.2
2,27,1,0,0.0
2,28,1,0,0.0
2,33,1,0,0.0
3,2,5378,4226,0.785793975456
3,3,5763,3914,0.679160159639
3,4,4066,1992,0.489916379734
3,5,2775,961,0.346306306306
3,6,1724,466,0.27030162413
3,7,1128,207,0.183510638298
3,8,573,64,0.111692844677
3,9,320,22,0.06875
3,10,190,8,0.0421052631579
3,11,104,1,0.00961538461538
3,12,75,2,0.0266666666667
3,13,39,1,0.025641025641
3,14,40,1,0.025
3,15,14,0,0.0
3,16,11,1,0.0909090909091
3,17,9,0,0.0
3,18,4,0,0.0
3,19,9,0,0.0
3,20,3,0,0.0
3,21,2,0,0.0
3,24,2,0,0.0
3,25,5,1,0.2
3,27,1,0,0.0
3,28,1,0,0.0
3,33,1,0,0.0
4,2,5378,4219,0.784492376348
4,3,5763,3900,0.676730869339
4,4,4066,1993,0.490162321692
4,5,2775,984,0.354594594595
4,6,1724,467,0.270881670534
4,7,1128,219,0.19414893617
4,8,573,63,0.109947643979
4,9,320,28,0.0875
4,10,190,9,0.0473684210526
4,11,104,1,0.00961538461538
4,12,75,1,0.0133333333333
4,13,39,0,0.0
4,14,40,1,0.025
4,15,14,0,0.0
4,16,11,1,0.0909090909091
4,17,9,0,0.0
4,18,4,1,0.25
4,19,9,0,0.0
4,20,3,0,0.0
4,21,2,0,0.0
4,24,2,0,0.0
4,25,5,1,0.2
4,27,1,0,0.0
4,28,1,0,0.0
4,33,1,0,0.0
5,2,5378,4229,0.786351803644
5,3,5763,3906,0.677771993753
5,4,4066,1978,0.486473192327
5,5,2775,976,0.351711711712
5,6,1724,451,0.261600928074
5,7,1128,216,0.191489361702
5,8,573,64,0.111692844677
5,9,320,26,0.08125
5,10,190,8,0.0421052631579
5,11,104,1,0.00961538461538
5,12,75,2,0.0266666666667
5,13,39,0,0.0
5,14,40,1,0.025
5,15,14,0,0.0
5,16,11,1,0.0909090909091
5,17,9,0,0.0
5,18,4,0,0.0
5,19,9,0,0.0
5,20,3,0,0.0
5,21,2,0,0.0
5,24,2,0,0.0
5,25,5,1,0.2
5,27,1,0,0.0
5,28,1,0,0.0
5,33,1,0,0.0
6,2,5378,4234,0.787281517293
6,3,5763,3894,0.675689744925
6,4,4066,1973,0.485243482538
6,5,2775,976,0.351711711712
6,6,1724,454,0.263341067285
6,7,1128,200,0.177304964539
6,8,573,61,0.106457242583
6,9,320,25,0.078125
6,10,190,8,0.0421052631579
6,11,104,1,0.00961538461538
6,12,75,2,0.0266666666667
6,13,39,0,0.0
6,14,40,1,0.025
6,15,14,0,0.0
6,16,11,1,0.0909090909091
6,17,9,0,0.0
6,18,4,1,0.25
6,19,9,0,0.0
6,20,3,0,0.0
6,21,2,0,0.0
6,24,2,0,0.0
6,25,5,1,0.2
6,27,1,0,0.0
6,28,1,0,0.0
6,33,1,0,0.0
7,2,5378,4222,0.785050204537
7,3,5763,3897,0.676210307132
7,4,4066,1994,0.49040826365
7,5,2775,976,0.351711711712
7,6,1724,446,0.258700696056
7,7,1128,207,0.183510638298
7,8,573,66,0.115183246073
7,9,320,27,0.084375
7,10,190,9,0.0473684210526
7,11,104,1,0.00961538461538
7,12,75,1,0.0133333333333
7,13,39,0,0.0
7,14,40,1,0.025
7,15,14,0,0.0
7,16,11,1,0.0909090909091
7,17,9,0,0.0
7,18,4,1,0.25
7,19,9,0,0.0
7,20,3,0,0.0
7,21,2,0,0.0
7,24,2,0,0.0
7,25,5,1,0.2
7,27,1,0,0.0
7,28,1,0,0.0
7,33,1,0,0.0
8,2,5378,4227,0.785979918185
8,3,5763,3896,0.676036786396
8,4,4066,1995,0.490654205607
8,5,2775,982,0.353873873874
8,6,1724,456,0.264501160093
8,7,1128,219,0.19414893617
8,8,573,65,0.113438045375
8,9,320,24,0.075
8,10,190,10,0.0526315789474
8,11,104,0,0.0
8,12,75,1,0.0133333333333
8,13,39,0,0.0
8,14,40,1,0.025
8,15,14,0,0.0
8,16,11,1,0.0909090909091
8,17,9,0,0.0
8,18,4,1,0.25
8,19,9,0,0.0
8,20,3,0,0.0
8,21,2,0,0.0
8,24,2,0,0.0
8,25,5,1,0.2
8,27,1,0,0.0
8,28,1,0,0.0
8,33,1,0,0.0
9,2,5378,4224,0.785422089996
9,3,5763,3903,0.677251431546
9,4,4066,1994,0.49040826365
9,5,2775,973,0.350630630631
9,6,1724,461,0.267401392111
9,7,1128,213,0.188829787234
9,8,573,68,0.118673647469
9,9,320,25,0.078125
9,10,190,11,0.0578947368421
9,11,104,1,0.00961538461538
9,12,75,1,0.0133333333333
9,13,39,1,0.025641025641
9,14,40,1,0.025
9,15,14,0,0.0
9,16,11,1,0.0909090909091
9,17,9,0,0.0
9,18,4,1,0.25
9,19,9,0,0.0
9,20,3,0,0.0
9,21,2,0,0.0
9,24,2,0,0.0
9,25,5,1,0.2
9,27,1,0,0.0
9,28,1,0,0.0
9,33,1,0,0.0
10,2,5378,4231,0.786723689104
10,3,5763,3894,0.675689744925
10,4,4066,1997,0.491146089523
10,5,2775,981,0.353513513514
10,6,1724,469,0.272041763341
10,7,1128,212,0.187943262411
10,8,573,64,0.111692844677
10,9,320,24,0.075
10,10,190,8,0.0421052631579
10,11,104,0,0.0
10,12,75,2,0.0266666666667
10,13,39,0,0.0
10,14,40,1,0.025
10,15,14,0,0.0
10,16,11,1,0.0909090909091
10,17,9,0,0.0
10,18,4,1,0.25
10,19,9,0,0.0
10,20,3,0,0.0
10,21,2,0,0.0
10,24,2,0,0.0
10,25,5,1,0.2
10,27,1,0,0.0
10,28,1,0,0.0
10,33,1,0,0.0
