iter,utterance_length,nb_utterances,produced,production_score
1,2,4303,3407,0.791773181501
1,3,4364,2783,0.637717690192
1,4,3423,1604,0.468594799883
1,5,2375,771,0.324631578947
1,6,1493,303,0.202947086403
1,7,943,108,0.114528101803
1,8,545,42,0.0770642201835
1,9,427,19,0.0444964871194
1,10,238,7,0.0294117647059
1,11,177,2,0.0112994350282
1,12,106,0,0.0
1,13,85,0,0.0
1,14,83,1,0.0120481927711
1,15,45,0,0.0
1,16,42,0,0.0
1,17,24,0,0.0
1,18,22,0,0.0
1,19,13,0,0.0
1,20,10,1,0.1
1,21,8,0,0.0
1,22,7,0,0.0
1,23,2,0,0.0
1,24,1,0,0.0
1,25,3,0,0.0
1,26,1,0,0.0
1,28,1,0,0.0
1,29,1,0,0.0
1,30,1,0,0.0
1,31,1,0,0.0
1,32,2,0,0.0
1,33,1,0,0.0
1,34,1,0,0.0
2,2,4303,3400,0.790146409482
2,3,4364,2775,0.635884509624
2,4,3423,1597,0.466549810108
2,5,2375,746,0.314105263158
2,6,1493,311,0.208305425318
2,7,943,119,0.12619300106
2,8,545,34,0.0623853211009
2,9,427,19,0.0444964871194
2,10,238,5,0.0210084033613
2,11,177,2,0.0112994350282
2,12,106,0,0.0
2,13,85,0,0.0
2,14,83,1,0.0120481927711
2,15,45,0,0.0
2,16,42,0,0.0
2,17,24,0,0.0
2,18,22,0,0.0
2,19,13,0,0.0
2,20,10,1,0.1
2,21,8,0,0.0
2,22,7,0,0.0
2,23,2,0,0.0
2,24,1,0,0.0
2,25,3,0,0.0
2,26,1,0,0.0
2,28,1,0,0.0
2,29,1,0,0.0
2,30,1,0,0.0
2,31,1,0,0.0
2,32,2,0,0.0
2,33,1,0,0.0
2,34,1,0,0.0
3,2,4303,3404,0.791075993493
3,3,4364,2795,0.640467461045
3,4,3423,1605,0.46888694128
3,5,2375,768,0.323368421053
3,6,1493,323,0.216342933691
3,7,943,114,0.120890774125
3,8,545,37,0.0678899082569
3,9,427,17,0.03981264637
3,10,238,5,0.0210084033613
3,11,177,1,0.00564971751412
3,12,106,0,0.0
3,13,85,0,0.0
3,14,83,1,0.0120481927711
3,15,45,0,0.0
3,16,42,0,0.0
3,17,24,0,0.0
3,18,22,0,0.0
3,19,13,0,0.0
3,20,10,1,0.1
3,21,8,0,0.0
3,22,7,0,0.0
3,23,2,0,0.0
3,24,1,0,0.0
3,25,3,0,0.0
3,26,1,0,0.0
3,28,1,0,0.0
3,29,1,0,0.0
3,30,1,0,0.0
3,31,1,0,0.0
3,32,2,0,0.0
3,33,1,0,0.0
3,34,1,0,0.0
4,2,4303,3402,0.790611201487
4,3,4364,2802,0.642071494042
4,4,3423,1611,0.470639789658
4,5,2375,745,0.313684210526
4,6,1493,300,0.20093770931
4,7,943,113,0.119830328738
4,8,545,41,0.0752293577982
4,9,427,16,0.0374707259953
4,10,238,6,0.0252100840336
4,11,177,1,0.00564971751412
4,12,106,2,0.0188679245283
4,13,85,0,0.0
4,14,83,1,0.0120481927711
4,15,45,0,0.0
4,16,42,0,0.0
4,17,24,0,0.0
4,18,22,0,0.0
4,19,13,0,0.0
4,20,10,1,0.1
4,21,8,0,0.0
4,22,7,0,0.0
4,23,2,0,0.0
4,24,1,0,0.0
4,25,3,0,0.0
4,26,1,0,0.0
4,28,1,0,0.0
4,29,1,0,0.0
4,30,1,0,0.0
4,31,1,0,0.0
4,32,2,0,0.0
4,33,1,0,0.0
4,34,1,0,0.0
5,2,4303,3402,0.790611201487
5,3,4364,2799,0.641384051329
5,4,3423,1610,0.470347648262
5,5,2375,742,0.312421052632
5,6,1493,311,0.208305425318
5,7,943,112,0.118769883351
5,8,545,41,0.0752293577982
5,9,427,21,0.0491803278689
5,10,238,5,0.0210084033613
5,11,177,1,0.00564971751412
5,12,106,1,0.00943396226415
5,13,85,0,0.0
5,14,83,2,0.0240963855422
5,15,45,0,0.0
5,16,42,0,0.0
5,17,24,0,0.0
5,18,22,0,0.0
5,19,13,0,0.0
5,20,10,1,0.1
5,21,8,0,0.0
5,22,7,0,0.0
5,23,2,0,0.0
5,24,1,0,0.0
5,25,3,0,0.0
5,26,1,0,0.0
5,28,1,0,0.0
5,29,1,0,0.0
5,30,1,0,0.0
5,31,1,0,0.0
5,32,2,0,0.0
5,33,1,0,0.0
5,34,1,0,0.0
6,2,4303,3410,0.79247036951
6,3,4364,2775,0.635884509624
6,4,3423,1614,0.471516213848
6,5,2375,763,0.321263157895
6,6,1493,300,0.20093770931
6,7,943,126,0.13361611877
6,8,545,46,0.0844036697248
6,9,427,24,0.056206088993
6,10,238,3,0.0126050420168
6,11,177,0,0.0
6,12,106,2,0.0188679245283
6,13,85,0,0.0
6,14,83,1,0.0120481927711
6,15,45,0,0.0
6,16,42,0,0.0
6,17,24,0,0.0
6,18,22,0,0.0
6,19,13,0,0.0
6,20,10,1,0.1
6,21,8,0,0.0
6,22,7,0,0.0
6,23,2,0,0.0
6,24,1,0,0.0
6,25,3,0,0.0
6,26,1,0,0.0
6,28,1,0,0.0
6,29,1,0,0.0
6,30,1,0,0.0
6,31,1,0,0.0
6,32,2,0,0.0
6,33,1,0,0.0
6,34,1,0,0.0
7,2,4303,3400,0.790146409482
7,3,4364,2792,0.639780018332
7,4,3423,1609,0.470055506865
7,5,2375,736,0.309894736842
7,6,1493,311,0.208305425318
7,7,943,102,0.10816542948
7,8,545,36,0.0660550458716
7,9,427,17,0.03981264637
7,10,238,3,0.0126050420168
7,11,177,0,0.0
7,12,106,1,0.00943396226415
7,13,85,0,0.0
7,14,83,1,0.0120481927711
7,15,45,0,0.0
7,16,42,0,0.0
7,17,24,0,0.0
7,18,22,0,0.0
7,19,13,0,0.0
7,20,10,1,0.1
7,21,8,0,0.0
7,22,7,0,0.0
7,23,2,0,0.0
7,24,1,0,0.0
7,25,3,0,0.0
7,26,1,0,0.0
7,28,1,0,0.0
7,29,1,0,0.0
7,30,1,0,0.0
7,31,1,0,0.0
7,32,2,0,0.0
7,33,1,0,0.0
7,34,1,0,0.0
8,2,4303,3401,0.790378805485
8,3,4364,2784,0.637946837764
8,4,3423,1615,0.471808355244
8,5,2375,774,0.325894736842
8,6,1493,309,0.206965840589
8,7,943,118,0.125132555673
8,8,545,38,0.0697247706422
8,9,427,23,0.0538641686183
8,10,238,6,0.0252100840336
8,11,177,2,0.0112994350282
8,12,106,2,0.0188679245283
8,13,85,0,0.0
8,14,83,1,0.0120481927711
8,15,45,0,0.0
8,16,42,0,0.0
8,17,24,0,0.0
8,18,22,0,0.0
8,19,13,0,0.0
8,20,10,1,0.1
8,21,8,0,0.0
8,22,7,0,0.0
8,23,2,0,0.0
8,24,1,0,0.0
8,25,3,0,0.0
8,26,1,0,0.0
8,28,1,0,0.0
8,29,1,0,0.0
8,30,1,0,0.0
8,31,1,0,0.0
8,32,2,0,0.0
8,33,1,0,0.0
8,34,1,0,0.0
9,2,4303,3406,0.791540785498
9,3,4364,2779,0.636801099908
9,4,3423,1605,0.46888694128
9,5,2375,791,0.333052631579
9,6,1493,308,0.206296048225
9,7,943,108,0.114528101803
9,8,545,35,0.0642201834862
9,9,427,20,0.0468384074941
9,10,238,5,0.0210084033613
9,11,177,3,0.0169491525424
9,12,106,0,0.0
9,13,85,0,0.0
9,14,83,1,0.0120481927711
9,15,45,0,0.0
9,16,42,0,0.0
9,17,24,0,0.0
9,18,22,0,0.0
9,19,13,0,0.0
9,20,10,1,0.1
9,21,8,0,0.0
9,22,7,0,0.0
9,23,2,0,0.0
9,24,1,0,0.0
9,25,3,0,0.0
9,26,1,0,0.0
9,28,1,0,0.0
9,29,1,0,0.0
9,30,1,0,0.0
9,31,1,0,0.0
9,32,2,0,0.0
9,33,1,0,0.0
9,34,1,0,0.0
10,2,4303,3404,0.791075993493
10,3,4364,2787,0.638634280477
10,4,3423,1602,0.46801051709
10,5,2375,762,0.320842105263
10,6,1493,309,0.206965840589
10,7,943,118,0.125132555673
10,8,545,39,0.0715596330275
10,9,427,22,0.0515222482436
10,10,238,5,0.0210084033613
10,11,177,1,0.00564971751412
10,12,106,2,0.0188679245283
10,13,85,0,0.0
10,14,83,2,0.0240963855422
10,15,45,0,0.0
10,16,42,0,0.0
10,17,24,0,0.0
10,18,22,0,0.0
10,19,13,0,0.0
10,20,10,1,0.1
10,21,8,0,0.0
10,22,7,0,0.0
10,23,2,0,0.0
10,24,1,0,0.0
10,25,3,0,0.0
10,26,1,0,0.0
10,28,1,0,0.0
10,29,1,0,0.0
10,30,1,0,0.0
10,31,1,0,0.0
10,32,2,0,0.0
10,33,1,0,0.0
10,34,1,0,0.0
