iter,utterance_length,nb_utterances,produced,production_score
1,2,1421,1123,0.790288529205
1,3,1653,1112,0.672716273442
1,4,1309,515,0.393430099312
1,5,997,257,0.25777331996
1,6,764,132,0.17277486911
1,7,522,42,0.0804597701149
1,8,383,16,0.0417754569191
1,9,263,2,0.00760456273764
1,10,194,2,0.0103092783505
1,11,161,2,0.0124223602484
1,12,123,1,0.00813008130081
1,13,74,1,0.0135135135135
1,14,43,0,0.0
1,15,47,0,0.0
1,16,26,0,0.0
1,17,33,0,0.0
1,18,23,1,0.0434782608696
1,19,12,0,0.0
1,20,16,0,0.0
1,21,11,0,0.0
1,22,4,0,0.0
1,23,9,0,0.0
1,24,7,0,0.0
1,25,9,0,0.0
1,26,4,0,0.0
1,27,6,0,0.0
1,28,3,0,0.0
1,29,1,0,0.0
1,31,2,0,0.0
1,33,1,0,0.0
1,34,1,0,0.0
1,37,3,0,0.0
1,38,1,0,0.0
1,39,4,0,0.0
1,40,2,0,0.0
1,41,1,0,0.0
1,47,1,0,0.0
1,52,1,0,0.0
1,69,1,0,0.0
2,2,1421,1120,0.788177339901
2,3,1653,1099,0.664851784634
2,4,1309,552,0.421695951108
2,5,997,258,0.258776328987
2,6,764,126,0.164921465969
2,7,522,41,0.0785440613027
2,8,383,22,0.0574412532637
2,9,263,1,0.00380228136882
2,10,194,3,0.0154639175258
2,11,161,2,0.0124223602484
2,12,123,1,0.00813008130081
2,13,74,0,0.0
2,14,43,0,0.0
2,15,47,0,0.0
2,16,26,0,0.0
2,17,33,0,0.0
2,18,23,1,0.0434782608696
2,19,12,0,0.0
2,20,16,0,0.0
2,21,11,0,0.0
2,22,4,0,0.0
2,23,9,0,0.0
2,24,7,0,0.0
2,25,9,0,0.0
2,26,4,0,0.0
2,27,6,0,0.0
2,28,3,0,0.0
2,29,1,0,0.0
2,31,2,0,0.0
2,33,1,0,0.0
2,34,1,0,0.0
2,37,3,0,0.0
2,38,1,0,0.0
2,39,4,0,0.0
2,40,2,0,0.0
2,41,1,0,0.0
2,47,1,0,0.0
2,52,1,0,0.0
2,69,1,0,0.0
3,2,1421,1122,0.789584799437
3,3,1653,1107,0.669691470054
3,4,1309,526,0.401833460657
3,5,997,274,0.27482447342
3,6,764,126,0.164921465969
3,7,522,46,0.088122605364
3,8,383,19,0.0496083550914
3,9,263,5,0.0190114068441
3,10,194,1,0.00515463917526
3,11,161,2,0.0124223602484
3,12,123,1,0.00813008130081
3,13,74,0,0.0
3,14,43,0,0.0
3,15,47,0,0.0
3,16,26,0,0.0
3,17,33,0,0.0
3,18,23,1,0.0434782608696
3,19,12,0,0.0
3,20,16,0,0.0
3,21,11,0,0.0
3,22,4,0,0.0
3,23,9,0,0.0
3,24,7,0,0.0
3,25,9,0,0.0
3,26,4,0,0.0
3,27,6,0,0.0
3,28,3,0,0.0
3,29,1,0,0.0
3,31,2,0,0.0
3,33,1,0,0.0
3,34,1,0,0.0
3,37,3,0,0.0
3,38,1,0,0.0
3,39,4,0,0.0
3,40,2,0,0.0
3,41,1,0,0.0
3,47,1,0,0.0
3,52,1,0,0.0
3,69,1,0,0.0
4,2,1421,1119,0.787473610134
4,3,1653,1094,0.661826981246
4,4,1309,534,0.40794499618
4,5,997,254,0.254764292879
4,6,764,129,0.168848167539
4,7,522,40,0.0766283524904
4,8,383,22,0.0574412532637
4,9,263,2,0.00760456273764
4,10,194,3,0.0154639175258
4,11,161,3,0.0186335403727
4,12,123,1,0.00813008130081
4,13,74,0,0.0
4,14,43,0,0.0
4,15,47,0,0.0
4,16,26,0,0.0
4,17,33,0,0.0
4,18,23,1,0.0434782608696
4,19,12,0,0.0
4,20,16,0,0.0
4,21,11,0,0.0
4,22,4,0,0.0
4,23,9,0,0.0
4,24,7,0,0.0
4,25,9,0,0.0
4,26,4,0,0.0
4,27,6,0,0.0
4,28,3,0,0.0
4,29,1,0,0.0
4,31,2,0,0.0
4,33,1,0,0.0
4,34,1,0,0.0
4,37,3,0,0.0
4,38,1,0,0.0
4,39,4,0,0.0
4,40,2,0,0.0
4,41,1,0,0.0
4,47,1,0,0.0
4,52,1,0,0.0
4,69,1,0,0.0
5,2,1421,1124,0.790992258973
5,3,1653,1084,0.655777374471
