iter,utterance_length,nb_utterances,produced,production_score
1,2,2415,1936,0.8016563147
1,3,2917,1919,0.657867672266
1,4,2869,1367,0.47647263855
1,5,2405,776,0.322661122661
1,6,1842,395,0.21444082519
1,7,1365,178,0.130402930403
1,8,963,76,0.0789200415369
1,9,736,25,0.0339673913043
1,10,553,12,0.0216998191682
1,11,411,4,0.00973236009732
1,12,362,2,0.00552486187845
1,13,279,1,0.00358422939068
1,14,201,2,0.00995024875622
1,15,161,1,0.00621118012422
1,16,123,0,0.0
1,17,96,0,0.0
1,18,90,2,0.0222222222222
1,19,64,0,0.0
1,20,53,0,0.0
1,21,44,0,0.0
1,22,28,0,0.0
1,23,27,0,0.0
1,24,22,0,0.0
1,25,20,0,0.0
1,26,21,0,0.0
1,27,15,0,0.0
1,28,14,0,0.0
1,29,8,0,0.0
1,30,5,0,0.0
1,31,7,0,0.0
1,32,10,0,0.0
1,33,3,0,0.0
1,34,5,0,0.0
1,35,7,0,0.0
1,36,3,0,0.0
1,37,3,0,0.0
1,38,1,0,0.0
1,39,5,0,0.0
1,40,4,0,0.0
1,41,2,0,0.0
1,42,2,0,0.0
1,45,1,0,0.0
1,46,3,0,0.0
1,51,2,0,0.0
1,52,2,0,0.0
1,53,1,0,0.0
1,60,1,0,0.0
1,78,1,0,0.0
2,2,2415,1923,0.796273291925
2,3,2917,1913,0.655810764484
2,4,2869,1353,0.471592889509
2,5,2405,764,0.317671517672
2,6,1842,401,0.21769815418
2,7,1365,173,0.12673992674
2,8,963,79,0.0820353063344
2,9,736,34,0.0461956521739
2,10,553,12,0.0216998191682
2,11,411,5,0.0121654501217
2,12,362,1,0.00276243093923
2,13,279,1,0.00358422939068
2,14,201,2,0.00995024875622
2,15,161,1,0.00621118012422
2,16,123,0,0.0
2,17,96,0,0.0
2,18,90,1,0.0111111111111
2,19,64,0,0.0
2,20,53,0,0.0
2,21,44,0,0.0
2,22,28,0,0.0
2,23,27,0,0.0
2,24,22,0,0.0
2,25,20,0,0.0
2,26,21,0,0.0
2,27,15,0,0.0
2,28,14,0,0.0
2,29,8,0,0.0
2,30,5,0,0.0
2,31,7,0,0.0
2,32,10,0,0.0
2,33,3,0,0.0
2,34,5,0,0.0
2,35,7,0,0.0
2,36,3,0,0.0
2,37,3,0,0.0
2,38,1,0,0.0
2,39,5,0,0.0
2,40,4,0,0.0
2,41,2,0,0.0
2,42,2,0,0.0
2,45,1,0,0.0
2,46,3,0,0.0
2,51,2,0,0.0
2,52,2,0,0.0
2,53,1,0,0.0
2,60,1,0,0.0
2,78,1,0,0.0
3,2,2415,1934,0.80082815735
3,3,2917,1912,0.65546794652
3,4,2869,1370,0.477518299059
3,5,2405,781,0.32474012474
3,6,1842,402,0.218241042345
3,7,1365,174,0.127472527473
3,8,963,76,0.0789200415369
3,9,736,22,0.0298913043478
3,10,553,12,0.0216998191682
3,11,411,6,0.014598540146
3,12,362,0,0.0
3,13,279,0,0.0
3,14,201,3,0.0149253731343
3,15,161,1,0.00621118012422
3,16,123,0,0.0
3,17,96,0,0.0
3,18,90,1,0.0111111111111
3,19,64,0,0.0
3,20,53,0,0.0
3,21,44,0,0.0
3,22,28,0,0.0
3,23,27,0,0.0
3,24,22,0,0.0
3,25,20,0,0.0
3,26,21,0,0.0
3,27,15,0,0.0
3,28,14,0,0.0
3,29,8,0,0.0
3,30,5,0,0.0
3,31,7,0,0.0
3,32,10,0,0.0
3,33,3,0,0.0
3,34,5,0,0.0
3,35,7,0,0.0
3,36,3,0,0.0
3,37,3,0,0.0
3,38,1,0,0.0
3,39,5,0,0.0
3,40,4,0,0.0
3,41,2,0,0.0
3,42,2,0,0.0
3,45,1,0,0.0
3,46,3,0,0.0
3,51,2,0,0.0
3,52,2,0,0.0
3,53,1,0,0.0
3,60,1,0,0.0
3,78,1,0,0.0
4,2,2415,1932,0.8
4,3,2917,1914,0.656153582448
4,4,2869,1366,0.476124085047
4,5,2405,764,0.317671517672
4,6,1842,396,0.214983713355
4,7,1365,175,0.128205128205
4,8,963,83,0.086188992731
4,9,736,24,0.0326086956522
4,10,553,12,0.0216998191682
4,11,411,8,0.0194647201946
4,12,362,0,0.0
4,13,279,1,0.00358422939068
4,14,201,2,0.00995024875622
4,15,161,1,0.00621118012422
4,16,123,0,0.0
4,17,96,0,0.0
4,18,90,1,0.0111111111111
4,19,64,0,0.0
4,20,53,0,0.0
4,21,44,0,0.0
4,22,28,0,0.0
4,23,27,0,0.0
4,24,22,0,0.0
4,25,20,0,0.0
4,26,21,0,0.0
4,27,15,0,0.0
4,28,14,0,0.0
4,29,8,0,0.0
4,30,5,0,0.0
4,31,7,0,0.0
4,32,10,0,0.0
4,33,3,0,0.0
4,34,5,0,0.0
4,35,7,0,0.0
4,36,3,0,0.0
4,37,3,0,0.0
4,38,1,0,0.0
4,39,5,0,0.0
4,40,4,0,0.0
4,41,2,0,0.0
4,42,2,0,0.0
4,45,1,0,0.0
4,46,3,0,0.0
4,51,2,0,0.0
4,52,2,0,0.0
4,53,1,0,0.0
4,60,1,0,0.0
4,78,1,0,0.0
5,2,2415,1928,0.7983436853
5,3,2917,1911,0.655125128557
5,4,2869,1390,0.484489369118
5,5,2405,774,0.32182952183
5,6,1842,384,0.208469055375
5,7,1365,179,0.131135531136
5,8,963,69,0.0716510903427
5,9,736,26,0.0353260869565
5,10,553,13,0.0235081374322
5,11,411,5,0.0121654501217
5,12,362,0,0.0
5,13,279,2,0.00716845878136
5,14,201,2,0.00995024875622
5,15,161,1,0.00621118012422
5,16,123,0,0.0
5,17,96,0,0.0
5,18,90,1,0.0111111111111
5,19,64,0,0.0
5,20,53,0,0.0
5,21,44,0,0.0
5,22,28,0,0.0
5,23,27,0,0.0
5,24,22,0,0.0
5,25,20,0,0.0
5,26,21,0,0.0
5,27,15,0,0.0
5,28,14,0,0.0
5,29,8,0,0.0
5,30,5,0,0.0
5,31,7,0,0.0
5,32,10,0,0.0
5,33,3,0,0.0
5,34,5,0,0.0
5,35,7,0,0.0
5,36,3,0,0.0
5,37,3,0,0.0
5,38,1,0,0.0
5,39,5,0,0.0
5,40,4,0,0.0
5,41,2,0,0.0
5,42,2,0,0.0
5,45,1,0,0.0
5,46,3,0,0.0
5,51,2,0,0.0
5,52,2,0,0.0
5,53,1,0,0.0
5,60,1,0,0.0
5,78,1,0,0.0
6,2,2415,1932,0.8
6,3,2917,1911,0.655125128557
6,4,2869,1370,0.477518299059
6,5,2405,798,0.331808731809
6,6,1842,402,0.218241042345
6,7,1365,166,0.121611721612
6,8,963,70,0.0726895119418
6,9,736,26,0.0353260869565
6,10,553,12,0.0216998191682
6,11,411,5,0.0121654501217
6,12,362,1,0.00276243093923
6,13,279,0,0.0
6,14,201,2,0.00995024875622
6,15,161,1,0.00621118012422
6,16,123,0,0.0
6,17,96,0,0.0
6,18,90,1,0.0111111111111
6,19,64,0,0.0
6,20,53,0,0.0
6,21,44,0,0.0
6,22,28,0,0.0
6,23,27,0,0.0
6,24,22,0,0.0
6,25,20,0,0.0
6,26,21,0,0.0
6,27,15,0,0.0
6,28,14,0,0.0
6,29,8,0,0.0
6,30,5,0,0.0
6,31,7,0,0.0
6,32,10,0,0.0
