iter,utterance_length,nb_utterances,produced,production_score
1,2,4015,2979,0.74196762142
1,3,2744,1249,0.455174927114
1,4,1595,506,0.31724137931
1,5,808,151,0.186881188119
1,6,347,38,0.109510086455
1,7,154,5,0.0324675324675
1,8,77,3,0.038961038961
1,9,29,0,0.0
1,10,11,0,0.0
1,11,7,0,0.0
1,12,3,0,0.0
1,13,1,0,0.0
1,14,1,0,0.0
1,15,1,0,0.0
1,16,1,0,0.0
2,2,4015,2983,0.74296388543
2,3,2744,1252,0.456268221574
2,4,1595,506,0.31724137931
2,5,808,148,0.183168316832
2,6,347,32,0.0922190201729
2,7,154,7,0.0454545454545
2,8,77,2,0.025974025974
2,9,29,1,0.0344827586207
2,10,11,0,0.0
2,11,7,0,0.0
2,12,3,0,0.0
2,13,1,0,0.0
2,14,1,0,0.0
2,15,1,0,0.0
2,16,1,0,0.0
3,2,4015,2988,0.744209215442
3,3,2744,1261,0.459548104956
3,4,1595,517,0.324137931034
3,5,808,153,0.189356435644
3,6,347,34,0.0979827089337
3,7,154,5,0.0324675324675
3,8,77,2,0.025974025974
3,9,29,0,0.0
3,10,11,0,0.0
3,11,7,0,0.0
3,12,3,0,0.0
3,13,1,0,0.0
3,14,1,0,0.0
3,15,1,1,1.0
3,16,1,0,0.0
4,2,4015,2983,0.74296388543
4,3,2744,1253,0.456632653061
4,4,1595,504,0.315987460815
4,5,808,147,0.181930693069
4,6,347,31,0.0893371757925
4,7,154,7,0.0454545454545
4,8,77,4,0.0519480519481
4,9,29,0,0.0
4,10,11,0,0.0
4,11,7,0,0.0
4,12,3,0,0.0
4,13,1,0,0.0
4,14,1,0,0.0
4,15,1,0,0.0
4,16,1,0,0.0
5,2,4015,2981,0.742465753425
5,3,2744,1240,0.451895043732
5,4,1595,488,0.305956112853
5,5,808,154,0.190594059406
5,6,347,36,0.103746397695
5,7,154,3,0.0194805194805
5,8,77,3,0.038961038961
5,9,29,0,0.0
5,10,11,0,0.0
5,11,7,0,0.0
5,12,3,0,0.0
5,13,1,0,0.0
5,14,1,0,0.0
5,15,1,0,0.0
5,16,1,0,0.0
6,2,4015,2981,0.742465753425
6,3,2744,1245,0.453717201166
6,4,1595,499,0.312852664577
6,5,808,152,0.188118811881
6,6,347,38,0.109510086455
6,7,154,8,0.0519480519481
6,8,77,1,0.012987012987
6,9,29,0,0.0
6,10,11,0,0.0
6,11,7,0,0.0
6,12,3,0,0.0
6,13,1,0,0.0
6,14,1,0,0.0
6,15,1,0,0.0
6,16,1,0,0.0
7,2,4015,2980,0.742216687422
7,3,2744,1248,0.454810495627
7,4,1595,498,0.312225705329
7,5,808,146,0.180693069307
7,6,347,36,0.103746397695
7,7,154,6,0.038961038961
7,8,77,4,0.0519480519481
7,9,29,0,0.0
7,10,11,0,0.0
7,11,7,0,0.0
7,12,3,0,0.0
7,13,1,0,0.0
7,14,1,0,0.0
7,15,1,0,0.0
7,16,1,0,0.0
8,2,4015,2981,0.742465753425
8,3,2744,1259,0.458819241983
8,4,1595,491,0.307836990596
8,5,808,152,0.188118811881
8,6,347,33,0.0951008645533
8,7,154,3,0.0194805194805
8,8,77,4,0.0519480519481
8,9,29,0,0.0
8,10,11,0,0.0
8,11,7,0,0.0
8,12,3,0,0.0
8,13,1,0,0.0
8,14,1,0,0.0
8,15,1,0,0.0
8,16,1,0,0.0
9,2,4015,2983,0.74296388543
9,3,2744,1243,0.452988338192
9,4,1595,498,0.312225705329
9,5,808,153,0.189356435644
9,6,347,33,0.0951008645533
9,7,154,6,0.038961038961
9,8,77,3,0.038961038961
9,9,29,0,0.0
9,10,11,0,0.0
9,11,7,0,0.0
9,12,3,0,0.0
9,13,1,0,0.0
9,14,1,0,0.0
9,15,1,0,0.0
9,16,1,0,0.0
10,2,4015,2985,0.743462017435
10,3,2744,1248,0.454810495627
10,4,1595,496,0.310971786834
10,5,808,154,0.190594059406
10,6,347,41,0.118155619597
10,7,154,8,0.0519480519481
10,8,77,4,0.0519480519481
10,9,29,1,0.0344827586207
10,10,11,0,0.0
10,11,7,0,0.0
10,12,3,0,0.0
10,13,1,0,0.0
10,14,1,0,0.0
10,15,1,0,0.0
10,16,1,0,0.0
