iter,utterance_length,nb_utterances,produced,production_score
1,2,6876,5446,0.792030250145
1,3,6029,3841,0.637087410848
1,4,4280,1959,0.457710280374
1,5,2990,980,0.327759197324
1,6,1761,376,0.213515048268
1,7,966,130,0.134575569358
1,8,463,35,0.0755939524838
1,9,262,24,0.0916030534351
1,10,172,7,0.0406976744186
1,11,99,4,0.040404040404
1,12,55,1,0.0181818181818
1,13,46,0,0.0
1,14,21,1,0.047619047619
1,15,18,0,0.0
1,16,9,0,0.0
1,17,9,0,0.0
1,18,5,0,0.0
1,19,6,0,0.0
1,20,4,0,0.0
1,21,4,1,0.25
1,22,5,0,0.0
1,24,3,0,0.0
1,25,1,0,0.0
1,28,1,0,0.0
2,2,6876,5446,0.792030250145
2,3,6029,3830,0.635262896003
2,4,4280,1938,0.452803738318
2,5,2990,945,0.316053511706
2,6,1761,364,0.206700738217
2,7,966,124,0.128364389234
2,8,463,33,0.0712742980562
2,9,262,25,0.0954198473282
2,10,172,8,0.046511627907
2,11,99,3,0.030303030303
2,12,55,1,0.0181818181818
2,13,46,0,0.0
2,14,21,1,0.047619047619
2,15,18,0,0.0
2,16,9,0,0.0
2,17,9,0,0.0
2,18,5,0,0.0
2,19,6,0,0.0
2,20,4,0,0.0
2,21,4,1,0.25
2,22,5,0,0.0
2,24,3,0,0.0
2,25,1,0,0.0
2,28,1,0,0.0
3,2,6876,5441,0.791303083188
3,3,6029,3837,0.636423950904
3,4,4280,1961,0.458177570093
3,5,2990,958,0.320401337793
3,6,1761,377,0.214082907439
3,7,966,125,0.129399585921
3,8,463,29,0.0626349892009
3,9,262,23,0.087786259542
3,10,172,6,0.0348837209302
3,11,99,5,0.0505050505051
3,12,55,1,0.0181818181818
3,13,46,1,0.0217391304348
3,14,21,1,0.047619047619
3,15,18,0,0.0
3,16,9,0,0.0
3,17,9,0,0.0
3,18,5,0,0.0
3,19,6,0,0.0
3,20,4,0,0.0
3,21,4,1,0.25
3,22,5,0,0.0
3,24,3,0,0.0
3,25,1,0,0.0
3,28,1,0,0.0
4,2,6876,5448,0.792321116928
4,3,6029,3835,0.636092220932
4,4,4280,1974,0.461214953271
4,5,2990,958,0.320401337793
4,6,1761,373,0.211811470755
4,7,966,126,0.130434782609
4,8,463,36,0.0777537796976
4,9,262,21,0.0801526717557
4,10,172,6,0.0348837209302
4,11,99,4,0.040404040404
4,12,55,1,0.0181818181818
4,13,46,1,0.0217391304348
4,14,21,1,0.047619047619
4,15,18,1,0.0555555555556
4,16,9,0,0.0
4,17,9,0,0.0
4,18,5,0,0.0
4,19,6,0,0.0
4,20,4,0,0.0
4,21,4,1,0.25
4,22,5,0,0.0
4,24,3,0,0.0
4,25,1,0,0.0
4,28,1,0,0.0
5,2,6876,5448,0.792321116928
