iter,utterance_length,nb_utterances,produced,production_score
1,2,4413,3699,0.838205302515
1,3,2047,1429,0.698094772838
1,4,705,336,0.476595744681
1,5,153,66,0.43137254902
1,6,35,6,0.171428571429
1,7,16,5,0.3125
1,8,3,2,0.666666666667
1,9,1,0,0.0
2,2,4413,3708,0.840244731475
2,3,2047,1446,0.706399609184
2,4,705,344,0.487943262411
2,5,153,64,0.418300653595
2,6,35,8,0.228571428571
2,7,16,4,0.25
2,8,3,2,0.666666666667
2,9,1,0,0.0
3,2,4413,3702,0.838885112169
3,3,2047,1442,0.704445530044
3,4,705,339,0.48085106383
3,5,153,62,0.40522875817
3,6,35,7,0.2
3,7,16,4,0.25
3,8,3,2,0.666666666667
3,9,1,0,0.0
4,2,4413,3700,0.838431905733
4,3,2047,1448,0.707376648754
4,4,705,334,0.473758865248
4,5,153,63,0.411764705882
4,6,35,9,0.257142857143
4,7,16,5,0.3125
4,8,3,2,0.666666666667
4,9,1,0,0.0
5,2,4413,3700,0.838431905733
5,3,2047,1446,0.706399609184
5,4,705,345,0.489361702128
5,5,153,59,0.385620915033
5,6,35,9,0.257142857143
5,7,16,5,0.3125
5,8,3,2,0.666666666667
5,9,1,0,0.0
6,2,4413,3695,0.837298889644
6,3,2047,1434,0.700537371764
6,4,705,342,0.485106382979
6,5,153,66,0.43137254902
6,6,35,7,0.2
6,7,16,4,0.25
6,8,3,2,0.666666666667
6,9,1,0,0.0
7,2,4413,3702,0.838885112169
7,3,2047,1443,0.704934049829
7,4,705,339,0.48085106383
7,5,153,66,0.43137254902
7,6,35,8,0.228571428571
7,7,16,5,0.3125
7,8,3,2,0.666666666667
7,9,1,0,0.0
8,2,4413,3699,0.838205302515
8,3,2047,1448,0.707376648754
8,4,705,351,0.497872340426
8,5,153,65,0.424836601307
8,6,35,9,0.257142857143
8,7,16,5,0.3125
8,8,3,2,0.666666666667
8,9,1,0,0.0
9,2,4413,3701,0.838658508951
9,3,2047,1444,0.705422569614
9,4,705,353,0.500709219858
9,5,153,66,0.43137254902
9,6,35,9,0.257142857143
9,7,16,6,0.375
9,8,3,2,0.666666666667
9,9,1,0,0.0
10,2,4413,3706,0.83979152504
10,3,2047,1445,0.705911089399
10,4,705,342,0.485106382979
10,5,153,63,0.411764705882
10,6,35,7,0.2
10,7,16,4,0.25
10,8,3,2,0.666666666667
10,9,1,0,0.0
