iter,utterance_length,nb_utterances,produced,production_score
1,2,1997,1628,0.815222834251
1,3,2028,1295,0.638560157791
1,4,1832,795,0.433951965066
1,5,1487,379,0.254875588433
1,6,1152,161,0.139756944444
1,7,818,61,0.0745721271394
1,8,595,27,0.0453781512605
1,9,450,10,0.0222222222222
1,10,346,4,0.0115606936416
1,11,251,0,0.0
1,12,185,2,0.0108108108108
1,13,165,0,0.0
1,14,155,2,0.0129032258065
1,15,108,1,0.00925925925926
1,16,77,0,0.0
1,17,78,0,0.0
1,18,46,1,0.0217391304348
1,19,51,0,0.0
1,20,31,0,0.0
1,21,34,0,0.0
1,22,26,0,0.0
1,23,21,0,0.0
1,24,15,0,0.0
1,25,13,0,0.0
1,26,7,0,0.0
1,27,12,0,0.0
1,28,12,0,0.0
1,29,12,0,0.0
1,30,6,0,0.0
1,31,7,0,0.0
1,32,3,0,0.0
1,33,3,0,0.0
1,34,3,0,0.0
1,35,3,0,0.0
1,36,2,0,0.0
1,37,2,0,0.0
1,38,4,0,0.0
1,39,1,0,0.0
1,41,4,0,0.0
1,43,2,0,0.0
1,44,1,0,0.0
1,47,1,0,0.0
1,50,1,0,0.0
1,51,1,0,0.0
1,52,1,0,0.0
1,58,1,0,0.0
1,67,1,0,0.0
2,2,1997,1625,0.813720580871
2,3,2028,1295,0.638560157791
2,4,1832,797,0.435043668122
2,5,1487,377,0.253530598521
2,6,1152,159,0.138020833333
2,7,818,68,0.0831295843521
2,8,595,29,0.0487394957983
2,9,450,10,0.0222222222222
2,10,346,2,0.00578034682081
2,11,251,1,0.00398406374502
2,12,185,1,0.00540540540541
2,13,165,0,0.0
2,14,155,2,0.0129032258065
2,15,108,1,0.00925925925926
2,16,77,0,0.0
2,17,78,0,0.0
2,18,46,0,0.0
2,19,51,0,0.0
2,20,31,0,0.0
2,21,34,0,0.0
2,22,26,0,0.0
2,23,21,0,0.0
2,24,15,0,0.0
2,25,13,0,0.0
2,26,7,0,0.0
2,27,12,0,0.0
2,28,12,0,0.0
2,29,12,0,0.0
2,30,6,0,0.0
2,31,7,0,0.0
2,32,3,0,0.0
2,33,3,0,0.0
2,34,3,0,0.0
2,35,3,0,0.0
2,36,2,0,0.0
2,37,2,0,0.0
2,38,4,0,0.0
2,39,1,0,0.0
2,41,4,0,0.0
2,43,2,0,0.0
2,44,1,0,0.0
2,47,1,0,0.0
2,50,1,0,0.0
2,51,1,0,0.0
2,52,1,0,0.0
2,58,1,0,0.0
2,67,1,0,0.0
3,2,1997,1622,0.812218327491
3,3,2028,1290,0.636094674556
3,4,1832,780,0.42576419214
3,5,1487,370,0.248823133826
3,6,1152,150,0.130208333333
3,7,818,67,0.0819070904645
3,8,595,32,0.053781512605
3,9,450,9,0.02
3,10,346,3,0.00867052023121
3,11,251,0,0.0
3,12,185,1,0.00540540540541
3,13,165,1,0.00606060606061
3,14,155,2,0.0129032258065
3,15,108,1,0.00925925925926
3,16,77,0,0.0
3,17,78,0,0.0
3,18,46,0,0.0
3,19,51,0,0.0
3,20,31,0,0.0
3,21,34,0,0.0
3,22,26,0,0.0
3,23,21,0,0.0
3,24,15,0,0.0
3,25,13,0,0.0
3,26,7,0,0.0
3,27,12,0,0.0
3,28,12,0,0.0
3,29,12,0,0.0
3,30,6,0,0.0
3,31,7,0,0.0
3,32,3,0,0.0
3,33,3,0,0.0
3,34,3,0,0.0
3,35,3,0,0.0
3,36,2,0,0.0
3,37,2,0,0.0
3,38,4,0,0.0
3,39,1,0,0.0
3,41,4,0,0.0
3,43,2,0,0.0
3,44,1,0,0.0
3,47,1,0,0.0
3,50,1,0,0.0
3,51,1,0,0.0
