iter,utterance_length,nb_utterances,produced,production_score
1,2,45994,39261,0.85361134061
1,3,32045,21037,0.656483070682
1,4,19158,9287,0.484758325504
1,5,11426,3927,0.343689830212
1,6,6976,1720,0.246559633028
1,7,4159,680,0.163500841548
1,8,2353,242,0.102847428814
1,9,1518,94,0.0619235836627
1,10,904,42,0.0464601769912
1,11,546,5,0.00915750915751
1,12,369,2,0.00542005420054
1,13,244,3,0.0122950819672
1,14,153,2,0.0130718954248
1,15,103,1,0.00970873786408
1,16,59,0,0.0
1,17,37,0,0.0
1,18,37,1,0.027027027027
1,19,19,0,0.0
1,20,27,0,0.0
1,21,22,0,0.0
1,22,8,0,0.0
1,23,9,0,0.0
1,24,8,0,0.0
1,25,7,0,0.0
1,26,5,0,0.0
1,27,3,0,0.0
1,28,5,0,0.0
1,29,2,0,0.0
1,33,1,0,0.0
1,35,1,0,0.0
1,37,1,0,0.0
1,38,1,0,0.0
1,40,1,0,0.0
2,2,45994,39254,0.853459146845
2,3,32045,21047,0.656795131846
2,4,19158,9285,0.484653930473
2,5,11426,3987,0.348941011728
2,6,6976,1730,0.247993119266
2,7,4159,697,0.167588362587
2,8,2353,254,0.107947301317
2,9,1518,94,0.0619235836627
2,10,904,48,0.0530973451327
2,11,546,4,0.00732600732601
2,12,369,3,0.00813008130081
2,13,244,3,0.0122950819672
2,14,153,3,0.0196078431373
2,15,103,1,0.00970873786408
2,16,59,0,0.0
2,17,37,0,0.0
2,18,37,1,0.027027027027
2,19,19,0,0.0
2,20,27,0,0.0
2,21,22,0,0.0
2,22,8,0,0.0
2,23,9,0,0.0
2,24,8,0,0.0
2,25,7,0,0.0
2,26,5,0,0.0
2,27,3,0,0.0
2,28,5,0,0.0
2,29,2,0,0.0
2,33,1,0,0.0
2,35,1,0,0.0
2,37,1,0,0.0
2,38,1,0,0.0
2,40,1,0,0.0
3,2,45994,39249,0.853350437014
3,3,32045,21062,0.657263223592
3,4,19158,9290,0.48491491805
3,5,11426,3981,0.348415893576
3,6,6976,1749,0.250716743119
3,7,4159,695,0.167107477759
3,8,2353,235,0.0998725031874
3,9,1518,102,0.0671936758893
3,10,904,38,0.0420353982301
3,11,546,6,0.010989010989
3,12,369,2,0.00542005420054
3,13,244,2,0.00819672131148
3,14,153,2,0.0130718954248
3,15,103,1,0.00970873786408
3,16,59,0,0.0
3,17,37,0,0.0
3,18,37,1,0.027027027027
3,19,19,0,0.0
3,20,27,0,0.0
3,21,22,0,0.0
3,22,8,0,0.0
3,23,9,0,0.0
3,24,8,0,0.0
3,25,7,0,0.0
3,26,5,0,0.0
3,27,3,0,0.0
3,28,5,0,0.0
3,29,2,0,0.0
3,33,1,0,0.0
3,35,1,0,0.0
3,37,1,0,0.0
3,38,1,0,0.0
3,40,1,0,0.0
4,2,45994,39253,0.853437404879
4,3,32045,21083,0.657918552036
4,4,19158,9275,0.484131955319
4,5,11426,3997,0.349816208647
4,6,6976,1721,0.246702981651
4,7,4159,698,0.167828805001
4,8,2353,235,0.0998725031874
4,9,1518,92,0.0606060606061
4,10,904,38,0.0420353982301
4,11,546,5,0.00915750915751
4,12,369,3,0.00813008130081
4,13,244,2,0.00819672131148
4,14,153,2,0.0130718954248
4,15,103,1,0.00970873786408
4,16,59,0,0.0
4,17,37,0,0.0
4,18,37,1,0.027027027027
4,19,19,0,0.0
4,20,27,0,0.0
4,21,22,0,0.0
4,22,8,0,0.0
4,23,9,0,0.0
4,24,8,0,0.0
4,25,7,0,0.0
4,26,5,0,0.0
4,27,3,0,0.0
4,28,5,0,0.0
4,29,2,0,0.0
4,33,1,0,0.0
4,35,1,0,0.0
4,37,1,0,0.0
4,38,1,0,0.0
4,40,1,0,0.0
5,2,45994,39260,0.853589598643
5,3,32045,21042,0.656639101264
5,4,19158,9301,0.485489090719
5,5,11426,3979,0.348240854192
5,6,6976,1759,0.252150229358
5,7,4159,704,0.169271459485
5,8,2353,240,0.101997450064
5,9,1518,98,0.064558629776
5,10,904,41,0.0453539823009
5,11,546,6,0.010989010989
5,12,369,2,0.00542005420054
5,13,244,3,0.0122950819672
5,14,153,2,0.0130718954248
5,15,103,1,0.00970873786408
5,16,59,0,0.0
5,17,37,0,0.0
5,18,37,1,0.027027027027
5,19,19,0,0.0
5,20,27,0,0.0
5,21,22,0,0.0
5,22,8,0,0.0
5,23,9,0,0.0
5,24,8,0,0.0
5,25,7,0,0.0
5,26,5,0,0.0
5,27,3,0,0.0
5,28,5,0,0.0
