iter,utterance_length,nb_utterances,produced,production_score
1,2,804,718,0.893034825871
1,3,561,420,0.748663101604
1,4,320,174,0.54375
1,5,169,63,0.372781065089
1,6,91,26,0.285714285714
1,7,40,5,0.125
1,8,24,6,0.25
1,9,17,1,0.0588235294118
1,10,4,0,0.0
1,11,1,0,0.0
2,2,804,714,0.888059701493
2,3,561,410,0.730837789661
2,4,320,163,0.509375
2,5,169,60,0.355029585799
2,6,91,25,0.274725274725
2,7,40,6,0.15
2,8,24,4,0.166666666667
2,9,17,2,0.117647058824
2,10,4,0,0.0
2,11,1,0,0.0
3,2,804,712,0.885572139303
3,3,561,424,0.755793226381
3,4,320,177,0.553125
3,5,169,58,0.343195266272
3,6,91,28,0.307692307692
3,7,40,3,0.075
3,8,24,5,0.208333333333
3,9,17,2,0.117647058824
3,10,4,0,0.0
3,11,1,0,0.0
4,2,804,714,0.888059701493
4,3,561,421,0.750445632799
4,4,320,172,0.5375
4,5,169,67,0.396449704142
4,6,91,25,0.274725274725
4,7,40,6,0.15
4,8,24,6,0.25
4,9,17,1,0.0588235294118
4,10,4,0,0.0
4,11,1,0,0.0
5,2,804,712,0.885572139303
5,3,561,417,0.743315508021
5,4,320,176,0.55
5,5,169,61,0.360946745562
5,6,91,28,0.307692307692
5,7,40,4,0.1
5,8,24,4,0.166666666667
5,9,17,2,0.117647058824
5,10,4,0,0.0
5,11,1,0,0.0
6,2,804,712,0.885572139303
6,3,561,415,0.739750445633
6,4,320,172,0.5375
6,5,169,62,0.366863905325
6,6,91,26,0.285714285714
6,7,40,5,0.125
6,8,24,6,0.25
6,9,17,2,0.117647058824
6,10,4,0,0.0
6,11,1,0,0.0
7,2,804,713,0.886815920398
7,3,561,421,0.750445632799
7,4,320,171,0.534375
7,5,169,63,0.372781065089
7,6,91,24,0.263736263736
7,7,40,4,0.1
7,8,24,4,0.166666666667
7,9,17,2,0.117647058824
7,10,4,0,0.0
7,11,1,0,0.0
8,2,804,711,0.884328358209
8,3,561,417,0.743315508021
8,4,320,172,0.5375
8,5,169,66,0.390532544379
8,6,91,25,0.274725274725
8,7,40,7,0.175
8,8,24,5,0.208333333333
8,9,17,1,0.0588235294118
8,10,4,0,0.0
8,11,1,0,0.0
9,2,804,711,0.884328358209
9,3,561,427,0.761140819964
9,4,320,173,0.540625
9,5,169,70,0.414201183432
9,6,91,27,0.296703296703
9,7,40,6,0.15
9,8,24,4,0.166666666667
9,9,17,1,0.0588235294118
9,10,4,0,0.0
9,11,1,0,0.0
10,2,804,714,0.888059701493
10,3,561,410,0.730837789661
10,4,320,177,0.553125
10,5,169,64,0.378698224852
10,6,91,25,0.274725274725
10,7,40,7,0.175
10,8,24,5,0.208333333333
10,9,17,2,0.117647058824
10,10,4,0,0.0
10,11,1,0,0.0
