iter,utterance_length,nb_utterances,produced,production_score
1,2,913,744,0.814895947426
1,3,930,574,0.617204301075
1,4,745,285,0.38255033557
1,5,577,144,0.249566724437
1,6,426,59,0.138497652582
1,7,285,24,0.0842105263158
1,8,190,8,0.0421052631579
1,9,129,3,0.0232558139535
1,10,65,2,0.0307692307692
1,11,63,0,0.0
1,12,44,0,0.0
1,13,26,0,0.0
1,14,27,0,0.0
1,15,15,0,0.0
1,16,6,0,0.0
1,17,11,0,0.0
1,18,4,0,0.0
1,19,3,0,0.0
1,20,2,0,0.0
1,21,2,0,0.0
1,22,3,0,0.0
1,23,3,0,0.0
1,24,1,0,0.0
1,25,1,0,0.0
1,27,1,0,0.0
1,28,3,0,0.0
1,30,3,0,0.0
1,38,1,0,0.0
2,2,913,747,0.818181818182
2,3,930,584,0.627956989247
2,4,745,280,0.375838926174
2,5,577,132,0.2287694974
2,6,426,63,0.147887323944
2,7,285,24,0.0842105263158
2,8,190,8,0.0421052631579
2,9,129,3,0.0232558139535
2,10,65,1,0.0153846153846
2,11,63,0,0.0
2,12,44,0,0.0
2,13,26,0,0.0
2,14,27,0,0.0
2,15,15,0,0.0
2,16,6,0,0.0
2,17,11,0,0.0
2,18,4,0,0.0
2,19,3,0,0.0
2,20,2,0,0.0
2,21,2,0,0.0
2,22,3,0,0.0
2,23,3,0,0.0
2,24,1,0,0.0
2,25,1,0,0.0
2,27,1,0,0.0
2,28,3,0,0.0
2,30,3,0,0.0
2,38,1,0,0.0
3,2,913,746,0.81708652793
3,3,930,580,0.623655913978
3,4,745,297,0.398657718121
3,5,577,146,0.253032928943
3,6,426,57,0.133802816901
3,7,285,23,0.080701754386
3,8,190,7,0.0368421052632
3,9,129,3,0.0232558139535
3,10,65,1,0.0153846153846
3,11,63,0,0.0
3,12,44,0,0.0
3,13,26,0,0.0
3,14,27,0,0.0
3,15,15,0,0.0
3,16,6,0,0.0
3,17,11,0,0.0
3,18,4,0,0.0
3,19,3,0,0.0
3,20,2,0,0.0
3,21,2,0,0.0
3,22,3,0,0.0
3,23,3,0,0.0
3,24,1,0,0.0
3,25,1,0,0.0
3,27,1,0,0.0
3,28,3,0,0.0
3,30,3,0,0.0
3,38,1,0,0.0
4,2,913,746,0.81708652793
4,3,930,582,0.625806451613
4,4,745,278,0.373154362416
4,5,577,154,0.266897746967
4,6,426,58,0.136150234742
4,7,285,24,0.0842105263158
4,8,190,9,0.0473684210526
4,9,129,5,0.0387596899225
4,10,65,2,0.0307692307692
4,11,63,0,0.0
4,12,44,0,0.0
4,13,26,0,0.0
4,14,27,0,0.0
4,15,15,0,0.0
4,16,6,0,0.0
4,17,11,0,0.0
4,18,4,0,0.0
4,19,3,0,0.0
4,20,2,0,0.0
4,21,2,0,0.0
4,22,3,0,0.0
4,23,3,0,0.0
4,24,1,0,0.0
4,25,1,0,0.0
4,27,1,0,0.0
4,28,3,0,0.0
4,30,3,0,0.0
4,38,1,0,0.0
5,2,913,751,0.822562979189
5,3,930,581,0.624731182796
5,4,745,279,0.374496644295
5,5,577,139,0.240901213172
5,6,426,55,0.129107981221
5,7,285,20,0.0701754385965
5,8,190,6,0.0315789473684
5,9,129,4,0.031007751938
5,10,65,2,0.0307692307692
5,11,63,1,0.015873015873
5,12,44,0,0.0
5,13,26,0,0.0
5,14,27,0,0.0
5,15,15,0,0.0
5,16,6,0,0.0
5,17,11,0,0.0
5,18,4,0,0.0
5,19,3,0,0.0
5,20,2,0,0.0
5,21,2,0,0.0
5,22,3,0,0.0
5,23,3,0,0.0
5,24,1,0,0.0
5,25,1,0,0.0
5,27,1,0,0.0
5,28,3,0,0.0
5,30,3,0,0.0
5,38,1,0,0.0
6,2,913,746,0.81708652793
6,3,930,575,0.618279569892
6,4,745,291,0.390604026846
6,5,577,138,0.239168110919
6,6,426,64,0.150234741784
6,7,285,19,0.0666666666667
6,8,190,9,0.0473684210526
6,9,129,3,0.0232558139535
6,10,65,1,0.0153846153846
6,11,63,0,0.0
6,12,44,0,0.0
6,13,26,0,0.0
6,14,27,0,0.0
6,15,15,0,0.0
6,16,6,0,0.0
6,17,11,0,0.0
6,18,4,0,0.0
6,19,3,0,0.0
6,20,2,0,0.0
6,21,2,0,0.0
6,22,3,0,0.0
6,23,3,0,0.0
6,24,1,0,0.0
6,25,1,0,0.0
6,27,1,0,0.0
6,28,3,0,0.0
6,30,3,0,0.0
6,38,1,0,0.0
7,2,913,750,0.821467688938
7,3,930,573,0.616129032258
7,4,745,282,0.378523489933
7,5,577,138,0.239168110919
7,6,426,62,0.145539906103
7,7,285,26,0.0912280701754
7,8,190,7,0.0368421052632
7,9,129,4,0.031007751938
7,10,65,1,0.0153846153846
7,11,63,0,0.0
7,12,44,0,0.0
7,13,26,0,0.0
7,14,27,0,0.0
7,15,15,0,0.0
7,16,6,0,0.0
7,17,11,0,0.0
7,18,4,0,0.0
7,19,3,0,0.0
7,20,2,0,0.0
7,21,2,0,0.0
7,22,3,0,0.0
7,23,3,0,0.0
7,24,1,0,0.0
7,25,1,0,0.0
7,27,1,0,0.0
7,28,3,0,0.0
7,30,3,0,0.0
7,38,1,0,0.0
8,2,913,742,0.812705366922
8,3,930,584,0.627956989247
8,4,745,291,0.390604026846
8,5,577,133,0.230502599653
8,6,426,60,0.140845070423
8,7,285,23,0.080701754386
8,8,190,10,0.0526315789474
8,9,129,4,0.031007751938
8,10,65,1,0.0153846153846
8,11,63,0,0.0
8,12,44,0,0.0
8,13,26,0,0.0
8,14,27,0,0.0
8,15,15,0,0.0
8,16,6,0,0.0
8,17,11,0,0.0
8,18,4,0,0.0
8,19,3,0,0.0
8,20,2,0,0.0
8,21,2,0,0.0
8,22,3,0,0.0
8,23,3,0,0.0
8,24,1,0,0.0
8,25,1,0,0.0
8,27,1,0,0.0
8,28,3,0,0.0
8,30,3,0,0.0
8,38,1,0,0.0
9,2,913,755,0.826944140197
9,3,930,584,0.627956989247
9,4,745,299,0.401342281879
9,5,577,144,0.249566724437
9,6,426,59,0.138497652582
9,7,285,27,0.0947368421053
9,8,190,5,0.0263157894737
9,9,129,2,0.015503875969
9,10,65,1,0.0153846153846
9,11,63,0,0.0
9,12,44,0,0.0
9,13,26,0,0.0
9,14,27,0,0.0
9,15,15,0,0.0
9,16,6,0,0.0
9,17,11,0,0.0
9,18,4,0,0.0
9,19,3,0,0.0
9,20,2,0,0.0
9,21,2,0,0.0
9,22,3,0,0.0
9,23,3,0,0.0
9,24,1,0,0.0
9,25,1,0,0.0
9,27,1,0,0.0
9,28,3,0,0.0
9,30,3,0,0.0
9,38,1,0,0.0
10,2,913,745,0.815991237678
10,3,930,587,0.631182795699
10,4,745,295,0.395973154362
10,5,577,133,0.230502599653
10,6,426,53,0.12441314554
10,7,285,22,0.0771929824561
10,8,190,11,0.0578947368421
10,9,129,5,0.0387596899225
10,10,65,3,0.0461538461538
10,11,63,0,0.0
10,12,44,0,0.0
10,13,26,0,0.0
10,14,27,0,0.0
10,15,15,0,0.0
10,16,6,0,0.0
10,17,11,0,0.0
10,18,4,0,0.0
10,19,3,0,0.0
10,20,2,0,0.0
10,21,2,0,0.0
10,22,3,0,0.0
10,23,3,0,0.0
10,24,1,0,0.0
10,25,1,0,0.0
10,27,1,0,0.0
10,28,3,0,0.0
10,30,3,0,0.0
10,38,1,0,0.0
