iter,utterance_length,nb_utterances,produced,production_score
1,2,1947,1446,0.742681047766
1,3,1734,940,0.542099192618
1,4,1410,616,0.436879432624
1,5,984,264,0.268292682927
1,6,587,88,0.149914821124
1,7,313,40,0.127795527157
1,8,180,7,0.0388888888889
1,9,127,6,0.0472440944882
1,10,67,2,0.0298507462687
1,11,34,1,0.0294117647059
1,12,29,0,0.0
1,13,21,0,0.0
1,14,11,0,0.0
1,15,5,0,0.0
1,16,4,0,0.0
1,17,5,0,0.0
1,19,2,0,0.0
1,20,4,0,0.0
1,21,1,0,0.0
2,2,1947,1441,0.74011299435
2,3,1734,946,0.545559400231
2,4,1410,602,0.42695035461
2,5,984,268,0.272357723577
2,6,587,84,0.143100511073
2,7,313,39,0.124600638978
2,8,180,4,0.0222222222222
2,9,127,3,0.0236220472441
2,10,67,2,0.0298507462687
2,11,34,1,0.0294117647059
2,12,29,0,0.0
2,13,21,0,0.0
2,14,11,0,0.0
2,15,5,0,0.0
2,16,4,0,0.0
2,17,5,0,0.0
2,19,2,0,0.0
2,20,4,0,0.0
2,21,1,0,0.0
3,2,1947,1450,0.744735490498
3,3,1734,947,0.546136101499
3,4,1410,605,0.429078014184
3,5,984,280,0.284552845528
3,6,587,86,0.146507666099
3,7,313,41,0.130990415335
3,8,180,7,0.0388888888889
3,9,127,3,0.0236220472441
3,10,67,2,0.0298507462687
3,11,34,1,0.0294117647059
3,12,29,0,0.0
3,13,21,1,0.047619047619
3,14,11,0,0.0
3,15,5,0,0.0
3,16,4,0,0.0
3,17,5,0,0.0
3,19,2,0,0.0
3,20,4,0,0.0
3,21,1,0,0.0
4,2,1947,1448,0.743708269132
4,3,1734,956,0.551326412918
4,4,1410,600,0.425531914894
4,5,984,281,0.285569105691
4,6,587,85,0.144804088586
4,7,313,35,0.111821086262
4,8,180,7,0.0388888888889
4,9,127,4,0.0314960629921
4,10,67,2,0.0298507462687
4,11,34,1,0.0294117647059
4,12,29,1,0.0344827586207
4,13,21,0,0.0
4,14,11,0,0.0
4,15,5,0,0.0
4,16,4,0,0.0
4,17,5,0,0.0
4,19,2,0,0.0
4,20,4,0,0.0
4,21,1,0,0.0
5,2,1947,1442,0.740626605033
5,3,1734,944,0.544405997693
5,4,1410,611,0.433333333333
5,5,984,279,0.283536585366
5,6,587,90,0.15332197615
5,7,313,37,0.11821086262
5,8,180,5,0.0277777777778
5,9,127,2,0.0157480314961
5,10,67,2,0.0298507462687
5,11,34,1,0.0294117647059
5,12,29,0,0.0
5,13,21,0,0.0
5,14,11,0,0.0
5,15,5,0,0.0
5,16,4,0,0.0
5,17,5,0,0.0
5,19,2,0,0.0
5,20,4,0,0.0
5,21,1,0,0.0
6,2,1947,1445,0.742167437083
6,3,1734,952,0.549019607843
6,4,1410,593,0.420567375887
6,5,984,279,0.283536585366
6,6,587,84,0.143100511073
6,7,313,34,0.108626198083
6,8,180,8,0.0444444444444
6,9,127,4,0.0314960629921
6,10,67,2,0.0298507462687
6,11,34,1,0.0294117647059
6,12,29,0,0.0
6,13,21,1,0.047619047619
6,14,11,0,0.0
6,15,5,0,0.0
6,16,4,0,0.0
6,17,5,0,0.0
6,19,2,0,0.0
6,20,4,0,0.0
6,21,1,0,0.0
7,2,1947,1442,0.740626605033
7,3,1734,944,0.544405997693
7,4,1410,611,0.433333333333
7,5,984,260,0.264227642276
7,6,587,92,0.156729131175
7,7,313,37,0.11821086262
7,8,180,7,0.0388888888889
7,9,127,6,0.0472440944882
7,10,67,2,0.0298507462687
7,11,34,1,0.0294117647059
7,12,29,1,0.0344827586207
7,13,21,0,0.0
7,14,11,0,0.0
7,15,5,0,0.0
7,16,4,0,0.0
7,17,5,0,0.0
7,19,2,0,0.0
7,20,4,0,0.0
7,21,1,0,0.0
8,2,1947,1448,0.743708269132
8,3,1734,947,0.546136101499
8,4,1410,599,0.424822695035
8,5,984,267,0.271341463415
8,6,587,87,0.148211243612
8,7,313,41,0.130990415335
8,8,180,6,0.0333333333333
8,9,127,4,0.0314960629921
8,10,67,2,0.0298507462687
8,11,34,1,0.0294117647059
8,12,29,0,0.0
8,13,21,1,0.047619047619
8,14,11,0,0.0
8,15,5,0,0.0
8,16,4,0,0.0
8,17,5,0,0.0
8,19,2,0,0.0
8,20,4,0,0.0
8,21,1,0,0.0
9,2,1947,1442,0.740626605033
9,3,1734,960,0.553633217993
9,4,1410,614,0.435460992908
9,5,984,272,0.276422764228
9,6,587,84,0.143100511073
9,7,313,36,0.115015974441
9,8,180,7,0.0388888888889
9,9,127,5,0.0393700787402
9,10,67,2,0.0298507462687
9,11,34,1,0.0294117647059
9,12,29,0,0.0
9,13,21,0,0.0
9,14,11,0,0.0
9,15,5,0,0.0
9,16,4,0,0.0
9,17,5,0,0.0
9,19,2,0,0.0
9,20,4,0,0.0
9,21,1,0,0.0
10,2,1947,1445,0.742167437083
10,3,1734,945,0.544982698962
10,4,1410,601,0.426241134752
10,5,984,279,0.283536585366
10,6,587,86,0.146507666099
10,7,313,37,0.11821086262
10,8,180,7,0.0388888888889
10,9,127,3,0.0236220472441
10,10,67,2,0.0298507462687
10,11,34,1,0.0294117647059
10,12,29,0,0.0
10,13,21,0,0.0
10,14,11,0,0.0
10,15,5,0,0.0
10,16,4,0,0.0
10,17,5,0,0.0
10,19,2,0,0.0
10,20,4,0,0.0
10,21,1,0,0.0
