iter,utterance_length,nb_utterances,produced,production_score
1,2,3598,2868,0.797109505281
1,3,3707,2353,0.634745076882
1,4,2577,1244,0.48273185875
1,5,1381,447,0.323678493845
1,6,621,140,0.225442834138
1,7,310,50,0.161290322581
1,8,124,14,0.112903225806
1,9,67,4,0.0597014925373
1,10,33,1,0.030303030303
1,11,16,0,0.0
1,12,7,1,0.142857142857
1,13,6,1,0.166666666667
1,14,4,1,0.25
1,15,1,0,0.0
1,17,1,0,0.0
1,18,1,0,0.0
1,25,1,0,0.0
2,2,3598,2871,0.797943301834
2,3,3707,2376,0.640949554896
2,4,2577,1244,0.48273185875
2,5,1381,448,0.324402606807
2,6,621,141,0.227053140097
2,7,310,45,0.145161290323
2,8,124,12,0.0967741935484
2,9,67,4,0.0597014925373
2,10,33,1,0.030303030303
2,11,16,0,0.0
2,12,7,0,0.0
2,13,6,1,0.166666666667
2,14,4,1,0.25
2,15,1,0,0.0
2,17,1,0,0.0
2,18,1,0,0.0
2,25,1,0,0.0
3,2,3598,2858,0.794330183435
3,3,3707,2354,0.635014836795
3,4,2577,1224,0.474970896391
3,5,1381,453,0.328023171615
3,6,621,136,0.219001610306
3,7,310,42,0.135483870968
3,8,124,11,0.0887096774194
3,9,67,1,0.0149253731343
3,10,33,1,0.030303030303
3,11,16,0,0.0
3,12,7,0,0.0
3,13,6,1,0.166666666667
3,14,4,1,0.25
3,15,1,0,0.0
3,17,1,0,0.0
3,18,1,0,0.0
3,25,1,0,0.0
4,2,3598,2874,0.798777098388
4,3,3707,2359,0.636363636364
4,4,2577,1246,0.483507954986
4,5,1381,470,0.340333091962
4,6,621,136,0.219001610306
4,7,310,43,0.138709677419
4,8,124,12,0.0967741935484
4,9,67,4,0.0597014925373
4,10,33,1,0.030303030303
4,11,16,0,0.0
4,12,7,0,0.0
4,13,6,1,0.166666666667
4,14,4,1,0.25
4,15,1,0,0.0
4,17,1,0,0.0
4,18,1,0,0.0
4,25,1,0,0.0
5,2,3598,2878,0.799888827126
5,3,3707,2377,0.64121931481
5,4,2577,1257,0.487776484284
5,5,1381,453,0.328023171615
5,6,621,138,0.222222222222
5,7,310,47,0.151612903226
5,8,124,13,0.104838709677
5,9,67,3,0.044776119403
5,10,33,1,0.030303030303
5,11,16,0,0.0
5,12,7,0,0.0
5,13,6,1,0.166666666667
5,14,4,1,0.25
5,15,1,0,0.0
5,17,1,0,0.0
5,18,1,0,0.0
5,25,1,0,0.0
6,2,3598,2867,0.796831573096
6,3,3707,2368,0.638791475587
6,4,2577,1243,0.482343810633
6,5,1381,455,0.329471397538
6,6,621,133,0.214170692432
6,7,310,48,0.154838709677
6,8,124,15,0.120967741935
6,9,67,6,0.089552238806
6,10,33,1,0.030303030303
6,11,16,0,0.0
6,12,7,0,0.0
6,13,6,1,0.166666666667
6,14,4,1,0.25
6,15,1,0,0.0
6,17,1,0,0.0
6,18,1,0,0.0
6,25,1,0,0.0
7,2,3598,2871,0.797943301834
7,3,3707,2379,0.641758834637
7,4,2577,1235,0.479239425689
7,5,1381,456,0.3301955105
7,6,621,129,0.207729468599
7,7,310,47,0.151612903226
7,8,124,9,0.0725806451613
7,9,67,1,0.0149253731343
7,10,33,1,0.030303030303
7,11,16,0,0.0
7,12,7,0,0.0
7,13,6,1,0.166666666667
7,14,4,1,0.25
7,15,1,0,0.0
7,17,1,0,0.0
7,18,1,0,0.0
7,25,1,0,0.0
8,2,3598,2869,0.797387437465
8,3,3707,2366,0.638251955759
8,4,2577,1230,0.477299185099
8,5,1381,461,0.333816075308
8,6,621,131,0.210950080515
8,7,310,44,0.141935483871
8,8,124,16,0.129032258065
8,9,67,3,0.044776119403
8,10,33,1,0.030303030303
8,11,16,0,0.0
8,12,7,0,0.0
8,13,6,1,0.166666666667
8,14,4,1,0.25
8,15,1,0,0.0
8,17,1,0,0.0
8,18,1,0,0.0
8,25,1,0,0.0
9,2,3598,2872,0.798221234019
9,3,3707,2373,0.640140275155
9,4,2577,1227,0.476135040745
9,5,1381,468,0.338884866039
9,6,621,132,0.212560386473
9,7,310,44,0.141935483871
9,8,124,12,0.0967741935484
9,9,67,2,0.0298507462687
9,10,33,1,0.030303030303
9,11,16,0,0.0
9,12,7,1,0.142857142857
9,13,6,1,0.166666666667
9,14,4,1,0.25
9,15,1,0,0.0
9,17,1,0,0.0
9,18,1,0,0.0
9,25,1,0,0.0
10,2,3598,2870,0.79766536965
10,3,3707,2367,0.638521715673
10,4,2577,1237,0.480015521925
10,5,1381,468,0.338884866039
10,6,621,133,0.214170692432
10,7,310,45,0.145161290323
10,8,124,13,0.104838709677
10,9,67,1,0.0149253731343
10,10,33,1,0.030303030303
10,11,16,0,0.0
10,12,7,0,0.0
10,13,6,1,0.166666666667
10,14,4,1,0.25
10,15,1,0,0.0
10,17,1,0,0.0
10,18,1,0,0.0
10,25,1,0,0.0
