iter,utterance_length,nb_utterances,produced,production_score
1,2,76,59,0.776315789474
1,3,21,11,0.52380952381
1,4,8,1,0.125
1,5,4,2,0.5
1,6,1,0,0.0
2,2,76,57,0.75
2,3,21,8,0.380952380952
2,4,8,2,0.25
2,5,4,0,0.0
2,6,1,0,0.0
3,2,76,56,0.736842105263
3,3,21,9,0.428571428571
3,4,8,1,0.125
3,5,4,0,0.0
3,6,1,0,0.0
4,2,76,58,0.763157894737
4,3,21,6,0.285714285714
4,4,8,1,0.125
4,5,4,0,0.0
4,6,1,0,0.0
5,2,76,61,0.802631578947
5,3,21,9,0.428571428571
5,4,8,0,0.0
5,5,4,0,0.0
5,6,1,0,0.0
6,2,76,61,0.802631578947
6,3,21,10,0.47619047619
6,4,8,1,0.125
6,5,4,0,0.0
6,6,1,0,0.0
7,2,76,58,0.763157894737
7,3,21,7,0.333333333333
7,4,8,0,0.0
7,5,4,0,0.0
7,6,1,0,0.0
8,2,76,54,0.710526315789
8,3,21,9,0.428571428571
8,4,8,1,0.125
8,5,4,0,0.0
8,6,1,0,0.0
9,2,76,60,0.789473684211
9,3,21,10,0.47619047619
9,4,8,0,0.0
9,5,4,0,0.0
9,6,1,0,0.0
10,2,76,62,0.815789473684
10,3,21,7,0.333333333333
10,4,8,1,0.125
10,5,4,0,0.0
10,6,1,0,0.0
