iter,utterance_length,nb_utterances,produced,production_score
1,2,2533,2238,0.8835373075404659
1,4,4960,3840,0.7741935483870968
1,3,4118,3488,0.847013113161729
1,5,4787,3274,0.683935659076666
1,8,1835,771,0.4201634877384196
1,9,1181,415,0.35139712108382726
1,12,321,61,0.19003115264797507
1,7,2727,1389,0.5093509350935094
1,6,3789,2281,0.6020058062813407
1,11,497,127,0.25553319919517103
1,16,79,10,0.12658227848101267
1,13,251,36,0.14342629482071714
1,10,792,222,0.2803030303030303
1,14,134,21,0.15671641791044777
1,15,116,9,0.07758620689655173
1,36,1,0,0.0
1,17,45,0,0.0
1,18,38,1,0.02631578947368421
1,27,5,0,0.0
1,19,19,1,0.05263157894736842
1,22,4,0,0.0
1,26,2,0,0.0
1,23,8,1,0.125
1,20,10,1,0.1
1,21,15,2,0.13333333333333333
1,41,1,0,0.0
1,24,3,1,0.3333333333333333
1,32,1,0,0.0
1,25,3,0,0.0
1,30,3,0,0.0
1,39,1,0,0.0
1,60,1,0,0.0
1,28,1,0,0.0
2,2,2533,2238,0.8835373075404659
2,4,4960,3838,0.7737903225806452
2,3,4118,3490,0.8474987858183585
2,5,4787,3261,0.6812199707541258
2,8,1835,758,0.4130790190735695
2,9,1181,422,0.3573243014394581
2,12,321,61,0.19003115264797507
2,7,2727,1390,0.5097176384305098
2,6,3789,2286,0.6033254156769596
2,11,497,126,0.2535211267605634
2,16,79,10,0.12658227848101267
2,13,251,37,0.14741035856573706
2,10,792,222,0.2803030303030303
2,14,134,20,0.14925373134328357
2,15,116,10,0.08620689655172414
2,36,1,0,0.0
2,17,45,0,0.0
2,18,38,1,0.02631578947368421
2,27,5,0,0.0
2,19,19,1,0.05263157894736842
2,22,4,0,0.0
2,26,2,0,0.0
2,23,8,1,0.125
2,20,10,1,0.1
2,21,15,2,0.13333333333333333
2,41,1,0,0.0
2,24,3,1,0.3333333333333333
2,32,1,0,0.0
2,25,3,0,0.0
2,30,3,0,0.0
2,39,1,0,0.0
2,60,1,0,0.0
2,28,1,0,0.0
3,2,2533,2238,0.8835373075404659
3,4,4960,3840,0.7741935483870968
3,3,4118,3487,0.8467702768334143
3,5,4787,3273,0.6837267599749322
3,8,1835,764,0.41634877384196184
3,9,1181,415,0.35139712108382726
3,12,321,62,0.19314641744548286
3,7,2727,1389,0.5093509350935094
3,6,3789,2280,0.601741884402217
3,11,497,121,0.24346076458752516
3,16,79,10,0.12658227848101267
3,13,251,36,0.14342629482071714
3,10,792,226,0.28535353535353536
3,14,134,20,0.14925373134328357
3,15,116,8,0.06896551724137931
3,36,1,0,0.0
3,17,45,0,0.0
3,18,38,1,0.02631578947368421
3,27,5,0,0.0
3,19,19,1,0.05263157894736842
3,22,4,0,0.0
3,26,2,0,0.0
3,23,8,1,0.125
3,20,10,1,0.1
3,21,15,2,0.13333333333333333
3,41,1,0,0.0
3,24,3,1,0.3333333333333333
3,32,1,0,0.0
3,25,3,0,0.0
3,30,3,0,0.0
3,39,1,0,0.0
3,60,1,0,0.0
3,28,1,0,0.0
4,2,2533,2238,0.8835373075404659
4,4,4960,3844,0.775
4,3,4118,3491,0.8477416221466731
4,5,4787,3287,0.6866513473992062
4,8,1835,764,0.41634877384196184
4,9,1181,419,0.35478408128704486
4,12,321,60,0.18691588785046728
4,7,2727,1381,0.5064173083975064
4,6,3789,2280,0.601741884402217
4,11,497,124,0.24949698189134809
4,16,79,9,0.11392405063291139
4,13,251,37,0.14741035856573706
4,10,792,224,0.2828282828282828
4,14,134,21,0.15671641791044777
4,15,116,10,0.08620689655172414
4,36,1,0,0.0
4,17,45,0,0.0
4,18,38,1,0.02631578947368421
4,27,5,0,0.0
4,19,19,1,0.05263157894736842
4,22,4,0,0.0
4,26,2,0,0.0
4,23,8,1,0.125
4,20,10,1,0.1
4,21,15,2,0.13333333333333333
4,41,1,0,0.0
4,24,3,1,0.3333333333333333
4,32,1,0,0.0
4,25,3,0,0.0
4,30,3,0,0.0
4,39,1,0,0.0
4,60,1,0,0.0
4,28,1,0,0.0
5,2,2533,2238,0.8835373075404659
5,4,4960,3851,0.7764112903225806
5,3,4118,3488,0.847013113161729
5,5,4787,3277,0.6845623563818676
5,8,1835,761,0.4147138964577657
5,9,1181,417,0.35309060118543606
5,12,321,61,0.19003115264797507
5,7,2727,1392,0.5104510451045104
5,6,3789,2269,0.5988387437318554
5,11,497,124,0.24949698189134809
5,16,79,10,0.12658227848101267
5,13,251,37,0.14741035856573706
5,10,792,224,0.2828282828282828
5,14,134,20,0.14925373134328357
5,15,116,8,0.06896551724137931
5,36,1,0,0.0
5,17,45,0,0.0
5,18,38,1,0.02631578947368421
5,27,5,0,0.0
5,19,19,1,0.05263157894736842
5,22,4,0,0.0
5,26,2,0,0.0
5,23,8,1,0.125
5,20,10,1,0.1
5,21,15,2,0.13333333333333333
5,41,1,0,0.0
5,24,3,1,0.3333333333333333
5,32,1,0,0.0
5,25,3,0,0.0
5,30,3,0,0.0
5,39,1,0,0.0
5,60,1,0,0.0
5,28,1,0,0.0
6,2,2533,2238,0.8835373075404659
6,4,4960,3844,0.775
6,3,4118,3489,0.8472559494900437
6,5,4787,3271,0.6833089617714644
6,8,1835,768,0.41852861035422345
6,9,1181,415,0.35139712108382726
6,12,321,60,0.18691588785046728
6,7,2727,1385,0.5078841217455079
6,6,3789,2272,0.5996305093692267
6,11,497,123,0.24748490945674045
6,16,79,9,0.11392405063291139
6,13,251,38,0.15139442231075698
6,10,792,222,0.2803030303030303
6,14,134,21,0.15671641791044777
6,15,116,10,0.08620689655172414
6,36,1,0,0.0
6,17,45,0,0.0
6,18,38,1,0.02631578947368421
6,27,5,0,0.0
6,19,19,1,0.05263157894736842
6,22,4,0,0.0
6,26,2,0,0.0
6,23,8,1,0.125
6,20,10,1,0.1
6,21,15,2,0.13333333333333333
6,41,1,0,0.0
6,24,3,1,0.3333333333333333
6,32,1,0,0.0
6,25,3,0,0.0
6,30,3,0,0.0
6,39,1,0,0.0
6,60,1,0,0.0
6,28,1,0,0.0
7,2,2533,2238,0.8835373075404659
7,4,4960,3849,0.776008064516129
7,3,4118,3487,0.8467702768334143
7,5,4787,3263,0.6816377689575935
7,8,1835,768,0.41852861035422345
7,9,1181,420,0.3556308213378493
7,12,321,62,0.19314641744548286
7,7,2727,1392,0.5104510451045104
7,6,3789,2280,0.601741884402217
7,11,497,127,0.25553319919517103
7,16,79,10,0.12658227848101267
7,13,251,36,0.14342629482071714
7,10,792,228,0.2878787878787879
7,14,134,20,0.14925373134328357
7,15,116,8,0.06896551724137931
7,36,1,0,0.0
7,17,45,0,0.0
7,18,38,1,0.02631578947368421
7,27,5,0,0.0
7,19,19,1,0.05263157894736842
7,22,4,0,0.0
7,26,2,0,0.0
7,23,8,1,0.125
7,20,10,1,0.1
7,21,15,2,0.13333333333333333
7,41,1,0,0.0
7,24,3,1,0.3333333333333333
7,32,1,0,0.0
7,25,3,0,0.0
7,30,3,0,0.0
7,39,1,0,0.0
7,60,1,0,0.0
7,28,1,0,0.0
8,2,2533,2238,0.8835373075404659
8,4,4960,3849,0.776008064516129
8,3,4118,3487,0.8467702768334143
8,5,4787,3272,0.6835178608731982
8,8,1835,769,0.41907356948228885
8,9,1181,416,0.3522438611346317
8,12,321,61,0.19003115264797507
8,7,2727,1382,0.5067840117345068
8,6,3789,2281,0.6020058062813407
8,11,497,124,0.24949698189134809
8,16,79,10,0.12658227848101267
8,13,251,37,0.14741035856573706
8,10,792,224,0.2828282828282828
8,14,134,21,0.15671641791044777
8,15,116,8,0.06896551724137931
8,36,1,0,0.0
8,17,45,0,0.0
8,18,38,1,0.02631578947368421
8,27,5,0,0.0
8,19,19,1,0.05263157894736842
8,22,4,0,0.0
8,26,2,0,0.0
8,23,8,1,0.125
8,20,10,1,0.1
8,21,15,2,0.13333333333333333
8,41,1,0,0.0
8,24,3,1,0.3333333333333333
8,32,1,0,0.0
8,25,3,0,0.0
8,30,3,0,0.0
8,39,1,0,0.0
8,60,1,0,0.0
8,28,1,0,0.0
9,2,2533,2238,0.8835373075404659
9,4,4960,3846,0.7754032258064516
9,3,4118,3489,0.8472559494900437
9,5,4787,3264,0.6818466680593274
