iter,utterance_length,nb_utterances,produced,production_score
1,2,9215,7978,0.8657623440043407
1,3,9152,7156,0.7819055944055944
1,6,3306,1875,0.5671506352087115
1,4,7172,5170,0.7208588957055214
1,7,1902,930,0.4889589905362776
1,5,5038,3236,0.6423183803096467
1,8,1107,497,0.44896115627822947
1,12,127,29,0.2283464566929134
1,9,608,210,0.34539473684210525
1,11,186,42,0.22580645161290322
1,10,361,92,0.2548476454293629
1,14,46,5,0.10869565217391304
1,13,67,11,0.16417910447761194
1,25,1,0,0.0
1,15,27,3,0.1111111111111111
1,21,4,0,0.0
1,18,7,0,0.0
1,17,7,0,0.0
1,16,17,3,0.17647058823529413
1,20,4,0,0.0
1,44,1,1,1.0
1,22,2,0,0.0
1,19,5,0,0.0
1,30,1,0,0.0
1,24,1,1,1.0
2,2,9215,7978,0.8657623440043407
2,3,9152,7158,0.7821241258741258
2,6,3306,1891,0.5719903206291591
2,4,7172,5173,0.7212771890686002
2,7,1902,920,0.48370136698212407
2,5,5038,3262,0.647479158396189
2,8,1107,491,0.44354110207768743
2,12,127,30,0.23622047244094488
2,9,608,210,0.34539473684210525
2,11,186,42,0.22580645161290322
2,10,361,91,0.2520775623268698
2,14,46,5,0.10869565217391304
2,13,67,11,0.16417910447761194
2,25,1,0,0.0
2,15,27,3,0.1111111111111111
2,21,4,0,0.0
2,18,7,0,0.0
2,17,7,0,0.0
2,16,17,3,0.17647058823529413
2,20,4,0,0.0
2,44,1,1,1.0
2,22,2,0,0.0
2,19,5,0,0.0
2,30,1,0,0.0
2,24,1,1,1.0
3,2,9215,7978,0.8657623440043407
3,3,9152,7153,0.7815777972027972
3,6,3306,1900,0.5747126436781609
3,4,7172,5169,0.7207194645844952
3,7,1902,939,0.49369085173501576
3,5,5038,3266,0.648273124255657
3,8,1107,485,0.43812104787714545
3,12,127,29,0.2283464566929134
3,9,608,212,0.34868421052631576
3,11,186,42,0.22580645161290322
3,10,361,91,0.2520775623268698
3,14,46,5,0.10869565217391304
3,13,67,11,0.16417910447761194
3,25,1,0,0.0
3,15,27,3,0.1111111111111111
3,21,4,0,0.0
3,18,7,0,0.0
3,17,7,0,0.0
3,16,17,3,0.17647058823529413
3,20,4,0,0.0
3,44,1,1,1.0
3,22,2,0,0.0
3,19,5,0,0.0
3,30,1,0,0.0
3,24,1,1,1.0
4,2,9215,7978,0.8657623440043407
4,3,9152,7157,0.7820148601398601
4,6,3306,1885,0.5701754385964912
4,4,7172,5175,0.7215560513106526
4,7,1902,922,0.48475289169295477
4,5,5038,3249,0.6448987693529178
4,8,1107,485,0.43812104787714545
4,12,127,30,0.23622047244094488
4,9,608,214,0.3519736842105263
4,11,186,43,0.23118279569892472
4,10,361,93,0.25761772853185594
4,14,46,5,0.10869565217391304
4,13,67,12,0.1791044776119403
4,25,1,0,0.0
4,15,27,3,0.1111111111111111
4,21,4,0,0.0
4,18,7,0,0.0
4,17,7,0,0.0
4,16,17,3,0.17647058823529413
4,20,4,0,0.0
4,44,1,1,1.0
4,22,2,0,0.0
4,19,5,0,0.0
4,30,1,0,0.0
4,24,1,1,1.0
5,2,9215,7978,0.8657623440043407
5,3,9152,7155,0.7817963286713286
5,6,3306,1882,0.5692679975801573
5,4,7172,5173,0.7212771890686002
5,7,1902,924,0.48580441640378547
5,5,5038,3258,0.646685192536721
5,8,1107,479,0.4327009936766034
5,12,127,30,0.23622047244094488
5,9,608,210,0.34539473684210525
5,11,186,42,0.22580645161290322
5,10,361,94,0.26038781163434904
5,14,46,5,0.10869565217391304
5,13,67,11,0.16417910447761194
5,25,1,0,0.0
5,15,27,3,0.1111111111111111
5,21,4,0,0.0
5,18,7,0,0.0
5,17,7,0,0.0
5,16,17,3,0.17647058823529413
5,20,4,0,0.0
5,44,1,1,1.0
5,22,2,0,0.0
5,19,5,0,0.0
5,30,1,0,0.0
5,24,1,1,1.0
6,2,9215,7978,0.8657623440043407
6,3,9152,7153,0.7815777972027972
6,6,3306,1882,0.5692679975801573
6,4,7172,5186,0.7230897936419409
6,7,1902,918,0.48264984227129337
6,5,5038,3244,0.6439063120285827
6,8,1107,493,0.44534778681120146
6,12,127,30,0.23622047244094488
6,9,608,212,0.34868421052631576
6,11,186,44,0.23655913978494625
6,10,361,93,0.25761772853185594
6,14,46,5,0.10869565217391304
6,13,67,12,0.1791044776119403
6,25,1,0,0.0
6,15,27,3,0.1111111111111111
6,21,4,0,0.0
6,18,7,0,0.0
6,17,7,0,0.0
6,16,17,3,0.17647058823529413
6,20,4,0,0.0
6,44,1,1,1.0
6,22,2,0,0.0
6,19,5,0,0.0
6,30,1,0,0.0
6,24,1,1,1.0
7,2,9215,7978,0.8657623440043407
7,3,9152,7154,0.7816870629370629
7,6,3306,1888,0.5710828796128251
7,4,7172,5174,0.7214166201896264
7,7,1902,933,0.49053627760252366
7,5,5038,3249,0.6448987693529178
7,8,1107,489,0.44173441734417346
7,12,127,29,0.2283464566929134
7,9,608,211,0.3470394736842105
7,11,186,44,0.23655913978494625
7,10,361,91,0.2520775623268698
7,14,46,5,0.10869565217391304
7,13,67,10,0.14925373134328357
7,25,1,0,0.0
7,15,27,3,0.1111111111111111
7,21,4,0,0.0
7,18,7,0,0.0
7,17,7,0,0.0
7,16,17,3,0.17647058823529413
7,20,4,0,0.0
7,44,1,1,1.0
7,22,2,0,0.0
7,19,5,0,0.0
7,30,1,0,0.0
7,24,1,1,1.0
8,2,9215,7978,0.8657623440043407
8,3,9152,7155,0.7817963286713286
8,6,3306,1881,0.5689655172413793
8,4,7172,5161,0.7196040156162855
8,7,1902,925,0.4863301787592008
8,5,5038,3259,0.6468836840015879
8,8,1107,486,0.43902439024390244
8,12,127,29,0.2283464566929134
8,9,608,212,0.34868421052631576
8,11,186,43,0.23118279569892472
8,10,361,93,0.25761772853185594
8,14,46,5,0.10869565217391304
8,13,67,12,0.1791044776119403
8,25,1,0,0.0
8,15,27,3,0.1111111111111111
8,21,4,0,0.0
8,18,7,0,0.0
8,17,7,0,0.0
8,16,17,3,0.17647058823529413
8,20,4,0,0.0
8,44,1,1,1.0
8,22,2,0,0.0
8,19,5,0,0.0
8,30,1,0,0.0
8,24,1,1,1.0
9,2,9215,7978,0.8657623440043407
9,3,9152,7155,0.7817963286713286
9,6,3306,1884,0.5698729582577132
9,4,7172,5184,0.7228109313998885
9,7,1902,923,0.4852786540483701
9,5,5038,3263,0.647677649861056
9,8,1107,493,0.44534778681120146
9,12,127,29,0.2283464566929134
9,9,608,213,0.3503289473684211
9,11,186,43,0.23118279569892472
9,10,361,91,0.2520775623268698
9,14,46,5,0.10869565217391304
9,13,67,11,0.16417910447761194
9,25,1,0,0.0
9,15,27,3,0.1111111111111111
9,21,4,0,0.0
9,18,7,0,0.0
9,17,7,0,0.0
9,16,17,3,0.17647058823529413
9,20,4,0,0.0
9,44,1,1,1.0
9,22,2,0,0.0
9,19,5,0,0.0
9,30,1,0,0.0
9,24,1,1,1.0
10,2,9215,7978,0.8657623440043407
10,3,9152,7156,0.7819055944055944
10,6,3306,1886,0.5704779189352692
10,4,7172,5176,0.7216954824316788
10,7,1902,925,0.4863301787592008
10,5,5038,3255,0.6460897181421199
10,8,1107,485,0.43812104787714545
10,12,127,30,0.23622047244094488
10,9,608,211,0.3470394736842105
10,11,186,43,0.23118279569892472
10,10,361,90,0.24930747922437674
10,14,46,5,0.10869565217391304
10,13,67,11,0.16417910447761194
10,25,1,0,0.0
10,15,27,3,0.1111111111111111
10,21,4,0,0.0
10,18,7,0,0.0
10,17,7,0,0.0
10,16,17,3,0.17647058823529413
10,20,4,0,0.0
10,44,1,1,1.0
10,22,2,0,0.0
10,19,5,0,0.0
10,30,1,0,0.0
10,24,1,1,1.0
