iter,utterance_length,nb_utterances,produced,production_score
1,3,3269,2287,0.6996023248699909
1,4,1875,1112,0.5930666666666666
1,2,5373,4642,0.8639493765121906
1,7,319,112,0.3510971786833856
1,5,995,489,0.4914572864321608
1,8,187,63,0.33689839572192515
1,6,559,222,0.39713774597495527
1,14,13,5,0.38461538461538464
1,11,24,5,0.20833333333333334
1,12,30,7,0.23333333333333334
1,10,47,7,0.14893617021276595
1,9,94,20,0.2127659574468085
1,17,5,0,0.0
1,13,12,5,0.4166666666666667
1,21,2,0,0.0
1,15,9,2,0.2222222222222222
1,22,1,0,0.0
1,16,3,3,1.0
1,25,1,0,0.0
1,23,2,0,0.0
1,27,2,0,0.0
1,31,1,0,0.0
1,20,2,1,0.5
2,3,3269,2288,0.6999082288161518
2,4,1875,1112,0.5930666666666666
2,2,5373,4642,0.8639493765121906
2,7,319,114,0.3573667711598746
2,5,995,486,0.4884422110552764
2,8,187,64,0.3422459893048128
2,6,559,224,0.4007155635062612
2,14,13,5,0.38461538461538464
2,11,24,5,0.20833333333333334
2,12,30,7,0.23333333333333334
2,10,47,7,0.14893617021276595
2,9,94,20,0.2127659574468085
2,17,5,0,0.0
2,13,12,5,0.4166666666666667
2,21,2,0,0.0
2,15,9,2,0.2222222222222222
2,22,1,0,0.0
2,16,3,3,1.0
2,25,1,0,0.0
2,23,2,0,0.0
2,27,2,0,0.0
2,31,1,0,0.0
2,20,2,1,0.5
3,3,3269,2288,0.6999082288161518
3,4,1875,1112,0.5930666666666666
3,2,5373,4642,0.8639493765121906
3,7,319,112,0.3510971786833856
3,5,995,488,0.4904522613065327
3,8,187,63,0.33689839572192515
3,6,559,223,0.39892665474060823
3,14,13,5,0.38461538461538464
3,11,24,6,0.25
3,12,30,8,0.26666666666666666
3,10,47,7,0.14893617021276595
3,9,94,20,0.2127659574468085
3,17,5,0,0.0
3,13,12,5,0.4166666666666667
3,21,2,0,0.0
3,15,9,2,0.2222222222222222
3,22,1,0,0.0
3,16,3,3,1.0
3,25,1,0,0.0
3,23,2,0,0.0
3,27,2,0,0.0
3,31,1,0,0.0
3,20,2,1,0.5
4,3,3269,2287,0.6996023248699909
4,4,1875,1118,0.5962666666666666
4,2,5373,4642,0.8639493765121906
4,7,319,113,0.3542319749216301
4,5,995,481,0.4834170854271357
4,8,187,63,0.33689839572192515
4,6,559,222,0.39713774597495527
4,14,13,5,0.38461538461538464
4,11,24,7,0.2916666666666667
4,12,30,8,0.26666666666666666
4,10,47,7,0.14893617021276595
4,9,94,20,0.2127659574468085
4,17,5,0,0.0
4,13,12,5,0.4166666666666667
4,21,2,0,0.0
4,15,9,2,0.2222222222222222
4,22,1,0,0.0
4,16,3,3,1.0
4,25,1,0,0.0
4,23,2,0,0.0
4,27,2,0,0.0
4,31,1,0,0.0
4,20,2,1,0.5
5,3,3269,2287,0.6996023248699909
5,4,1875,1117,0.5957333333333333
5,2,5373,4642,0.8639493765121906
5,7,319,113,0.3542319749216301
5,5,995,484,0.4864321608040201
5,8,187,66,0.35294117647058826
5,6,559,221,0.3953488372093023
5,14,13,5,0.38461538461538464
5,11,24,6,0.25
5,12,30,7,0.23333333333333334
5,10,47,7,0.14893617021276595
5,9,94,20,0.2127659574468085
5,17,5,0,0.0
5,13,12,5,0.4166666666666667
5,21,2,0,0.0
5,15,9,2,0.2222222222222222
