iter,utterance_length,nb_utterances,produced,production_score
1,2,4644,4044,0.8708010335917312
1,3,3726,2893,0.7764358561460011
1,4,2061,1385,0.6720038816108685
1,5,1055,597,0.5658767772511848
1,7,215,116,0.5395348837209303
1,6,416,213,0.5120192307692307
1,8,78,27,0.34615384615384615
1,10,17,4,0.23529411764705882
1,9,41,5,0.12195121951219512
1,11,7,1,0.14285714285714285
1,12,4,1,0.25
1,13,3,1,0.3333333333333333
1,14,1,0,0.0
1,45,1,1,1.0
2,2,4644,4044,0.8708010335917312
2,3,3726,2894,0.7767042404723564
2,4,2061,1389,0.6739446870451238
2,5,1055,591,0.5601895734597157
2,7,215,116,0.5395348837209303
2,6,416,216,0.5192307692307693
2,8,78,27,0.34615384615384615
2,10,17,4,0.23529411764705882
2,9,41,6,0.14634146341463414
2,11,7,1,0.14285714285714285
2,12,4,1,0.25
2,13,3,1,0.3333333333333333
2,14,1,0,0.0
2,45,1,1,1.0
3,2,4644,4044,0.8708010335917312
3,3,3726,2895,0.7769726247987118
3,4,2061,1382,0.6705482775351771
3,5,1055,593,0.5620853080568721
3,7,215,116,0.5395348837209303
3,6,416,213,0.5120192307692307
3,8,78,27,0.34615384615384615
3,10,17,4,0.23529411764705882
3,9,41,6,0.14634146341463414
3,11,7,1,0.14285714285714285
3,12,4,1,0.25
3,13,3,1,0.3333333333333333
3,14,1,0,0.0
3,45,1,1,1.0
4,2,4644,4044,0.8708010335917312
4,3,3726,2893,0.7764358561460011
4,4,2061,1388,0.6734594856865599
4,5,1055,592,0.5611374407582939
4,7,215,116,0.5395348837209303
4,6,416,218,0.5240384615384616
4,8,78,27,0.34615384615384615
4,10,17,4,0.23529411764705882
4,9,41,5,0.12195121951219512
4,11,7,1,0.14285714285714285
4,12,4,1,0.25
4,13,3,1,0.3333333333333333
4,14,1,0,0.0
4,45,1,1,1.0
5,2,4644,4044,0.8708010335917312
5,3,3726,2894,0.7767042404723564
5,4,2061,1383,0.6710334788937409
5,5,1055,591,0.5601895734597157
5,7,215,116,0.5395348837209303
5,6,416,216,0.5192307692307693
5,8,78,27,0.34615384615384615
5,10,17,4,0.23529411764705882
5,9,41,6,0.14634146341463414
5,11,7,1,0.14285714285714285
5,12,4,1,0.25
5,13,3,1,0.3333333333333333
5,14,1,0,0.0
5,45,1,1,1.0
6,2,4644,4044,0.8708010335917312
6,3,3726,2895,0.7769726247987118
6,4,2061,1383,0.6710334788937409
6,5,1055,593,0.5620853080568721
6,7,215,116,0.5395348837209303
6,6,416,218,0.5240384615384616
6,8,78,27,0.34615384615384615
6,10,17,4,0.23529411764705882
6,9,41,5,0.12195121951219512
6,11,7,1,0.14285714285714285
6,12,4,1,0.25
6,13,3,1,0.3333333333333333
6,14,1,0,0.0
6,45,1,1,1.0
7,2,4644,4044,0.8708010335917312
7,3,3726,2896,0.7772410091250671
7,4,2061,1389,0.6739446870451238
7,5,1055,592,0.5611374407582939
7,7,215,118,0.5488372093023256
7,6,416,214,0.5144230769230769
7,8,78,27,0.34615384615384615
7,10,17,4,0.23529411764705882
7,9,41,6,0.14634146341463414
7,11,7,1,0.14285714285714285
7,12,4,1,0.25
7,13,3,1,0.3333333333333333
7,14,1,0,0.0
7,45,1,1,1.0
8,2,4644,4044,0.8708010335917312
8,3,3726,2897,0.7775093934514224
8,4,2061,1384,0.6715186802523047
8,5,1055,598,0.566824644549763
8,7,215,115,0.5348837209302325
8,6,416,213,0.5120192307692307
8,8,78,27,0.34615384615384615
8,10,17,4,0.23529411764705882
8,9,41,5,0.12195121951219512
8,11,7,1,0.14285714285714285
8,12,4,1,0.25
8,13,3,1,0.3333333333333333
8,14,1,0,0.0
8,45,1,1,1.0
9,2,4644,4044,0.8708010335917312
9,3,3726,2894,0.7767042404723564
9,4,2061,1386,0.6724890829694323
9,5,1055,596,0.5649289099526066
9,7,215,118,0.5488372093023256
9,6,416,211,0.5072115384615384
9,8,78,27,0.34615384615384615
9,10,17,4,0.23529411764705882
9,9,41,6,0.14634146341463414
9,11,7,1,0.14285714285714285
9,12,4,1,0.25
9,13,3,1,0.3333333333333333
9,14,1,0,0.0
9,45,1,1,1.0
10,2,4644,4044,0.8708010335917312
10,3,3726,2895,0.7769726247987118
10,4,2061,1385,0.6720038816108685
10,5,1055,596,0.5649289099526066
10,7,215,117,0.5441860465116279
10,6,416,216,0.5192307692307693
10,8,78,27,0.34615384615384615
10,10,17,5,0.29411764705882354
10,9,41,6,0.14634146341463414
10,11,7,1,0.14285714285714285
10,12,4,1,0.25
10,13,3,1,0.3333333333333333
10,14,1,0,0.0
10,45,1,1,1.0
