iter,utterance_length,nb_utterances,produced,production_score
1,2,3542,2945,0.831451157538114
1,3,2990,2270,0.7591973244147158
1,4,2181,1542,0.7070151306740028
1,5,1338,832,0.6218236173393124
1,6,676,386,0.5710059171597633
1,7,343,154,0.4489795918367347
1,8,155,63,0.4064516129032258
1,9,68,18,0.2647058823529412
1,10,38,12,0.3157894736842105
1,12,10,1,0.1
1,11,21,4,0.19047619047619047
1,15,1,0,0.0
1,14,3,0,0.0
1,13,3,1,0.3333333333333333
1,17,1,0,0.0
2,2,3542,2945,0.831451157538114
2,3,2990,2270,0.7591973244147158
2,4,2181,1535,0.7038055937643283
2,5,1338,831,0.6210762331838565
2,6,676,388,0.5739644970414202
2,7,343,152,0.44314868804664725
2,8,155,60,0.3870967741935484
2,9,68,15,0.22058823529411764
2,10,38,12,0.3157894736842105
2,12,10,1,0.1
2,11,21,5,0.23809523809523808
2,15,1,0,0.0
2,14,3,0,0.0
2,13,3,1,0.3333333333333333
2,17,1,0,0.0
3,2,3542,2945,0.831451157538114
3,3,2990,2271,0.7595317725752508
3,4,2181,1538,0.7051811095827603
3,5,1338,837,0.625560538116592
3,6,676,387,0.5724852071005917
3,7,343,148,0.4314868804664723
3,8,155,60,0.3870967741935484
3,9,68,16,0.23529411764705882
3,10,38,12,0.3157894736842105
3,12,10,1,0.1
3,11,21,4,0.19047619047619047
3,15,1,0,0.0
3,14,3,0,0.0
3,13,3,1,0.3333333333333333
3,17,1,0,0.0
4,2,3542,2945,0.831451157538114
4,3,2990,2271,0.7595317725752508
4,4,2181,1544,0.707932141219624
4,5,1338,835,0.6240657698056801
4,6,676,391,0.5784023668639053
4,7,343,153,0.446064139941691
4,8,155,59,0.38064516129032255
4,9,68,18,0.2647058823529412
4,10,38,12,0.3157894736842105
4,12,10,1,0.1
4,11,21,5,0.23809523809523808
4,15,1,0,0.0
4,14,3,0,0.0
4,13,3,1,0.3333333333333333
4,17,1,0,0.0
5,2,3542,2945,0.831451157538114
5,3,2990,2270,0.7591973244147158
5,4,2181,1545,0.7083906464924347
5,5,1338,837,0.625560538116592
5,6,676,380,0.5621301775147929
5,7,343,151,0.4402332361516035
5,8,155,61,0.3935483870967742
5,9,68,16,0.23529411764705882
5,10,38,12,0.3157894736842105
5,12,10,1,0.1
5,11,21,5,0.23809523809523808
5,15,1,0,0.0
5,14,3,0,0.0
5,13,3,1,0.3333333333333333
5,17,1,0,0.0
6,2,3542,2945,0.831451157538114
6,3,2990,2271,0.7595317725752508
6,4,2181,1549,0.7102246675836772
6,5,1338,834,0.6233183856502242
6,6,676,389,0.5754437869822485
6,7,343,152,0.44314868804664725
6,8,155,60,0.3870967741935484
6,9,68,16,0.23529411764705882
6,10,38,12,0.3157894736842105
6,12,10,1,0.1
6,11,21,5,0.23809523809523808
6,15,1,0,0.0
6,14,3,0,0.0
6,13,3,1,0.3333333333333333
6,17,1,0,0.0
7,2,3542,2945,0.831451157538114
7,3,2990,2271,0.7595317725752508
7,4,2181,1533,0.7028885832187071
7,5,1338,827,0.6180866965620329
7,6,676,396,0.5857988165680473
7,7,343,151,0.4402332361516035
7,8,155,60,0.3870967741935484
7,9,68,17,0.25
7,10,38,12,0.3157894736842105
7,12,10,1,0.1
7,11,21,5,0.23809523809523808
7,15,1,0,0.0
7,14,3,0,0.0
7,13,3,1,0.3333333333333333
7,17,1,0,0.0
8,2,3542,2945,0.831451157538114
8,3,2990,2271,0.7595317725752508
8,4,2181,1547,0.709307657038056
8,5,1338,827,0.6180866965620329
8,6,676,392,0.5798816568047337
8,7,343,154,0.4489795918367347
8,8,155,63,0.4064516129032258
8,9,68,17,0.25
8,10,38,13,0.34210526315789475
8,12,10,1,0.1
8,11,21,5,0.23809523809523808
8,15,1,0,0.0
8,14,3,0,0.0
8,13,3,1,0.3333333333333333
8,17,1,0,0.0
9,2,3542,2945,0.831451157538114
9,3,2990,2271,0.7595317725752508
9,4,2181,1537,0.7047226043099496
9,5,1338,832,0.6218236173393124
9,6,676,390,0.5769230769230769
9,7,343,152,0.44314868804664725
9,8,155,61,0.3935483870967742
9,9,68,17,0.25
9,10,38,12,0.3157894736842105
9,12,10,1,0.1
9,11,21,5,0.23809523809523808
9,15,1,0,0.0
9,14,3,0,0.0
9,13,3,1,0.3333333333333333
9,17,1,0,0.0
10,2,3542,2945,0.831451157538114
10,3,2990,2270,0.7591973244147158
10,4,2181,1545,0.7083906464924347
10,5,1338,832,0.6218236173393124
10,6,676,387,0.5724852071005917
10,7,343,149,0.43440233236151604
10,8,155,61,0.3935483870967742
10,9,68,17,0.25
10,10,38,12,0.3157894736842105
10,12,10,1,0.1
10,11,21,5,0.23809523809523808
10,15,1,0,0.0
10,14,3,0,0.0
10,13,3,1,0.3333333333333333
10,17,1,0,0.0
