iter,utterance_length,nb_utterances,produced,production_score
1,3,443,396,0.8939051918735892
1,2,377,338,0.896551724137931
1,5,336,246,0.7321428571428571
1,4,391,328,0.8388746803069054
1,6,231,145,0.6277056277056277
1,8,85,48,0.5647058823529412
1,7,116,52,0.4482758620689655
1,9,41,10,0.24390243902439024
1,10,24,6,0.25
1,11,13,4,0.3076923076923077
1,12,5,2,0.4
1,13,3,1,0.3333333333333333
1,15,1,0,0.0
1,16,1,0,0.0
1,25,1,0,0.0
1,14,1,0,0.0
2,3,443,398,0.8984198645598194
2,2,377,338,0.896551724137931
2,5,336,245,0.7291666666666666
2,4,391,330,0.8439897698209718
2,6,231,143,0.6190476190476191
2,8,85,48,0.5647058823529412
2,7,116,52,0.4482758620689655
2,9,41,12,0.2926829268292683
2,10,24,6,0.25
2,11,13,4,0.3076923076923077
2,12,5,2,0.4
2,13,3,1,0.3333333333333333
2,15,1,0,0.0
2,16,1,0,0.0
2,25,1,0,0.0
2,14,1,0,0.0
3,3,443,397,0.8961625282167043
3,2,377,338,0.896551724137931
3,5,336,247,0.7351190476190477
3,4,391,329,0.8414322250639387
3,6,231,144,0.6233766233766234
3,8,85,45,0.5294117647058824
3,7,116,54,0.46551724137931033
3,9,41,13,0.3170731707317073
3,10,24,5,0.20833333333333334
3,11,13,4,0.3076923076923077
3,12,5,2,0.4
3,13,3,1,0.3333333333333333
3,15,1,0,0.0
3,16,1,0,0.0
3,25,1,0,0.0
3,14,1,0,0.0
4,3,443,396,0.8939051918735892
4,2,377,338,0.896551724137931
4,5,336,248,0.7380952380952381
4,4,391,329,0.8414322250639387
4,6,231,144,0.6233766233766234
4,8,85,50,0.5882352941176471
4,7,116,50,0.43103448275862066
4,9,41,11,0.2682926829268293
4,10,24,4,0.16666666666666666
4,11,13,4,0.3076923076923077
4,12,5,2,0.4
4,13,3,1,0.3333333333333333
4,15,1,0,0.0
4,16,1,0,0.0
4,25,1,0,0.0
4,14,1,0,0.0
5,3,443,396,0.8939051918735892
5,2,377,338,0.896551724137931
5,5,336,249,0.7410714285714286
5,4,391,329,0.8414322250639387
5,6,231,141,0.6103896103896104
5,8,85,46,0.5411764705882353
5,7,116,52,0.4482758620689655
5,9,41,13,0.3170731707317073
5,10,24,4,0.16666666666666666
5,11,13,4,0.3076923076923077
5,12,5,2,0.4
5,13,3,1,0.3333333333333333
5,15,1,0,0.0
5,16,1,0,0.0
5,25,1,0,0.0
5,14,1,0,0.0
6,3,443,397,0.8961625282167043
6,2,377,338,0.896551724137931
6,5,336,245,0.7291666666666666
6,4,391,325,0.8312020460358056
6,6,231,143,0.6190476190476191
6,8,85,45,0.5294117647058824
6,7,116,52,0.4482758620689655
6,9,41,12,0.2926829268292683
6,10,24,4,0.16666666666666666
6,11,13,4,0.3076923076923077
6,12,5,2,0.4
6,13,3,1,0.3333333333333333
6,15,1,0,0.0
6,16,1,0,0.0
6,25,1,0,0.0
6,14,1,0,0.0
7,3,443,396,0.8939051918735892
7,2,377,338,0.896551724137931
7,5,336,246,0.7321428571428571
7,4,391,326,0.8337595907928389
7,6,231,144,0.6233766233766234
7,8,85,44,0.5176470588235295
7,7,116,53,0.45689655172413796
7,9,41,11,0.2682926829268293
7,10,24,5,0.20833333333333334
7,11,13,4,0.3076923076923077
7,12,5,2,0.4
7,13,3,1,0.3333333333333333
7,15,1,0,0.0
7,16,1,0,0.0
7,25,1,0,0.0
7,14,1,0,0.0
8,3,443,396,0.8939051918735892
8,2,377,338,0.896551724137931
8,5,336,247,0.7351190476190477
8,4,391,330,0.8439897698209718
8,6,231,146,0.6320346320346321
8,8,85,46,0.5411764705882353
8,7,116,51,0.4396551724137931
8,9,41,12,0.2926829268292683
8,10,24,5,0.20833333333333334
8,11,13,4,0.3076923076923077
8,12,5,2,0.4
8,13,3,1,0.3333333333333333
8,15,1,0,0.0
8,16,1,0,0.0
8,25,1,0,0.0
8,14,1,0,0.0
9,3,443,397,0.8961625282167043
9,2,377,338,0.896551724137931
9,5,336,246,0.7321428571428571
9,4,391,325,0.8312020460358056
9,6,231,140,0.6060606060606061
9,8,85,46,0.5411764705882353
9,7,116,49,0.4224137931034483
9,9,41,11,0.2682926829268293
9,10,24,5,0.20833333333333334
9,11,13,5,0.38461538461538464
9,12,5,2,0.4
9,13,3,1,0.3333333333333333
9,15,1,0,0.0
9,16,1,0,0.0
9,25,1,0,0.0
9,14,1,0,0.0
10,3,443,396,0.8939051918735892
10,2,377,338,0.896551724137931
10,5,336,248,0.7380952380952381
10,4,391,330,0.8439897698209718
10,6,231,142,0.6147186147186147
10,8,85,49,0.5764705882352941
10,7,116,52,0.4482758620689655
10,9,41,10,0.24390243902439024
10,10,24,6,0.25
10,11,13,4,0.3076923076923077
10,12,5,2,0.4
10,13,3,1,0.3333333333333333
10,15,1,0,0.0
10,16,1,0,0.0
10,25,1,0,0.0
10,14,1,0,0.0
