iter,utterance_length,nb_utterances,produced,production_score
1,4,2605,1864,0.7155470249520154
1,2,4969,4287,0.8627490440732541
1,3,3809,3097,0.813074297715936
1,5,1350,847,0.6274074074074074
1,6,682,348,0.5102639296187683
1,9,52,11,0.21153846153846154
1,7,301,139,0.46179401993355484
1,10,14,4,0.2857142857142857
1,8,136,49,0.3602941176470588
1,13,3,0,0.0
1,12,5,1,0.2
1,15,3,0,0.0
1,11,12,4,0.3333333333333333
2,4,2605,1862,0.7147792706333973
2,2,4969,4287,0.8627490440732541
2,3,3809,3098,0.8133368338146495
2,5,1350,852,0.6311111111111111
2,6,682,355,0.5205278592375366
2,9,52,12,0.23076923076923078
2,7,301,140,0.46511627906976744
2,10,14,4,0.2857142857142857
2,8,136,47,0.34558823529411764
2,13,3,0,0.0
2,12,5,1,0.2
2,15,3,0,0.0
2,11,12,4,0.3333333333333333
3,4,2605,1867,0.7166986564299425
3,2,4969,4287,0.8627490440732541
3,3,3809,3099,0.8135993699133631
3,5,1350,847,0.6274074074074074
3,6,682,353,0.5175953079178885
3,9,52,10,0.19230769230769232
3,7,301,140,0.46511627906976744
3,10,14,4,0.2857142857142857
3,8,136,48,0.35294117647058826
3,13,3,0,0.0
3,12,5,1,0.2
3,15,3,0,0.0
3,11,12,4,0.3333333333333333
4,4,2605,1862,0.7147792706333973
4,2,4969,4287,0.8627490440732541
4,3,3809,3099,0.8135993699133631
4,5,1350,845,0.6259259259259259
4,6,682,356,0.5219941348973607
4,9,52,11,0.21153846153846154
4,7,301,140,0.46511627906976744
4,10,14,4,0.2857142857142857
4,8,136,49,0.3602941176470588
4,13,3,0,0.0
4,12,5,1,0.2
4,15,3,0,0.0
4,11,12,4,0.3333333333333333
5,4,2605,1863,0.7151631477927063
5,2,4969,4287,0.8627490440732541
5,3,3809,3099,0.8135993699133631
5,5,1350,842,0.6237037037037036
5,6,682,350,0.5131964809384164
5,9,52,11,0.21153846153846154
5,7,301,138,0.4584717607973422
5,10,14,4,0.2857142857142857
5,8,136,48,0.35294117647058826
5,13,3,0,0.0
5,12,5,1,0.2
5,15,3,0,0.0
5,11,12,4,0.3333333333333333
6,4,2605,1869,0.7174664107485604
6,2,4969,4287,0.8627490440732541
6,3,3809,3098,0.8133368338146495
6,5,1350,856,0.6340740740740741
6,6,682,347,0.5087976539589443
6,9,52,11,0.21153846153846154
6,7,301,140,0.46511627906976744
6,10,14,4,0.2857142857142857
6,8,136,48,0.35294117647058826
6,13,3,0,0.0
6,12,5,1,0.2
6,15,3,0,0.0
6,11,12,4,0.3333333333333333
7,4,2605,1867,0.7166986564299425
7,2,4969,4287,0.8627490440732541
7,3,3809,3097,0.813074297715936
7,5,1350,861,0.6377777777777778
7,6,682,354,0.5190615835777126
7,9,52,10,0.19230769230769232
7,7,301,146,0.4850498338870432
7,10,14,4,0.2857142857142857
7,8,136,48,0.35294117647058826
7,13,3,0,0.0
7,12,5,1,0.2
7,15,3,0,0.0
7,11,12,4,0.3333333333333333
8,4,2605,1863,0.7151631477927063
8,2,4969,4287,0.8627490440732541
8,3,3809,3098,0.8133368338146495
8,5,1350,848,0.6281481481481481
8,6,682,349,0.5117302052785924
8,9,52,11,0.21153846153846154
8,7,301,138,0.4584717607973422
8,10,14,4,0.2857142857142857
8,8,136,49,0.3602941176470588
8,13,3,0,0.0
8,12,5,1,0.2
8,15,3,0,0.0
8,11,12,4,0.3333333333333333
9,4,2605,1866,0.7163147792706334
9,2,4969,4287,0.8627490440732541
9,3,3809,3098,0.8133368338146495
9,5,1350,846,0.6266666666666667
9,6,682,348,0.5102639296187683
9,9,52,10,0.19230769230769232
9,7,301,142,0.4717607973421927
9,10,14,4,0.2857142857142857
9,8,136,51,0.375
9,13,3,0,0.0
9,12,5,1,0.2
9,15,3,0,0.0
9,11,12,4,0.3333333333333333
10,4,2605,1859,0.7136276391554702
10,2,4969,4287,0.8627490440732541
10,3,3809,3098,0.8133368338146495
10,5,1350,845,0.6259259259259259
10,6,682,350,0.5131964809384164
10,9,52,13,0.25
10,7,301,141,0.4684385382059801
10,10,14,4,0.2857142857142857
10,8,136,50,0.36764705882352944
10,13,3,0,0.0
10,12,5,1,0.2
10,15,3,0,0.0
10,11,12,4,0.3333333333333333
