iter,utterance_length,nb_utterances,produced,production_score
1,3,5481,4459,0.8135376756066411
1,2,6878,6218,0.9040418726373946
1,5,1504,979,0.6509308510638298
1,4,3278,2426,0.7400854179377669
1,6,695,389,0.5597122302158274
1,7,298,136,0.4563758389261745
1,8,119,42,0.35294117647058826
1,11,16,4,0.25
1,12,4,0,0.0
1,9,37,15,0.40540540540540543
1,10,25,8,0.32
1,14,2,0,0.0
1,13,4,0,0.0
2,3,5481,4459,0.8135376756066411
2,2,6878,6218,0.9040418726373946
2,5,1504,973,0.6469414893617021
2,4,3278,2430,0.7413056741915802
2,6,695,391,0.5625899280575539
2,7,298,137,0.4597315436241611
2,8,119,43,0.36134453781512604
2,11,16,4,0.25
2,12,4,0,0.0
2,9,37,15,0.40540540540540543
2,10,25,8,0.32
2,14,2,0,0.0
2,13,4,1,0.25
3,3,5481,4459,0.8135376756066411
3,2,6878,6218,0.9040418726373946
3,5,1504,975,0.6482712765957447
3,4,3278,2427,0.7403904820012203
3,6,695,393,0.5654676258992806
3,7,298,137,0.4597315436241611
3,8,119,42,0.35294117647058826
3,11,16,4,0.25
3,12,4,0,0.0
3,9,37,15,0.40540540540540543
3,10,25,8,0.32
3,14,2,0,0.0
3,13,4,2,0.5
4,3,5481,4460,0.8137201240649516
4,2,6878,6218,0.9040418726373946
4,5,1504,975,0.6482712765957447
4,4,3278,2434,0.7425259304453935
4,6,695,393,0.5654676258992806
4,7,298,140,0.4697986577181208
4,8,119,43,0.36134453781512604
4,11,16,4,0.25
4,12,4,0,0.0
4,9,37,14,0.3783783783783784
4,10,25,8,0.32
4,14,2,0,0.0
4,13,4,0,0.0
5,3,5481,4460,0.8137201240649516
5,2,6878,6218,0.9040418726373946
5,5,1504,979,0.6509308510638298
5,4,3278,2437,0.7434411226357535
5,6,695,387,0.5568345323741007
5,7,298,137,0.4597315436241611
5,8,119,42,0.35294117647058826
5,11,16,4,0.25
5,12,4,0,0.0
5,9,37,14,0.3783783783783784
5,10,25,8,0.32
5,14,2,0,0.0
5,13,4,0,0.0
6,3,5481,4460,0.8137201240649516
6,2,6878,6218,0.9040418726373946
6,5,1504,969,0.644281914893617
6,4,3278,2425,0.7397803538743136
6,6,695,382,0.5496402877697841
6,7,298,133,0.4463087248322148
6,8,119,41,0.3445378151260504
6,11,16,4,0.25
6,12,4,0,0.0
6,9,37,15,0.40540540540540543
6,10,25,8,0.32
6,14,2,0,0.0
6,13,4,1,0.25
7,3,5481,4460,0.8137201240649516
7,2,6878,6218,0.9040418726373946
7,5,1504,968,0.6436170212765957
7,4,3278,2433,0.7422208663819402
7,6,695,391,0.5625899280575539
7,7,298,140,0.4697986577181208
7,8,119,41,0.3445378151260504
7,11,16,4,0.25
7,12,4,0,0.0
7,9,37,14,0.3783783783783784
7,10,25,8,0.32
7,14,2,0,0.0
7,13,4,1,0.25
8,3,5481,4459,0.8135376756066411
8,2,6878,6218,0.9040418726373946
8,5,1504,973,0.6469414893617021
8,4,3278,2438,0.7437461866992068
8,6,695,386,0.5553956834532374
8,7,298,135,0.45302013422818793
8,8,119,42,0.35294117647058826
8,11,16,4,0.25
8,12,4,0,0.0
8,9,37,15,0.40540540540540543
8,10,25,8,0.32
8,14,2,0,0.0
8,13,4,0,0.0
9,3,5481,4459,0.8135376756066411
9,2,6878,6218,0.9040418726373946
9,5,1504,982,0.6529255319148937
9,4,3278,2442,0.7449664429530202
9,6,695,389,0.5597122302158274
9,7,298,133,0.4463087248322148
9,8,119,44,0.3697478991596639
9,11,16,4,0.25
9,12,4,0,0.0
9,9,37,15,0.40540540540540543
9,10,25,8,0.32
9,14,2,0,0.0
9,13,4,1,0.25
10,3,5481,4459,0.8135376756066411
10,2,6878,6218,0.9040418726373946
10,5,1504,982,0.6529255319148937
10,4,3278,2439,0.7440512507626602
10,6,695,394,0.5669064748201439
10,7,298,136,0.4563758389261745
10,8,119,42,0.35294117647058826
10,11,16,4,0.25
10,12,4,0,0.0
10,9,37,15,0.40540540540540543
10,10,25,8,0.32
10,14,2,0,0.0
10,13,4,1,0.25
