iter,utterance_length,nb_utterances,produced,production_score
1,6,237,143,0.6033755274261603
1,3,509,422,0.8290766208251473
1,2,484,411,0.8491735537190083
1,4,458,332,0.7248908296943232
1,5,379,242,0.6385224274406333
1,7,160,69,0.43125
1,9,58,18,0.3103448275862069
1,8,100,39,0.39
1,10,47,12,0.2553191489361702
1,13,11,2,0.18181818181818182
1,12,19,5,0.2631578947368421
1,24,1,0,0.0
1,14,6,0,0.0
1,15,8,0,0.0
1,16,5,1,0.2
1,11,8,1,0.125
1,23,1,1,1.0
1,18,1,0,0.0
1,22,1,0,0.0
1,17,2,0,0.0
1,27,1,0,0.0
2,6,237,143,0.6033755274261603
2,3,509,423,0.831041257367387
2,2,484,411,0.8491735537190083
2,4,458,326,0.7117903930131004
2,5,379,244,0.6437994722955145
2,7,160,69,0.43125
2,9,58,21,0.3620689655172414
2,8,100,38,0.38
2,10,47,12,0.2553191489361702
2,13,11,2,0.18181818181818182
2,12,19,4,0.21052631578947367
2,24,1,0,0.0
2,14,6,0,0.0
2,15,8,0,0.0
2,16,5,1,0.2
2,11,8,1,0.125
2,23,1,1,1.0
2,18,1,0,0.0
2,22,1,0,0.0
2,17,2,0,0.0
2,27,1,0,0.0
3,6,237,146,0.6160337552742616
3,3,509,422,0.8290766208251473
3,2,484,411,0.8491735537190083
3,4,458,328,0.7161572052401747
3,5,379,246,0.6490765171503958
3,7,160,70,0.4375
3,9,58,17,0.29310344827586204
3,8,100,40,0.4
3,10,47,11,0.23404255319148937
3,13,11,2,0.18181818181818182
3,12,19,4,0.21052631578947367
3,24,1,0,0.0
3,14,6,0,0.0
3,15,8,0,0.0
3,16,5,1,0.2
3,11,8,1,0.125
3,23,1,1,1.0
3,18,1,0,0.0
3,22,1,0,0.0
3,17,2,0,0.0
3,27,1,0,0.0
4,6,237,144,0.6075949367088608
4,3,509,421,0.8271119842829077
4,2,484,411,0.8491735537190083
4,4,458,332,0.7248908296943232
4,5,379,245,0.6464379947229552
4,7,160,69,0.43125
4,9,58,19,0.3275862068965517
4,8,100,37,0.37
4,10,47,11,0.23404255319148937
4,13,11,2,0.18181818181818182
4,12,19,4,0.21052631578947367
4,24,1,0,0.0
4,14,6,0,0.0
4,15,8,0,0.0
4,16,5,1,0.2
4,11,8,1,0.125
4,23,1,1,1.0
4,18,1,0,0.0
4,22,1,0,0.0
4,17,2,0,0.0
4,27,1,0,0.0
5,6,237,142,0.5991561181434599
5,3,509,421,0.8271119842829077
5,2,484,411,0.8491735537190083
5,4,458,327,0.7139737991266376
5,5,379,240,0.633245382585752
5,7,160,67,0.41875
5,9,58,20,0.3448275862068966
5,8,100,41,0.41
5,10,47,11,0.23404255319148937
5,13,11,2,0.18181818181818182
5,12,19,4,0.21052631578947367
5,24,1,0,0.0
5,14,6,0,0.0
5,15,8,0,0.0
5,16,5,1,0.2
5,11,8,1,0.125
5,23,1,1,1.0
5,18,1,0,0.0
5,22,1,0,0.0
5,17,2,0,0.0
5,27,1,0,0.0
6,6,237,146,0.6160337552742616
6,3,509,421,0.8271119842829077
6,2,484,411,0.8491735537190083
6,4,458,333,0.7270742358078602
6,5,379,243,0.6411609498680739
6,7,160,72,0.45
6,9,58,17,0.29310344827586204
6,8,100,38,0.38
6,10,47,11,0.23404255319148937
6,13,11,2,0.18181818181818182
6,12,19,4,0.21052631578947367
6,24,1,0,0.0
6,14,6,0,0.0
6,15,8,0,0.0
6,16,5,1,0.2
6,11,8,1,0.125
6,23,1,1,1.0
6,18,1,0,0.0
6,22,1,0,0.0
6,17,2,0,0.0
6,27,1,0,0.0
7,6,237,145,0.6118143459915611
7,3,509,421,0.8271119842829077
7,2,484,411,0.8491735537190083
7,4,458,329,0.7183406113537117
7,5,379,243,0.6411609498680739
7,7,160,69,0.43125
7,9,58,18,0.3103448275862069
7,8,100,39,0.39
7,10,47,12,0.2553191489361702
7,13,11,2,0.18181818181818182
7,12,19,4,0.21052631578947367
7,24,1,0,0.0
7,14,6,0,0.0
7,15,8,0,0.0
7,16,5,1,0.2
7,11,8,1,0.125
7,23,1,1,1.0
7,18,1,0,0.0
7,22,1,0,0.0
7,17,2,0,0.0
7,27,1,0,0.0
8,6,237,143,0.6033755274261603
