iter,utterance_length,nb_utterances,produced,production_score
1,4,313,256,0.8178913738019169
1,2,405,367,0.9061728395061729
1,3,366,320,0.8743169398907104
1,6,128,94,0.734375
1,5,198,147,0.7424242424242424
1,7,91,49,0.5384615384615384
1,8,50,19,0.38
1,9,37,19,0.5135135135135135
1,12,8,3,0.375
1,10,18,7,0.3888888888888889
1,11,11,4,0.36363636363636365
1,13,2,0,0.0
1,14,2,0,0.0
1,16,1,0,0.0
1,15,1,1,1.0
1,18,1,0,0.0
2,4,313,257,0.8210862619808307
2,2,405,367,0.9061728395061729
2,3,366,319,0.8715846994535519
2,6,128,92,0.71875
2,5,198,147,0.7424242424242424
2,7,91,50,0.5494505494505495
2,8,50,19,0.38
2,9,37,19,0.5135135135135135
2,12,8,3,0.375
2,10,18,6,0.3333333333333333
2,11,11,4,0.36363636363636365
2,13,2,0,0.0
2,14,2,0,0.0
2,16,1,0,0.0
2,15,1,1,1.0
2,18,1,0,0.0
3,4,313,259,0.8274760383386581
3,2,405,367,0.9061728395061729
3,3,366,320,0.8743169398907104
3,6,128,92,0.71875
3,5,198,147,0.7424242424242424
3,7,91,50,0.5494505494505495
3,8,50,18,0.36
3,9,37,18,0.4864864864864865
3,12,8,3,0.375
3,10,18,7,0.3888888888888889
3,11,11,4,0.36363636363636365
3,13,2,0,0.0
3,14,2,0,0.0
3,16,1,0,0.0
3,15,1,1,1.0
3,18,1,0,0.0
4,4,313,258,0.8242811501597445
4,2,405,367,0.9061728395061729
4,3,366,321,0.8770491803278688
4,6,128,93,0.7265625
4,5,198,150,0.7575757575757576
4,7,91,49,0.5384615384615384
4,8,50,20,0.4
4,9,37,20,0.5405405405405406
4,12,8,3,0.375
4,10,18,6,0.3333333333333333
4,11,11,4,0.36363636363636365
4,13,2,0,0.0
4,14,2,0,0.0
4,16,1,0,0.0
4,15,1,1,1.0
4,18,1,0,0.0
5,4,313,258,0.8242811501597445
5,2,405,367,0.9061728395061729
5,3,366,320,0.8743169398907104
5,6,128,93,0.7265625
5,5,198,150,0.7575757575757576
5,7,91,50,0.5494505494505495
5,8,50,21,0.42
5,9,37,20,0.5405405405405406
5,12,8,3,0.375
5,10,18,7,0.3888888888888889
5,11,11,4,0.36363636363636365
5,13,2,0,0.0
5,14,2,0,0.0
5,16,1,0,0.0
5,15,1,1,1.0
5,18,1,0,0.0
6,4,313,259,0.8274760383386581
6,2,405,367,0.9061728395061729
6,3,366,318,0.8688524590163934
6,6,128,92,0.71875
6,5,198,149,0.7525252525252525
6,7,91,50,0.5494505494505495
6,8,50,18,0.36
6,9,37,20,0.5405405405405406
6,12,8,3,0.375
6,10,18,7,0.3888888888888889
6,11,11,4,0.36363636363636365
6,13,2,0,0.0
6,14,2,0,0.0
6,16,1,0,0.0
6,15,1,1,1.0
6,18,1,0,0.0
7,4,313,257,0.8210862619808307
7,2,405,367,0.9061728395061729
7,3,366,320,0.8743169398907104
7,6,128,93,0.7265625
7,5,198,150,0.7575757575757576
7,7,91,50,0.5494505494505495
7,8,50,20,0.4
7,9,37,20,0.5405405405405406
7,12,8,3,0.375
7,10,18,7,0.3888888888888889
7,11,11,4,0.36363636363636365
7,13,2,0,0.0
7,14,2,0,0.0
7,16,1,0,0.0
7,15,1,1,1.0
7,18,1,0,0.0
8,4,313,256,0.8178913738019169
8,2,405,367,0.9061728395061729
8,3,366,321,0.8770491803278688
8,6,128,91,0.7109375
8,5,198,149,0.7525252525252525
8,7,91,48,0.5274725274725275
8,8,50,18,0.36
8,9,37,19,0.5135135135135135
8,12,8,3,0.375
8,10,18,6,0.3333333333333333
8,11,11,4,0.36363636363636365
8,13,2,0,0.0
8,14,2,0,0.0
8,16,1,0,0.0
8,15,1,1,1.0
8,18,1,0,0.0
9,4,313,257,0.8210862619808307
9,2,405,367,0.9061728395061729
9,3,366,319,0.8715846994535519
9,6,128,92,0.71875
9,5,198,148,0.7474747474747475
9,7,91,52,0.5714285714285714
9,8,50,18,0.36
9,9,37,18,0.4864864864864865
9,12,8,3,0.375
9,10,18,6,0.3333333333333333
9,11,11,4,0.36363636363636365
9,13,2,0,0.0
9,14,2,0,0.0
9,16,1,0,0.0
9,15,1,1,1.0
9,18,1,0,0.0
10,4,313,256,0.8178913738019169
10,2,405,367,0.9061728395061729
10,3,366,319,0.8715846994535519
10,6,128,91,0.7109375
10,5,198,149,0.7525252525252525
10,7,91,51,0.5604395604395604
10,8,50,18,0.36
10,9,37,21,0.5675675675675675
10,12,8,3,0.375
10,10,18,6,0.3333333333333333
10,11,11,4,0.36363636363636365
10,13,2,0,0.0
10,14,2,0,0.0
10,16,1,0,0.0
10,15,1,1,1.0
10,18,1,0,0.0
