iter,utterance_length,nb_utterances,produced,production_score
1,2,5252,4402,0.8381568926123382
1,3,3312,2518,0.7602657004830918
1,4,1909,1275,0.6678889470927187
1,9,41,9,0.21951219512195122
1,5,897,492,0.5484949832775919
1,7,194,60,0.30927835051546393
1,6,416,190,0.4567307692307692
1,8,80,12,0.15
1,12,4,0,0.0
1,10,14,5,0.35714285714285715
1,15,2,0,0.0
1,13,2,0,0.0
1,11,3,0,0.0
1,14,2,0,0.0
2,2,5252,4401,0.837966488956588
2,3,3312,2518,0.7602657004830918
2,4,1909,1279,0.6699842849659507
2,9,41,8,0.1951219512195122
2,5,897,489,0.5451505016722408
2,7,194,60,0.30927835051546393
2,6,416,188,0.4519230769230769
2,8,80,12,0.15
2,12,4,0,0.0
2,10,14,5,0.35714285714285715
2,15,2,0,0.0
2,13,2,0,0.0
2,11,3,0,0.0
2,14,2,0,0.0
3,2,5252,4402,0.8381568926123382
3,3,3312,2518,0.7602657004830918
3,4,1909,1275,0.6678889470927187
3,9,41,8,0.1951219512195122
3,5,897,490,0.5462653288740246
3,7,194,64,0.32989690721649484
3,6,416,191,0.45913461538461536
3,8,80,14,0.175
3,12,4,0,0.0
3,10,14,5,0.35714285714285715
3,15,2,0,0.0
3,13,2,0,0.0
3,11,3,0,0.0
3,14,2,0,0.0
4,2,5252,4402,0.8381568926123382
4,3,3312,2519,0.7605676328502415
4,4,1909,1271,0.6657936092194866
4,9,41,8,0.1951219512195122
4,5,897,492,0.5484949832775919
4,7,194,63,0.3247422680412371
4,6,416,190,0.4567307692307692
4,8,80,14,0.175
4,12,4,0,0.0
4,10,14,5,0.35714285714285715
4,15,2,0,0.0
4,13,2,0,0.0
4,11,3,0,0.0
4,14,2,0,0.0
5,2,5252,4402,0.8381568926123382
5,3,3312,2517,0.759963768115942
5,4,1909,1279,0.6699842849659507
5,9,41,8,0.1951219512195122
5,5,897,485,0.5406911928651059
5,7,194,63,0.3247422680412371
5,6,416,192,0.46153846153846156
5,8,80,12,0.15
5,12,4,0,0.0
5,10,14,5,0.35714285714285715
5,15,2,0,0.0
5,13,2,0,0.0
5,11,3,0,0.0
5,14,2,0,0.0
6,2,5252,4401,0.837966488956588
6,3,3312,2518,0.7602657004830918
6,4,1909,1277,0.6689366160293347
6,9,41,9,0.21951219512195122
6,5,897,485,0.5406911928651059
6,7,194,63,0.3247422680412371
6,6,416,185,0.44471153846153844
6,8,80,12,0.15
6,12,4,0,0.0
6,10,14,5,0.35714285714285715
6,15,2,0,0.0
6,13,2,0,0.0
6,11,3,0,0.0
6,14,2,0,0.0
7,2,5252,4401,0.837966488956588
7,3,3312,2519,0.7605676328502415
7,4,1909,1277,0.6689366160293347
7,9,41,9,0.21951219512195122
7,5,897,492,0.5484949832775919
7,7,194,63,0.3247422680412371
7,6,416,189,0.4543269230769231
7,8,80,13,0.1625
7,12,4,0,0.0
7,10,14,5,0.35714285714285715
7,15,2,0,0.0
7,13,2,0,0.0
7,11,3,0,0.0
7,14,2,0,0.0
8,2,5252,4401,0.837966488956588
8,3,3312,2518,0.7602657004830918
8,4,1909,1281,0.6710319539025668
8,9,41,8,0.1951219512195122
8,5,897,490,0.5462653288740246
8,7,194,63,0.3247422680412371
8,6,416,186,0.44711538461538464
8,8,80,13,0.1625
8,12,4,0,0.0
8,10,14,5,0.35714285714285715
8,15,2,0,0.0
8,13,2,0,0.0
8,11,3,0,0.0
8,14,2,0,0.0
9,2,5252,4401,0.837966488956588
9,3,3312,2520,0.7608695652173914
9,4,1909,1274,0.6673651126244107
9,9,41,9,0.21951219512195122
9,5,897,489,0.5451505016722408
9,7,194,63,0.3247422680412371
9,6,416,191,0.45913461538461536
9,8,80,12,0.15
9,12,4,0,0.0
9,10,14,5,0.35714285714285715
9,15,2,0,0.0
9,13,2,0,0.0
9,11,3,0,0.0
9,14,2,0,0.0
10,2,5252,4401,0.837966488956588
10,3,3312,2518,0.7602657004830918
10,4,1909,1281,0.6710319539025668
10,9,41,9,0.21951219512195122
10,5,897,488,0.5440356744704571
10,7,194,62,0.31958762886597936
10,6,416,191,0.45913461538461536
10,8,80,14,0.175
10,12,4,0,0.0
10,10,14,5,0.35714285714285715
10,15,2,0,0.0
10,13,2,0,0.0
10,11,3,0,0.0
10,14,2,0,0.0
