iter,utterance_length,nb_utterances,produced,production_score
1,3,948,808,0.8523206751054853
1,2,893,808,0.9048152295632699
1,4,826,647,0.7832929782082324
1,8,212,109,0.5141509433962265
1,6,505,317,0.6277227722772277
1,5,688,512,0.7441860465116279
1,7,303,162,0.5346534653465347
1,9,167,77,0.46107784431137727
1,13,32,4,0.125
1,10,98,32,0.32653061224489793
1,12,45,12,0.26666666666666666
1,11,69,18,0.2608695652173913
1,21,2,0,0.0
1,14,21,1,0.047619047619047616
1,15,22,3,0.13636363636363635
1,39,1,0,0.0
1,16,16,2,0.125
1,22,1,0,0.0
1,17,6,0,0.0
1,32,1,0,0.0
1,30,1,0,0.0
1,19,3,0,0.0
1,23,2,1,0.5
1,18,3,0,0.0
1,20,3,0,0.0
2,3,948,808,0.8523206751054853
2,2,893,808,0.9048152295632699
2,4,826,640,0.774818401937046
2,8,212,107,0.5047169811320755
2,6,505,318,0.6297029702970297
2,5,688,508,0.7383720930232558
2,7,303,165,0.5445544554455446
2,9,167,77,0.46107784431137727
2,13,32,4,0.125
2,10,98,32,0.32653061224489793
2,12,45,12,0.26666666666666666
2,11,69,17,0.2463768115942029
2,21,2,0,0.0
2,14,21,1,0.047619047619047616
2,15,22,2,0.09090909090909091
2,39,1,0,0.0
2,16,16,2,0.125
2,22,1,0,0.0
2,17,6,0,0.0
2,32,1,0,0.0
2,30,1,0,0.0
2,19,3,0,0.0
2,23,2,1,0.5
2,18,3,0,0.0
2,20,3,0,0.0
3,3,948,808,0.8523206751054853
3,2,893,808,0.9048152295632699
3,4,826,643,0.7784503631961259
3,8,212,107,0.5047169811320755
3,6,505,319,0.6316831683168317
3,5,688,506,0.7354651162790697
3,7,303,164,0.5412541254125413
3,9,167,75,0.4491017964071856
3,13,32,4,0.125
3,10,98,31,0.3163265306122449
3,12,45,13,0.28888888888888886
3,11,69,18,0.2608695652173913
3,21,2,0,0.0
3,14,21,1,0.047619047619047616
3,15,22,2,0.09090909090909091
3,39,1,0,0.0
3,16,16,2,0.125
3,22,1,0,0.0
3,17,6,0,0.0
3,32,1,0,0.0
3,30,1,0,0.0
3,19,3,0,0.0
3,23,2,1,0.5
3,18,3,0,0.0
3,20,3,0,0.0
4,3,948,808,0.8523206751054853
4,2,893,808,0.9048152295632699
4,4,826,640,0.774818401937046
4,8,212,107,0.5047169811320755
4,6,505,319,0.6316831683168317
4,5,688,505,0.7340116279069767
4,7,303,165,0.5445544554455446
4,9,167,75,0.4491017964071856
4,13,32,4,0.125
4,10,98,34,0.3469387755102041
4,12,45,12,0.26666666666666666
4,11,69,17,0.2463768115942029
4,21,2,0,0.0
4,14,21,1,0.047619047619047616
4,15,22,2,0.09090909090909091
4,39,1,0,0.0
4,16,16,3,0.1875
4,22,1,0,0.0
4,17,6,0,0.0
4,32,1,0,0.0
4,30,1,0,0.0
4,19,3,0,0.0
4,23,2,0,0.0
4,18,3,0,0.0
4,20,3,0,0.0
5,3,948,808,0.8523206751054853
5,2,893,808,0.9048152295632699
5,4,826,642,0.7772397094430993
5,8,212,106,0.5
5,6,505,321,0.6356435643564357
5,5,688,509,0.7398255813953488
