iter,utterance_length,nb_utterances,produced,production_score
1,2,2525,2261,0.8954455445544555
1,4,1573,1125,0.7151938970120788
1,3,2332,1844,0.79073756432247
1,8,145,47,0.32413793103448274
1,10,35,10,0.2857142857142857
1,11,25,6,0.24
1,5,908,542,0.5969162995594713
1,6,523,265,0.5066921606118547
1,9,67,23,0.34328358208955223
1,14,5,2,0.4
1,7,246,97,0.3943089430894309
1,18,4,1,0.25
1,13,14,3,0.21428571428571427
1,12,17,2,0.11764705882352941
1,20,2,0,0.0
1,24,1,0,0.0
1,25,1,0,0.0
1,17,2,0,0.0
1,15,2,0,0.0
1,16,1,1,1.0
2,2,2525,2261,0.8954455445544555
2,4,1573,1129,0.7177368086458995
2,3,2332,1844,0.79073756432247
2,8,145,47,0.32413793103448274
2,10,35,11,0.3142857142857143
2,11,25,6,0.24
2,5,908,532,0.5859030837004405
2,6,523,267,0.5105162523900574
2,9,67,23,0.34328358208955223
2,14,5,2,0.4
2,7,246,95,0.3861788617886179
2,18,4,1,0.25
2,13,14,3,0.21428571428571427
2,12,17,1,0.058823529411764705
2,20,2,0,0.0
2,24,1,0,0.0
2,25,1,0,0.0
2,17,2,0,0.0
2,15,2,0,0.0
2,16,1,1,1.0
3,2,2525,2261,0.8954455445544555
3,4,1573,1130,0.7183725365543547
3,3,2332,1847,0.7920240137221269
3,8,145,49,0.33793103448275863
3,10,35,11,0.3142857142857143
3,11,25,6,0.24
3,5,908,542,0.5969162995594713
3,6,523,266,0.5086042065009561
3,9,67,24,0.3582089552238806
3,14,5,2,0.4
3,7,246,93,0.3780487804878049
3,18,4,1,0.25
3,13,14,3,0.21428571428571427
3,12,17,2,0.11764705882352941
3,20,2,0,0.0
3,24,1,0,0.0
3,25,1,0,0.0
3,17,2,0,0.0
3,15,2,0,0.0
3,16,1,1,1.0
4,2,2525,2261,0.8954455445544555
4,4,1573,1129,0.7177368086458995
4,3,2332,1845,0.7911663807890223
4,8,145,46,0.31724137931034485
4,10,35,11,0.3142857142857143
4,11,25,6,0.24
4,5,908,535,0.5892070484581498
4,6,523,268,0.5124282982791587
4,9,67,25,0.373134328358209
4,14,5,2,0.4
4,7,246,97,0.3943089430894309
4,18,4,1,0.25
4,13,14,3,0.21428571428571427
4,12,17,1,0.058823529411764705
4,20,2,0,0.0
4,24,1,0,0.0
4,25,1,0,0.0
4,17,2,0,0.0
4,15,2,0,0.0
4,16,1,1,1.0
5,2,2525,2260,0.8950495049504951
5,4,1573,1132,0.7196439923712651
5,3,2332,1842,0.7898799313893653
5,8,145,48,0.3310344827586207
5,10,35,10,0.2857142857142857
5,11,25,6,0.24
5,5,908,537,0.5914096916299559
5,6,523,267,0.5105162523900574
5,9,67,23,0.34328358208955223
5,14,5,2,0.4
5,7,246,97,0.3943089430894309
5,18,4,1,0.25
5,13,14,3,0.21428571428571427
5,12,17,2,0.11764705882352941
5,20,2,0,0.0
5,24,1,0,0.0
5,25,1,0,0.0
5,17,2,0,0.0
5,15,2,0,0.0
5,16,1,1,1.0
6,2,2525,2261,0.8954455445544555
6,4,1573,1128,0.7171010807374444
6,3,2332,1845,0.7911663807890223
6,8,145,50,0.3448275862068966
6,10,35,12,0.34285714285714286
6,11,25,6,0.24
6,5,908,541,0.5958149779735683
6,6,523,266,0.5086042065009561
6,9,67,24,0.3582089552238806
6,14,5,2,0.4
6,7,246,96,0.3902439024390244
6,18,4,1,0.25
6,13,14,3,0.21428571428571427
6,12,17,1,0.058823529411764705
6,20,2,0,0.0
6,24,1,0,0.0
6,25,1,0,0.0
6,17,2,0,0.0
6,15,2,0,0.0
6,16,1,1,1.0
7,2,2525,2260,0.8950495049504951
7,4,1573,1126,0.715829624920534
7,3,2332,1847,0.7920240137221269
7,8,145,48,0.3310344827586207
7,10,35,12,0.34285714285714286
7,11,25,5,0.2
7,5,908,539,0.5936123348017621
7,6,523,263,0.502868068833652
7,9,67,24,0.3582089552238806
7,14,5,2,0.4
7,7,246,93,0.3780487804878049
7,18,4,1,0.25
7,13,14,3,0.21428571428571427
7,12,17,2,0.11764705882352941
7,20,2,0,0.0
7,24,1,0,0.0
7,25,1,0,0.0
