iter,utterance_length,nb_utterances,produced,production_score
1,3,2924,2381,0.8142954856361149
1,2,3271,2943,0.8997248547844696
1,4,1992,1426,0.7158634538152611
1,5,1044,694,0.6647509578544061
1,7,206,94,0.4563106796116505
1,6,484,302,0.6239669421487604
1,8,79,26,0.3291139240506329
1,9,29,7,0.2413793103448276
1,11,9,2,0.2222222222222222
1,10,21,5,0.23809523809523808
1,12,3,0,0.0
1,16,1,0,0.0
1,13,4,0,0.0
1,14,1,0,0.0
2,3,2924,2383,0.8149794801641587
2,2,3271,2944,0.9000305716906145
2,4,1992,1434,0.7198795180722891
2,5,1044,695,0.6657088122605364
2,7,206,93,0.45145631067961167
2,6,484,300,0.6198347107438017
2,8,79,28,0.35443037974683544
2,9,29,7,0.2413793103448276
2,11,9,2,0.2222222222222222
2,10,21,5,0.23809523809523808
2,12,3,0,0.0
2,16,1,0,0.0
2,13,4,0,0.0
2,14,1,0,0.0
3,3,2924,2382,0.8146374829001368
3,2,3271,2943,0.8997248547844696
3,4,1992,1427,0.7163654618473896
3,5,1044,702,0.6724137931034483
3,7,206,92,0.44660194174757284
3,6,484,298,0.6157024793388429
3,8,79,27,0.34177215189873417
3,9,29,7,0.2413793103448276
3,11,9,1,0.1111111111111111
3,10,21,5,0.23809523809523808
3,12,3,0,0.0
3,16,1,0,0.0
3,13,4,0,0.0
3,14,1,0,0.0
4,3,2924,2381,0.8142954856361149
4,2,3271,2944,0.9000305716906145
4,4,1992,1423,0.7143574297188755
4,5,1044,700,0.6704980842911877
4,7,206,95,0.46116504854368934
4,6,484,300,0.6198347107438017
4,8,79,27,0.34177215189873417
4,9,29,7,0.2413793103448276
4,11,9,2,0.2222222222222222
4,10,21,5,0.23809523809523808
4,12,3,0,0.0
4,16,1,0,0.0
4,13,4,0,0.0
4,14,1,0,0.0
5,3,2924,2381,0.8142954856361149
5,2,3271,2944,0.9000305716906145
5,4,1992,1423,0.7143574297188755
5,5,1044,700,0.6704980842911877
5,7,206,93,0.45145631067961167
5,6,484,295,0.609504132231405
5,8,79,27,0.34177215189873417
5,9,29,7,0.2413793103448276
5,11,9,1,0.1111111111111111
5,10,21,5,0.23809523809523808
5,12,3,0,0.0
5,16,1,0,0.0
5,13,4,0,0.0
5,14,1,0,0.0
6,3,2924,2381,0.8142954856361149
6,2,3271,2945,0.9003362885967594
6,4,1992,1428,0.7168674698795181
6,5,1044,703,0.6733716475095786
6,7,206,93,0.45145631067961167
6,6,484,300,0.6198347107438017
6,8,79,28,0.35443037974683544
6,9,29,8,0.27586206896551724
6,11,9,2,0.2222222222222222
6,10,21,5,0.23809523809523808
6,12,3,0,0.0
6,16,1,0,0.0
6,13,4,0,0.0
6,14,1,0,0.0
7,3,2924,2382,0.8146374829001368
7,2,3271,2944,0.9000305716906145
7,4,1992,1423,0.7143574297188755
7,5,1044,694,0.6647509578544061
7,7,206,91,0.441747572815534
7,6,484,296,0.6115702479338843
7,8,79,27,0.34177215189873417
7,9,29,8,0.27586206896551724
7,11,9,1,0.1111111111111111
7,10,21,5,0.23809523809523808
7,12,3,0,0.0
7,16,1,0,0.0
7,13,4,0,0.0
7,14,1,0,0.0
8,3,2924,2382,0.8146374829001368
8,2,3271,2944,0.9000305716906145
8,4,1992,1425,0.7153614457831325
8,5,1044,694,0.6647509578544061
8,7,206,94,0.4563106796116505
8,6,484,300,0.6198347107438017
8,8,79,27,0.34177215189873417
8,9,29,7,0.2413793103448276
8,11,9,1,0.1111111111111111
8,10,21,5,0.23809523809523808
8,12,3,0,0.0
8,16,1,0,0.0
8,13,4,0,0.0
8,14,1,0,0.0
9,3,2924,2381,0.8142954856361149
9,2,3271,2945,0.9003362885967594
9,4,1992,1424,0.714859437751004
9,5,1044,700,0.6704980842911877
9,7,206,94,0.4563106796116505
9,6,484,294,0.6074380165289256
9,8,79,28,0.35443037974683544
9,9,29,8,0.27586206896551724
9,11,9,1,0.1111111111111111
9,10,21,5,0.23809523809523808
9,12,3,0,0.0
9,16,1,0,0.0
9,13,4,0,0.0
9,14,1,0,0.0
10,3,2924,2383,0.8149794801641587
10,2,3271,2945,0.9003362885967594
10,4,1992,1424,0.714859437751004
10,5,1044,701,0.671455938697318
10,7,206,90,0.4368932038834951
10,6,484,299,0.6177685950413223
10,8,79,25,0.31645569620253167
10,9,29,7,0.2413793103448276
10,11,9,1,0.1111111111111111
10,10,21,5,0.23809523809523808
10,12,3,0,0.0
10,16,1,0,0.0
10,13,4,0,0.0
10,14,1,0,0.0
