iter,utterance_length,nb_utterances,produced,production_score
1,4,1006,811,0.8061630218687873
1,6,379,223,0.5883905013192612
1,2,1269,1170,0.9219858156028369
1,3,1204,1072,0.8903654485049833
1,7,218,110,0.5045871559633027
1,8,103,40,0.3883495145631068
1,5,651,462,0.7096774193548387
1,11,17,4,0.23529411764705882
1,17,2,1,0.5
1,9,77,27,0.35064935064935066
1,21,2,0,0.0
1,24,2,1,0.5
1,10,42,18,0.42857142857142855
1,13,7,0,0.0
1,12,12,2,0.16666666666666666
1,14,4,0,0.0
1,18,1,0,0.0
1,16,1,0,0.0
1,19,1,1,1.0
1,15,1,0,0.0
2,4,1006,809,0.8041749502982107
2,6,379,227,0.5989445910290238
2,2,1269,1170,0.9219858156028369
2,3,1204,1072,0.8903654485049833
2,7,218,109,0.5
2,8,103,41,0.39805825242718446
2,5,651,458,0.7035330261136713
2,11,17,5,0.29411764705882354
2,17,2,1,0.5
2,9,77,27,0.35064935064935066
2,21,2,0,0.0
2,24,2,1,0.5
2,10,42,18,0.42857142857142855
2,13,7,1,0.14285714285714285
2,12,12,2,0.16666666666666666
2,14,4,0,0.0
2,18,1,0,0.0
2,16,1,0,0.0
2,19,1,1,1.0
2,15,1,0,0.0
3,4,1006,805,0.8001988071570576
3,6,379,230,0.6068601583113457
3,2,1269,1170,0.9219858156028369
3,3,1204,1071,0.8895348837209303
3,7,218,108,0.4954128440366973
3,8,103,41,0.39805825242718446
3,5,651,459,0.7050691244239631
3,11,17,4,0.23529411764705882
3,17,2,0,0.0
3,9,77,28,0.36363636363636365
3,21,2,0,0.0
3,24,2,1,0.5
3,10,42,18,0.42857142857142855
3,13,7,0,0.0
3,12,12,2,0.16666666666666666
3,14,4,0,0.0
3,18,1,0,0.0
3,16,1,0,0.0
3,19,1,1,1.0
3,15,1,0,0.0
4,4,1006,803,0.7982107355864811
4,6,379,225,0.5936675461741425
4,2,1269,1170,0.9219858156028369
4,3,1204,1073,0.8911960132890365
4,7,218,108,0.4954128440366973
4,8,103,40,0.3883495145631068
4,5,651,456,0.7004608294930875
4,11,17,5,0.29411764705882354
4,17,2,0,0.0
4,9,77,27,0.35064935064935066
4,21,2,0,0.0
4,24,2,1,0.5
4,10,42,17,0.40476190476190477
4,13,7,0,0.0
4,12,12,2,0.16666666666666666
4,14,4,0,0.0
4,18,1,0,0.0
4,16,1,0,0.0
4,19,1,1,1.0
4,15,1,0,0.0
5,4,1006,801,0.7962226640159046
5,6,379,226,0.5963060686015831
5,2,1269,1170,0.9219858156028369
5,3,1204,1071,0.8895348837209303
5,7,218,111,0.5091743119266054
5,8,103,41,0.39805825242718446
5,5,651,458,0.7035330261136713
5,11,17,4,0.23529411764705882
5,17,2,1,0.5
5,9,77,27,0.35064935064935066
5,21,2,0,0.0
5,24,2,1,0.5
5,10,42,18,0.42857142857142855
5,13,7,0,0.0
5,12,12,2,0.16666666666666666
5,14,4,0,0.0
5,18,1,0,0.0
5,16,1,0,0.0
5,19,1,1,1.0
5,15,1,0,0.0
6,4,1006,807,0.8021868787276342
6,6,379,225,0.5936675461741425
6,2,1269,1170,0.9219858156028369
6,3,1204,1071,0.8895348837209303
6,7,218,108,0.4954128440366973
6,8,103,40,0.3883495145631068
6,5,651,457,0.7019969278033794
6,11,17,4,0.23529411764705882
6,17,2,1,0.5
6,9,77,26,0.33766233766233766
6,21,2,0,0.0
6,24,2,1,0.5
6,10,42,18,0.42857142857142855
6,13,7,0,0.0
6,12,12,2,0.16666666666666666
6,14,4,0,0.0
6,18,1,0,0.0
6,16,1,0,0.0
6,19,1,1,1.0
6,15,1,0,0.0
7,4,1006,805,0.8001988071570576
7,6,379,224,0.5910290237467019
7,2,1269,1170,0.9219858156028369
7,3,1204,1073,0.8911960132890365
7,7,218,110,0.5045871559633027
7,8,103,40,0.3883495145631068
7,5,651,453,0.695852534562212
7,11,17,4,0.23529411764705882
7,17,2,0,0.0
7,9,77,27,0.35064935064935066
7,21,2,0,0.0
7,24,2,1,0.5
7,10,42,17,0.40476190476190477
7,13,7,0,0.0
7,12,12,2,0.16666666666666666
7,14,4,0,0.0
7,18,1,0,0.0
7,16,1,0,0.0
7,19,1,1,1.0
7,15,1,0,0.0
8,4,1006,806,0.8011928429423459
8,6,379,223,0.5883905013192612
8,2,1269,1170,0.9219858156028369
8,3,1204,1072,0.8903654485049833
8,7,218,108,0.4954128440366973
8,8,103,40,0.3883495145631068
8,5,651,457,0.7019969278033794
8,11,17,4,0.23529411764705882
8,17,2,0,0.0
8,9,77,27,0.35064935064935066
8,21,2,0,0.0
8,24,2,1,0.5
8,10,42,18,0.42857142857142855
8,13,7,1,0.14285714285714285
8,12,12,2,0.16666666666666666
8,14,4,0,0.0
8,18,1,0,0.0
8,16,1,0,0.0
8,19,1,1,1.0
8,15,1,0,0.0
9,4,1006,806,0.8011928429423459
9,6,379,226,0.5963060686015831
9,2,1269,1170,0.9219858156028369
9,3,1204,1073,0.8911960132890365
9,7,218,108,0.4954128440366973
9,8,103,41,0.39805825242718446
9,5,651,457,0.7019969278033794
9,11,17,4,0.23529411764705882
9,17,2,1,0.5
9,9,77,28,0.36363636363636365
9,21,2,0,0.0
9,24,2,1,0.5
9,10,42,18,0.42857142857142855
9,13,7,0,0.0
9,12,12,2,0.16666666666666666
9,14,4,0,0.0
9,18,1,0,0.0
9,16,1,0,0.0
9,19,1,1,1.0
9,15,1,0,0.0
10,4,1006,809,0.8041749502982107
10,6,379,224,0.5910290237467019
10,2,1269,1170,0.9219858156028369
10,3,1204,1072,0.8903654485049833
10,7,218,109,0.5
10,8,103,40,0.3883495145631068
10,5,651,456,0.7004608294930875
10,11,17,4,0.23529411764705882
10,17,2,1,0.5
10,9,77,28,0.36363636363636365
10,21,2,0,0.0
10,24,2,1,0.5
10,10,42,17,0.40476190476190477
10,13,7,0,0.0
10,12,12,2,0.16666666666666666
10,14,4,0,0.0
10,18,1,0,0.0
10,16,1,0,0.0
10,19,1,1,1.0
