iter,utterance_length,nb_utterances,produced,production_score
1,2,4110,3638,0.8851581508515816
1,4,1912,1348,0.7050209205020921
1,3,3152,2519,0.7991751269035533
1,5,992,640,0.6451612903225806
1,7,199,98,0.49246231155778897
1,6,416,232,0.5576923076923077
1,10,6,2,0.3333333333333333
1,14,1,1,1.0
1,11,6,3,0.5
1,9,28,11,0.39285714285714285
1,8,63,19,0.30158730158730157
1,15,1,0,0.0
1,13,2,1,0.5
1,12,1,0,0.0
2,2,4110,3638,0.8851581508515816
2,4,1912,1351,0.7065899581589958
2,3,3152,2521,0.7998096446700508
2,5,992,645,0.6502016129032258
2,7,199,98,0.49246231155778897
2,6,416,229,0.5504807692307693
2,10,6,1,0.16666666666666666
2,14,1,1,1.0
2,11,6,3,0.5
2,9,28,11,0.39285714285714285
2,8,63,19,0.30158730158730157
2,15,1,0,0.0
2,13,2,1,0.5
2,12,1,0,0.0
3,2,4110,3638,0.8851581508515816
3,4,1912,1351,0.7065899581589958
3,3,3152,2521,0.7998096446700508
3,5,992,641,0.6461693548387096
3,7,199,99,0.49748743718592964
3,6,416,225,0.5408653846153846
3,10,6,2,0.3333333333333333
3,14,1,1,1.0
3,11,6,3,0.5
3,9,28,11,0.39285714285714285
3,8,63,19,0.30158730158730157
3,15,1,0,0.0
3,13,2,1,0.5
3,12,1,0,0.0
4,2,4110,3638,0.8851581508515816
4,4,1912,1351,0.7065899581589958
4,3,3152,2518,0.7988578680203046
4,5,992,640,0.6451612903225806
4,7,199,97,0.48743718592964824
4,6,416,223,0.5360576923076923
4,10,6,1,0.16666666666666666
4,14,1,1,1.0
4,11,6,3,0.5
4,9,28,11,0.39285714285714285
4,8,63,19,0.30158730158730157
4,15,1,0,0.0
4,13,2,1,0.5
4,12,1,0,0.0
5,2,4110,3638,0.8851581508515816
5,4,1912,1357,0.7097280334728033
5,3,3152,2521,0.7998096446700508
5,5,992,647,0.6522177419354839
5,7,199,99,0.49748743718592964
5,6,416,220,0.5288461538461539
5,10,6,1,0.16666666666666666
5,14,1,1,1.0
5,11,6,3,0.5
5,9,28,12,0.42857142857142855
5,8,63,20,0.31746031746031744
5,15,1,0,0.0
5,13,2,1,0.5
5,12,1,0,0.0
6,2,4110,3638,0.8851581508515816
6,4,1912,1350,0.7060669456066946
6,3,3152,2518,0.7988578680203046
6,5,992,634,0.6391129032258065
6,7,199,96,0.4824120603015075
6,6,416,227,0.5456730769230769
6,10,6,2,0.3333333333333333
6,14,1,1,1.0
6,11,6,3,0.5
6,9,28,11,0.39285714285714285
6,8,63,19,0.30158730158730157
6,15,1,0,0.0
6,13,2,1,0.5
6,12,1,0,0.0
7,2,4110,3638,0.8851581508515816
7,4,1912,1359,0.7107740585774058
7,3,3152,2517,0.7985406091370558
7,5,992,640,0.6451612903225806
7,7,199,96,0.4824120603015075
7,6,416,222,0.5336538461538461
7,10,6,1,0.16666666666666666
7,14,1,1,1.0
7,11,6,3,0.5
7,9,28,11,0.39285714285714285
7,8,63,20,0.31746031746031744
7,15,1,0,0.0
7,13,2,1,0.5
7,12,1,0,0.0
8,2,4110,3638,0.8851581508515816
8,4,1912,1355,0.7086820083682008
8,3,3152,2519,0.7991751269035533
8,5,992,644,0.6491935483870968
8,7,199,98,0.49246231155778897
8,6,416,230,0.5528846153846154
8,10,6,1,0.16666666666666666
8,14,1,1,1.0
8,11,6,3,0.5
8,9,28,12,0.42857142857142855
8,8,63,20,0.31746031746031744
8,15,1,0,0.0
8,13,2,1,0.5
8,12,1,0,0.0
9,2,4110,3638,0.8851581508515816
9,4,1912,1344,0.702928870292887
9,3,3152,2519,0.7991751269035533
9,5,992,643,0.6481854838709677
9,7,199,96,0.4824120603015075
9,6,416,223,0.5360576923076923
9,10,6,1,0.16666666666666666
9,14,1,1,1.0
9,11,6,3,0.5
9,9,28,12,0.42857142857142855
9,8,63,19,0.30158730158730157
9,15,1,0,0.0
9,13,2,1,0.5
9,12,1,0,0.0
10,2,4110,3638,0.8851581508515816
10,4,1912,1345,0.7034518828451883
10,3,3152,2520,0.799492385786802
10,5,992,644,0.6491935483870968
10,7,199,99,0.49748743718592964
10,6,416,225,0.5408653846153846
10,10,6,1,0.16666666666666666
10,14,1,1,1.0
10,11,6,3,0.5
10,9,28,11,0.39285714285714285
10,8,63,19,0.30158730158730157
10,15,1,0,0.0
10,13,2,1,0.5
10,12,1,0,0.0
