iter,utterance_length,nb_utterances,produced,production_score
1,2,3253,2790,0.8576698432216415
1,3,2687,2183,0.812430219575735
1,4,1168,869,0.7440068493150684
1,6,160,94,0.5875
1,5,475,282,0.5936842105263158
1,7,85,44,0.5176470588235295
1,8,30,7,0.23333333333333334
1,10,8,1,0.125
1,9,16,6,0.375
1,11,2,0,0.0
1,18,1,1,1.0
1,12,1,0,0.0
2,2,3253,2789,0.857362434675684
2,3,2687,2186,0.8135467063639747
2,4,1168,868,0.7431506849315068
2,6,160,96,0.6
2,5,475,283,0.5957894736842105
2,7,85,46,0.5411764705882353
2,8,30,5,0.16666666666666666
2,10,8,1,0.125
2,9,16,6,0.375
2,11,2,0,0.0
2,18,1,1,1.0
2,12,1,0,0.0
3,2,3253,2789,0.857362434675684
3,3,2687,2187,0.8139188686267212
3,4,1168,866,0.7414383561643836
3,6,160,94,0.5875
3,5,475,284,0.5978947368421053
3,7,85,43,0.5058823529411764
3,8,30,7,0.23333333333333334
3,10,8,1,0.125
3,9,16,6,0.375
3,11,2,0,0.0
3,18,1,1,1.0
3,12,1,0,0.0
4,2,3253,2789,0.857362434675684
4,3,2687,2185,0.8131745441012281
4,4,1168,871,0.7457191780821918
4,6,160,94,0.5875
4,5,475,282,0.5936842105263158
4,7,85,44,0.5176470588235295
4,8,30,5,0.16666666666666666
4,10,8,1,0.125
4,9,16,6,0.375
4,11,2,0,0.0
4,18,1,1,1.0
4,12,1,0,0.0
5,2,3253,2790,0.8576698432216415
5,3,2687,2186,0.8135467063639747
5,4,1168,870,0.7448630136986302
5,6,160,94,0.5875
5,5,475,285,0.6
5,7,85,44,0.5176470588235295
5,8,30,7,0.23333333333333334
5,10,8,1,0.125
5,9,16,6,0.375
5,11,2,0,0.0
5,18,1,1,1.0
5,12,1,0,0.0
6,2,3253,2789,0.857362434675684
6,3,2687,2183,0.812430219575735
6,4,1168,869,0.7440068493150684
6,6,160,93,0.58125
6,5,475,284,0.5978947368421053
6,7,85,46,0.5411764705882353
6,8,30,5,0.16666666666666666
6,10,8,1,0.125
6,9,16,6,0.375
6,11,2,0,0.0
6,18,1,1,1.0
6,12,1,0,0.0
7,2,3253,2789,0.857362434675684
7,3,2687,2184,0.8128023818384815
7,4,1168,865,0.740582191780822
7,6,160,93,0.58125
7,5,475,282,0.5936842105263158
7,7,85,43,0.5058823529411764
7,8,30,6,0.2
7,10,8,1,0.125
7,9,16,6,0.375
7,11,2,0,0.0
7,18,1,1,1.0
7,12,1,0,0.0
8,2,3253,2789,0.857362434675684
8,3,2687,2184,0.8128023818384815
8,4,1168,870,0.7448630136986302
8,6,160,93,0.58125
8,5,475,283,0.5957894736842105
8,7,85,45,0.5294117647058824
8,8,30,5,0.16666666666666666
8,10,8,2,0.25
8,9,16,6,0.375
8,11,2,0,0.0
8,18,1,1,1.0
8,12,1,0,0.0
9,2,3253,2789,0.857362434675684
9,3,2687,2186,0.8135467063639747
9,4,1168,868,0.7431506849315068
9,6,160,93,0.58125
9,5,475,283,0.5957894736842105
9,7,85,45,0.5294117647058824
9,8,30,6,0.2
9,10,8,1,0.125
9,9,16,6,0.375
9,11,2,0,0.0
9,18,1,1,1.0
9,12,1,0,0.0
10,2,3253,2790,0.8576698432216415
10,3,2687,2186,0.8135467063639747
10,4,1168,867,0.7422945205479452
10,6,160,94,0.5875
10,5,475,285,0.6
10,7,85,45,0.5294117647058824
10,8,30,6,0.2
10,10,8,1,0.125
10,9,16,6,0.375
10,11,2,0,0.0
10,18,1,1,1.0
10,12,1,0,0.0
