iter,utterance_length,nb_utterances,produced,production_score
1,2,8002,7081,0.8849037740564859
1,3,9346,8099,0.8665739353734218
1,4,8278,6739,0.8140855279052911
1,5,5582,4174,0.7477606592619133
1,6,3251,2119,0.6517994463242079
1,10,228,68,0.2982456140350877
1,7,1747,1014,0.5804235832856325
1,8,900,433,0.4811111111111111
1,9,426,166,0.38967136150234744
1,11,134,26,0.19402985074626866
1,15,17,1,0.058823529411764705
1,12,82,22,0.2682926829268293
1,19,3,0,0.0
1,13,41,7,0.17073170731707318
1,14,28,2,0.07142857142857142
1,20,2,0,0.0
1,16,9,1,0.1111111111111111
1,18,6,0,0.0
1,17,6,0,0.0
1,22,1,0,0.0
1,23,1,0,0.0
1,21,3,0,0.0
1,30,2,0,0.0
2,2,8002,7081,0.8849037740564859
2,3,9346,8099,0.8665739353734218
2,4,8278,6728,0.8127567045179995
2,5,5582,4176,0.7481189537800071
2,6,3251,2102,0.6465702860658259
2,10,228,66,0.2894736842105263
2,7,1747,1008,0.5769891242129365
2,8,900,435,0.48333333333333334
2,9,426,162,0.38028169014084506
2,11,134,26,0.19402985074626866
2,15,17,1,0.058823529411764705
2,12,82,22,0.2682926829268293
2,19,3,0,0.0
2,13,41,7,0.17073170731707318
2,14,28,2,0.07142857142857142
2,20,2,0,0.0
2,16,9,1,0.1111111111111111
2,18,6,0,0.0
2,17,6,0,0.0
2,22,1,0,0.0
2,23,1,0,0.0
2,21,3,0,0.0
2,30,2,0,0.0
3,2,8002,7080,0.8847788052986754
3,3,9346,8099,0.8665739353734218
3,4,8278,6741,0.814327132157526
3,5,5582,4170,0.7470440702257255
3,6,3251,2124,0.6533374346354968
3,10,228,68,0.2982456140350877
3,7,1747,1006,0.5758443045220378
3,8,900,422,0.4688888888888889
3,9,426,159,0.3732394366197183
3,11,134,26,0.19402985074626866
3,15,17,1,0.058823529411764705
3,12,82,22,0.2682926829268293
3,19,3,0,0.0
3,13,41,7,0.17073170731707318
3,14,28,2,0.07142857142857142
3,20,2,0,0.0
3,16,9,1,0.1111111111111111
3,18,6,0,0.0
3,17,6,0,0.0
3,22,1,0,0.0
3,23,1,0,0.0
3,21,3,0,0.0
3,30,2,0,0.0
4,2,8002,7081,0.8849037740564859
4,3,9346,8099,0.8665739353734218
4,4,8278,6729,0.812877506644117
4,5,5582,4176,0.7481189537800071
4,6,3251,2105,0.6474930790525992
4,10,228,68,0.2982456140350877
4,7,1747,1015,0.5809959931310819
4,8,900,429,0.4766666666666667
4,9,426,163,0.3826291079812207
4,11,134,26,0.19402985074626866
4,15,17,1,0.058823529411764705
4,12,82,22,0.2682926829268293
4,19,3,0,0.0
4,13,41,7,0.17073170731707318
4,14,28,2,0.07142857142857142
4,20,2,0,0.0
4,16,9,1,0.1111111111111111
4,18,6,0,0.0
4,17,6,0,0.0
4,22,1,0,0.0
4,23,1,0,0.0
4,21,3,0,0.0
4,30,2,0,0.0
5,2,8002,7080,0.8847788052986754
5,3,9346,8099,0.8665739353734218
5,4,8278,6735,0.8136023194008215
5,5,5582,4178,0.748477248298101
5,6,3251,2108,0.6484158720393725
5,10,228,68,0.2982456140350877
5,7,1747,1009,0.5775615340583858
5,8,900,434,0.4822222222222222
5,9,426,161,0.3779342723004695
5,11,134,26,0.19402985074626866
5,15,17,1,0.058823529411764705
5,12,82,22,0.2682926829268293
5,19,3,0,0.0
5,13,41,7,0.17073170731707318
5,14,28,2,0.07142857142857142
5,20,2,0,0.0
5,16,9,1,0.1111111111111111
5,18,6,0,0.0
5,17,6,0,0.0
5,22,1,0,0.0
5,23,1,0,0.0
5,21,3,0,0.0
5,30,2,0,0.0
6,2,8002,7081,0.8849037740564859
6,3,9346,8099,0.8665739353734218
6,4,8278,6735,0.8136023194008215
6,5,5582,4174,0.7477606592619133
6,6,3251,2106,0.647800676714857
6,10,228,69,0.3026315789473684
6,7,1747,1016,0.5815684029765312
6,8,900,430,0.4777777777777778
6,9,426,162,0.38028169014084506
6,11,134,27,0.20149253731343283
6,15,17,1,0.058823529411764705
6,12,82,22,0.2682926829268293
6,19,3,0,0.0
6,13,41,7,0.17073170731707318
6,14,28,2,0.07142857142857142
6,20,2,0,0.0
6,16,9,2,0.2222222222222222
6,18,6,0,0.0
6,17,6,0,0.0
6,22,1,0,0.0
6,23,1,0,0.0
6,21,3,0,0.0
6,30,2,0,0.0
7,2,8002,7081,0.8849037740564859
7,3,9346,8099,0.8665739353734218
7,4,8278,6741,0.814327132157526
7,5,5582,4181,0.7490146900752418
7,6,3251,2118,0.6514918486619502
7,10,228,69,0.3026315789473684
7,7,1747,1012,0.5792787635947338
7,8,900,433,0.4811111111111111
7,9,426,158,0.37089201877934275
7,11,134,26,0.19402985074626866
7,15,17,1,0.058823529411764705
7,12,82,22,0.2682926829268293
7,19,3,0,0.0
7,13,41,7,0.17073170731707318
7,14,28,2,0.07142857142857142
7,20,2,0,0.0
7,16,9,1,0.1111111111111111
7,18,6,0,0.0
7,17,6,0,0.0
7,22,1,0,0.0
7,23,1,0,0.0
7,21,3,0,0.0
7,30,2,0,0.0
8,2,8002,7080,0.8847788052986754
8,3,9346,8099,0.8665739353734218
8,4,8278,6747,0.8150519449142305
8,5,5582,4168,0.7466857757076317
8,6,3251,2128,0.6545678252845278
8,10,228,67,0.29385964912280704
8,7,1747,1015,0.5809959931310819
8,8,900,431,0.47888888888888886
8,9,426,161,0.3779342723004695
8,11,134,26,0.19402985074626866
8,15,17,1,0.058823529411764705
8,12,82,22,0.2682926829268293
8,19,3,0,0.0
8,13,41,7,0.17073170731707318
8,14,28,2,0.07142857142857142
8,20,2,0,0.0
8,16,9,1,0.1111111111111111
8,18,6,0,0.0
8,17,6,0,0.0
8,22,1,0,0.0
8,23,1,0,0.0
8,21,3,0,0.0
8,30,2,0,0.0
9,2,8002,7080,0.8847788052986754
9,3,9346,8099,0.8665739353734218
9,4,8278,6746,0.8149311427881131
9,5,5582,4174,0.7477606592619133
9,6,3251,2116,0.6508766533374346
9,10,228,69,0.3026315789473684
9,7,1747,1011,0.5787063537492845
9,8,900,437,0.4855555555555556
9,9,426,163,0.3826291079812207
9,11,134,28,0.208955223880597
9,15,17,1,0.058823529411764705
9,12,82,22,0.2682926829268293
9,19,3,0,0.0
9,13,41,7,0.17073170731707318
9,14,28,2,0.07142857142857142
9,20,2,0,0.0
9,16,9,1,0.1111111111111111
9,18,6,0,0.0
9,17,6,0,0.0
9,22,1,0,0.0
9,23,1,0,0.0
9,21,3,0,0.0
9,30,2,0,0.0
10,2,8002,7081,0.8849037740564859
10,3,9346,8099,0.8665739353734218
10,4,8278,6739,0.8140855279052911
10,5,5582,4189,0.7504478681476173
10,6,3251,2111,0.6493386650261458
10,10,228,66,0.2894736842105263
10,7,1747,1010,0.5781339439038351
10,8,900,434,0.4822222222222222
10,9,426,163,0.3826291079812207
10,11,134,27,0.20149253731343283
10,15,17,1,0.058823529411764705
10,12,82,23,0.2804878048780488
10,19,3,0,0.0
10,13,41,7,0.17073170731707318
10,14,28,2,0.07142857142857142
10,20,2,0,0.0
10,16,9,1,0.1111111111111111
10,18,6,0,0.0
10,17,6,0,0.0
10,22,1,0,0.0
10,23,1,0,0.0
10,21,3,0,0.0
10,30,2,0,0.0
