iter,utterance_length,nb_utterances,produced,production_score
1,2,4831,4024,0.8329538397847237
1,7,852,329,0.38615023474178406
1,3,4044,3137,0.7757171117705243
1,9,356,74,0.20786516853932585
1,4,3128,2107,0.6735933503836317
1,16,35,4,0.11428571428571428
1,12,120,17,0.14166666666666666
1,5,2157,1178,0.5461288827074641
1,8,551,152,0.27586206896551724
1,6,1374,609,0.4432314410480349
1,15,53,2,0.03773584905660377
1,10,225,40,0.17777777777777778
1,23,4,0,0.0
1,11,167,28,0.16766467065868262
1,14,71,6,0.08450704225352113
1,18,13,0,0.0
1,13,79,5,0.06329113924050633
1,22,6,0,0.0
1,20,8,0,0.0
1,19,15,0,0.0
1,17,22,0,0.0
1,32,1,0,0.0
1,21,13,1,0.07692307692307693
1,28,5,0,0.0
1,33,1,0,0.0
1,35,1,0,0.0
1,24,4,0,0.0
1,27,3,0,0.0
1,25,3,0,0.0
1,30,2,0,0.0
1,43,1,0,0.0
1,26,2,0,0.0
2,2,4831,4024,0.8329538397847237
2,7,852,339,0.397887323943662
2,3,4044,3136,0.7754698318496538
2,9,356,75,0.21067415730337077
2,4,3128,2105,0.6729539641943734
2,16,35,4,0.11428571428571428
2,12,120,16,0.13333333333333333
2,5,2157,1175,0.5447380621233194
2,8,551,152,0.27586206896551724
2,6,1374,608,0.44250363901018924
2,15,53,3,0.05660377358490566
2,10,225,42,0.18666666666666668
2,23,4,0,0.0
2,11,167,29,0.17365269461077845
2,14,71,5,0.07042253521126761
2,18,13,0,0.0
2,13,79,5,0.06329113924050633
2,22,6,0,0.0
2,20,8,0,0.0
2,19,15,0,0.0
2,17,22,0,0.0
2,32,1,0,0.0
2,21,13,1,0.07692307692307693
2,28,5,0,0.0
2,33,1,0,0.0
2,35,1,0,0.0
2,24,4,0,0.0
2,27,3,0,0.0
2,25,3,0,0.0
2,30,2,0,0.0
2,43,1,0,0.0
2,26,2,0,0.0
3,2,4831,4024,0.8329538397847237
3,7,852,333,0.3908450704225352
3,3,4044,3141,0.776706231454006
3,9,356,73,0.2050561797752809
3,4,3128,2104,0.6726342710997443
3,16,35,4,0.11428571428571428
3,12,120,16,0.13333333333333333
3,5,2157,1175,0.5447380621233194
3,8,551,152,0.27586206896551724
3,6,1374,603,0.4388646288209607
3,15,53,2,0.03773584905660377
3,10,225,40,0.17777777777777778
3,23,4,0,0.0
3,11,167,27,0.16167664670658682
3,14,71,6,0.08450704225352113
3,18,13,0,0.0
3,13,79,5,0.06329113924050633
3,22,6,0,0.0
3,20,8,0,0.0
3,19,15,0,0.0
3,17,22,0,0.0
3,32,1,0,0.0
3,21,13,1,0.07692307692307693
3,28,5,0,0.0
3,33,1,0,0.0
3,35,1,0,0.0
3,24,4,0,0.0
3,27,3,0,0.0
3,25,3,0,0.0
3,30,2,0,0.0
3,43,1,0,0.0
3,26,2,0,0.0
4,2,4831,4024,0.8329538397847237
4,7,852,326,0.3826291079812207
4,3,4044,3139,0.7762116716122651
4,9,356,74,0.20786516853932585
4,4,3128,2112,0.6751918158567775
4,16,35,4,0.11428571428571428
4,12,120,17,0.14166666666666666
4,5,2157,1175,0.5447380621233194
4,8,551,150,0.27223230490018147
4,6,1374,605,0.4403202328966521
4,15,53,2,0.03773584905660377
4,10,225,42,0.18666666666666668
4,23,4,0,0.0
4,11,167,29,0.17365269461077845
4,14,71,6,0.08450704225352113
4,18,13,0,0.0
4,13,79,5,0.06329113924050633
4,22,6,0,0.0
4,20,8,0,0.0
4,19,15,0,0.0
4,17,22,0,0.0
4,32,1,0,0.0
4,21,13,1,0.07692307692307693
4,28,5,0,0.0
4,33,1,0,0.0
4,35,1,0,0.0
4,24,4,0,0.0
4,27,3,0,0.0
4,25,3,0,0.0
4,30,2,0,0.0
4,43,1,0,0.0
4,26,2,0,0.0
5,2,4831,4024,0.8329538397847237
5,7,852,332,0.38967136150234744
5,3,4044,3139,0.7762116716122651
5,9,356,73,0.2050561797752809
5,4,3128,2109,0.6742327365728901
5,16,35,3,0.08571428571428572
5,12,120,16,0.13333333333333333
5,5,2157,1172,0.5433472415391748
5,8,551,152,0.27586206896551724
5,6,1374,609,0.4432314410480349
5,15,53,2,0.03773584905660377
5,10,225,42,0.18666666666666668
5,23,4,0,0.0
5,11,167,25,0.1497005988023952
5,14,71,6,0.08450704225352113
5,18,13,0,0.0
5,13,79,5,0.06329113924050633
5,22,6,0,0.0
5,20,8,0,0.0
5,19,15,0,0.0
5,17,22,0,0.0
5,32,1,0,0.0
5,21,13,1,0.07692307692307693
5,28,5,0,0.0
5,33,1,0,0.0
5,35,1,0,0.0
5,24,4,0,0.0
5,27,3,0,0.0
5,25,3,0,0.0
5,30,2,0,0.0
5,43,1,0,0.0
5,26,2,0,0.0
6,2,4831,4024,0.8329538397847237
6,7,852,328,0.38497652582159625
6,3,4044,3139,0.7762116716122651
6,9,356,72,0.20224719101123595
6,4,3128,2109,0.6742327365728901
6,16,35,4,0.11428571428571428
