iter,utterance_length,nb_utterances,produced,production_score
1,2,3652,3142,0.8603504928806134
1,3,2784,2201,0.7905890804597702
1,4,1663,1238,0.7444377630787733
1,5,867,548,0.6320645905420992
1,6,418,234,0.5598086124401914
1,7,255,126,0.49411764705882355
1,9,71,24,0.3380281690140845
1,8,136,48,0.35294117647058826
1,12,6,1,0.16666666666666666
1,11,15,3,0.2
1,10,33,8,0.24242424242424243
1,13,4,0,0.0
1,14,5,0,0.0
1,15,1,0,0.0
1,17,1,0,0.0
2,2,3652,3142,0.8603504928806134
2,3,2784,2200,0.7902298850574713
2,4,1663,1232,0.740829825616356
2,5,867,551,0.635524798154556
2,6,418,233,0.5574162679425837
2,7,255,126,0.49411764705882355
2,9,71,25,0.352112676056338
2,8,136,48,0.35294117647058826
2,12,6,1,0.16666666666666666
2,11,15,3,0.2
2,10,33,8,0.24242424242424243
2,13,4,0,0.0
2,14,5,0,0.0
2,15,1,0,0.0
2,17,1,0,0.0
3,2,3652,3142,0.8603504928806134
3,3,2784,2202,0.790948275862069
3,4,1663,1235,0.7426337943475646
3,5,867,554,0.6389850057670127
3,6,418,236,0.5645933014354066
3,7,255,122,0.47843137254901963
3,9,71,24,0.3380281690140845
3,8,136,48,0.35294117647058826
3,12,6,2,0.3333333333333333
3,11,15,3,0.2
3,10,33,8,0.24242424242424243
3,13,4,0,0.0
3,14,5,0,0.0
3,15,1,0,0.0
3,17,1,0,0.0
4,2,3652,3142,0.8603504928806134
4,3,2784,2201,0.7905890804597702
4,4,1663,1230,0.7396271797955503
4,5,867,556,0.6412918108419838
4,6,418,229,0.5478468899521531
4,7,255,128,0.5019607843137255
4,9,71,21,0.29577464788732394
4,8,136,50,0.36764705882352944
4,12,6,2,0.3333333333333333
4,11,15,3,0.2
4,10,33,8,0.24242424242424243
4,13,4,0,0.0
4,14,5,0,0.0
4,15,1,0,0.0
4,17,1,0,0.0
5,2,3652,3142,0.8603504928806134
5,3,2784,2200,0.7902298850574713
5,4,1663,1234,0.7420324714371618
5,5,867,554,0.6389850057670127
5,6,418,231,0.5526315789473685
5,7,255,124,0.48627450980392156
5,9,71,24,0.3380281690140845
5,8,136,51,0.375
5,12,6,1,0.16666666666666666
5,11,15,3,0.2
5,10,33,8,0.24242424242424243
5,13,4,0,0.0
5,14,5,0,0.0
5,15,1,0,0.0
5,17,1,0,0.0
6,2,3652,3142,0.8603504928806134
6,3,2784,2200,0.7902298850574713
6,4,1663,1229,0.7390258568851473
6,5,867,550,0.6343713956170703
6,6,418,231,0.5526315789473685
6,7,255,124,0.48627450980392156
6,9,71,21,0.29577464788732394
6,8,136,49,0.3602941176470588
6,12,6,1,0.16666666666666666
6,11,15,3,0.2
6,10,33,8,0.24242424242424243
6,13,4,0,0.0
6,14,5,0,0.0
6,15,1,0,0.0
6,17,1,0,0.0
7,2,3652,3142,0.8603504928806134
7,3,2784,2202,0.790948275862069
7,4,1663,1239,0.7450390859891762
7,5,867,549,0.6332179930795848
7,6,418,237,0.5669856459330144
7,7,255,125,0.49019607843137253
7,9,71,24,0.3380281690140845
7,8,136,49,0.3602941176470588
7,12,6,2,0.3333333333333333
7,11,15,3,0.2
7,10,33,8,0.24242424242424243
7,13,4,0,0.0
7,14,5,0,0.0
7,15,1,0,0.0
7,17,1,0,0.0
8,2,3652,3142,0.8603504928806134
8,3,2784,2202,0.790948275862069
8,4,1663,1231,0.7402285027059531
8,5,867,555,0.6401384083044983
8,6,418,232,0.5550239234449761
8,7,255,127,0.4980392156862745
8,9,71,24,0.3380281690140845
8,8,136,49,0.3602941176470588
8,12,6,1,0.16666666666666666
8,11,15,3,0.2
8,10,33,8,0.24242424242424243
8,13,4,0,0.0
8,14,5,0,0.0
8,15,1,0,0.0
8,17,1,0,0.0
9,2,3652,3142,0.8603504928806134
9,3,2784,2201,0.7905890804597702
9,4,1663,1225,0.7366205652435358
9,5,867,548,0.6320645905420992
9,6,418,227,0.5430622009569378
9,7,255,126,0.49411764705882355
9,9,71,23,0.323943661971831
9,8,136,48,0.35294117647058826
9,12,6,2,0.3333333333333333
9,11,15,3,0.2
9,10,33,8,0.24242424242424243
9,13,4,0,0.0
9,14,5,0,0.0
9,15,1,0,0.0
9,17,1,0,0.0
10,2,3652,3142,0.8603504928806134
10,3,2784,2202,0.790948275862069
10,4,1663,1237,0.7438364401683704
10,5,867,549,0.6332179930795848
10,6,418,229,0.5478468899521531
10,7,255,125,0.49019607843137253
10,9,71,22,0.30985915492957744
10,8,136,49,0.3602941176470588
10,12,6,1,0.16666666666666666
10,11,15,3,0.2
10,10,33,8,0.24242424242424243
10,13,4,0,0.0
10,14,5,0,0.0
10,15,1,0,0.0
10,17,1,0,0.0
