iter,utterance_length,nb_utterances,produced,production_score
1,2,1558,1423,0.9133504492939666
1,3,1409,1167,0.8282469836763662
1,6,669,377,0.5635276532137519
1,4,1124,852,0.7580071174377224
1,5,861,554,0.6434378629500581
1,7,533,267,0.50093808630394
1,8,359,147,0.40947075208913647
1,13,72,8,0.1111111111111111
1,9,256,80,0.3125
1,11,146,29,0.19863013698630136
1,12,107,21,0.19626168224299065
1,15,58,5,0.08620689655172414
1,16,35,1,0.02857142857142857
1,10,188,51,0.2712765957446808
1,18,21,2,0.09523809523809523
1,14,52,7,0.1346153846153846
1,17,32,2,0.0625
1,19,21,1,0.047619047619047616
1,20,13,1,0.07692307692307693
1,45,2,0,0.0
1,32,3,0,0.0
1,22,9,0,0.0
1,36,1,0,0.0
1,29,4,0,0.0
1,21,16,0,0.0
1,27,9,0,0.0
1,35,1,0,0.0
1,23,14,1,0.07142857142857142
1,25,7,0,0.0
1,34,4,0,0.0
1,49,1,0,0.0
1,31,2,0,0.0
1,55,2,0,0.0
1,41,3,0,0.0
1,28,3,0,0.0
1,26,8,0,0.0
1,63,1,0,0.0
1,56,1,0,0.0
1,33,2,0,0.0
1,40,1,0,0.0
1,24,4,0,0.0
1,30,3,0,0.0
1,64,1,0,0.0
1,38,6,0,0.0
1,37,2,0,0.0
1,39,1,0,0.0
1,48,1,0,0.0
1,80,1,0,0.0
2,2,1558,1423,0.9133504492939666
2,3,1409,1166,0.8275372604684174
2,6,669,373,0.5575485799701047
2,4,1124,852,0.7580071174377224
2,5,861,561,0.6515679442508711
2,7,533,275,0.5159474671669794
2,8,359,152,0.4233983286908078
2,13,72,8,0.1111111111111111
2,9,256,81,0.31640625
2,11,146,29,0.19863013698630136
2,12,107,20,0.18691588785046728
2,15,58,4,0.06896551724137931
2,16,35,1,0.02857142857142857
2,10,188,51,0.2712765957446808
2,18,21,2,0.09523809523809523
2,14,52,7,0.1346153846153846
2,17,32,2,0.0625
2,19,21,1,0.047619047619047616
2,20,13,1,0.07692307692307693
2,45,2,0,0.0
2,32,3,0,0.0
2,22,9,0,0.0
2,36,1,0,0.0
2,29,4,0,0.0
2,21,16,0,0.0
2,27,9,0,0.0
2,35,1,0,0.0
2,23,14,1,0.07142857142857142
2,25,7,0,0.0
2,34,4,0,0.0
2,49,1,0,0.0
2,31,2,0,0.0
2,55,2,0,0.0
2,41,3,0,0.0
2,28,3,0,0.0
2,26,8,0,0.0
2,63,1,0,0.0
2,56,1,0,0.0
2,33,2,0,0.0
2,40,1,0,0.0
2,24,4,0,0.0
2,30,3,0,0.0
2,64,1,0,0.0
2,38,6,0,0.0
2,37,2,0,0.0
2,39,1,0,0.0
2,48,1,0,0.0
2,80,1,0,0.0
3,2,1558,1423,0.9133504492939666
3,3,1409,1168,0.8289567068843151
3,6,669,375,0.5605381165919282
3,4,1124,854,0.7597864768683275
3,5,861,562,0.6527293844367015
3,7,533,269,0.5046904315196998
3,8,359,150,0.4178272980501393
3,13,72,9,0.125
3,9,256,79,0.30859375
3,11,146,28,0.1917808219178082
3,12,107,20,0.18691588785046728
3,15,58,5,0.08620689655172414
3,16,35,1,0.02857142857142857
3,10,188,52,0.2765957446808511
3,18,21,2,0.09523809523809523
3,14,52,6,0.11538461538461539
3,17,32,2,0.0625
3,19,21,1,0.047619047619047616
3,20,13,1,0.07692307692307693
3,45,2,0,0.0
3,32,3,0,0.0
3,22,9,0,0.0
3,36,1,0,0.0
3,29,4,0,0.0
