iter,utterance_length,nb_utterances,produced,production_score
1,2,405,348,0.8592592592592593
1,3,603,515,0.8540630182421227
1,4,489,398,0.8139059304703476
1,7,230,134,0.5826086956521739
1,5,404,277,0.6856435643564357
1,10,47,14,0.2978723404255319
1,18,1,0,0.0
1,6,312,200,0.6410256410256411
1,11,34,6,0.17647058823529413
1,13,17,1,0.058823529411764705
1,8,172,78,0.45348837209302323
1,9,91,36,0.3956043956043956
1,14,14,3,0.21428571428571427
1,16,4,0,0.0
1,12,10,4,0.4
1,15,6,1,0.16666666666666666
1,19,2,0,0.0
1,20,2,0,0.0
1,37,1,0,0.0
1,17,4,0,0.0
2,2,405,348,0.8592592592592593
2,3,603,515,0.8540630182421227
2,4,489,394,0.8057259713701431
2,7,230,133,0.5782608695652174
2,5,404,272,0.6732673267326733
2,10,47,15,0.3191489361702128
2,18,1,0,0.0
2,6,312,202,0.6474358974358975
2,11,34,6,0.17647058823529413
2,13,17,1,0.058823529411764705
2,8,172,74,0.43023255813953487
2,9,91,37,0.4065934065934066
2,14,14,3,0.21428571428571427
2,16,4,0,0.0
2,12,10,3,0.3
2,15,6,1,0.16666666666666666
2,19,2,0,0.0
2,20,2,0,0.0
2,37,1,0,0.0
2,17,4,0,0.0
3,2,405,348,0.8592592592592593
3,3,603,515,0.8540630182421227
3,4,489,393,0.803680981595092
3,7,230,132,0.5739130434782609
3,5,404,275,0.6806930693069307
3,10,47,15,0.3191489361702128
3,18,1,0,0.0
3,6,312,202,0.6474358974358975
3,11,34,6,0.17647058823529413
3,13,17,1,0.058823529411764705
3,8,172,77,0.4476744186046512
3,9,91,36,0.3956043956043956
3,14,14,3,0.21428571428571427
3,16,4,0,0.0
3,12,10,4,0.4
3,15,6,1,0.16666666666666666
3,19,2,0,0.0
3,20,2,0,0.0
3,37,1,0,0.0
3,17,4,0,0.0
4,2,405,348,0.8592592592592593
4,3,603,515,0.8540630182421227
4,4,489,394,0.8057259713701431
4,7,230,133,0.5782608695652174
4,5,404,278,0.6881188118811881
4,10,47,15,0.3191489361702128
4,18,1,0,0.0
4,6,312,204,0.6538461538461539
4,11,34,6,0.17647058823529413
4,13,17,2,0.11764705882352941
4,8,172,77,0.4476744186046512
4,9,91,35,0.38461538461538464
4,14,14,3,0.21428571428571427
4,16,4,0,0.0
4,12,10,4,0.4
4,15,6,1,0.16666666666666666
4,19,2,0,0.0
4,20,2,0,0.0
4,37,1,0,0.0
4,17,4,0,0.0
5,2,405,348,0.8592592592592593
5,3,603,516,0.8557213930348259
5,4,489,394,0.8057259713701431
5,7,230,133,0.5782608695652174
5,5,404,276,0.6831683168316832
5,10,47,15,0.3191489361702128
5,18,1,0,0.0
5,6,312,205,0.657051282051282
5,11,34,6,0.17647058823529413
5,13,17,1,0.058823529411764705
5,8,172,77,0.4476744186046512
5,9,91,37,0.4065934065934066
5,14,14,3,0.21428571428571427
5,16,4,0,0.0
5,12,10,3,0.3
5,15,6,1,0.16666666666666666
5,19,2,0,0.0
5,20,2,0,0.0
5,37,1,0,0.0
5,17,4,0,0.0
6,2,405,348,0.8592592592592593
6,3,603,516,0.8557213930348259
6,4,489,393,0.803680981595092
6,7,230,133,0.5782608695652174
6,5,404,278,0.6881188118811881
6,10,47,15,0.3191489361702128
6,18,1,0,0.0
6,6,312,200,0.6410256410256411
6,11,34,6,0.17647058823529413
6,13,17,1,0.058823529411764705
6,8,172,77,0.4476744186046512
6,9,91,38,0.4175824175824176
6,14,14,3,0.21428571428571427
6,16,4,0,0.0
6,12,10,4,0.4
6,15,6,1,0.16666666666666666
6,19,2,0,0.0
6,20,2,0,0.0
6,37,1,0,0.0
6,17,4,0,0.0
7,2,405,348,0.8592592592592593
7,3,603,516,0.8557213930348259
7,4,489,399,0.8159509202453987
7,7,230,133,0.5782608695652174
7,5,404,276,0.6831683168316832
7,10,47,14,0.2978723404255319
7,18,1,0,0.0
7,6,312,199,0.6378205128205128
7,11,34,6,0.17647058823529413
7,13,17,1,0.058823529411764705
7,8,172,79,0.45930232558139533
7,9,91,37,0.4065934065934066
7,14,14,3,0.21428571428571427
7,16,4,0,0.0
7,12,10,3,0.3
7,15,6,1,0.16666666666666666
7,19,2,0,0.0
7,20,2,0,0.0
7,37,1,0,0.0
7,17,4,0,0.0
8,2,405,348,0.8592592592592593
8,3,603,516,0.8557213930348259
8,4,489,397,0.8118609406952966
8,7,230,132,0.5739130434782609
8,5,404,277,0.6856435643564357
8,10,47,14,0.2978723404255319
8,18,1,0,0.0
8,6,312,202,0.6474358974358975
8,11,34,6,0.17647058823529413
8,13,17,1,0.058823529411764705
8,8,172,77,0.4476744186046512
8,9,91,37,0.4065934065934066
8,14,14,3,0.21428571428571427
8,16,4,0,0.0
8,12,10,3,0.3
8,15,6,1,0.16666666666666666
8,19,2,0,0.0
8,20,2,0,0.0
8,37,1,0,0.0
8,17,4,0,0.0
9,2,405,348,0.8592592592592593
9,3,603,515,0.8540630182421227
9,4,489,397,0.8118609406952966
9,7,230,131,0.5695652173913044
9,5,404,279,0.6905940594059405
9,10,47,15,0.3191489361702128
9,18,1,0,0.0
9,6,312,202,0.6474358974358975
9,11,34,6,0.17647058823529413
9,13,17,1,0.058823529411764705
9,8,172,76,0.4418604651162791
9,9,91,37,0.4065934065934066
9,14,14,3,0.21428571428571427
9,16,4,1,0.25
9,12,10,4,0.4
9,15,6,1,0.16666666666666666
9,19,2,0,0.0
9,20,2,0,0.0
9,37,1,0,0.0
9,17,4,0,0.0
10,2,405,348,0.8592592592592593
10,3,603,515,0.8540630182421227
10,4,489,393,0.803680981595092
10,7,230,132,0.5739130434782609
10,5,404,273,0.6757425742574258
10,10,47,14,0.2978723404255319
10,18,1,0,0.0
10,6,312,202,0.6474358974358975
10,11,34,6,0.17647058823529413
10,13,17,1,0.058823529411764705
10,8,172,77,0.4476744186046512
10,9,91,37,0.4065934065934066
10,14,14,3,0.21428571428571427
10,16,4,0,0.0
10,12,10,4,0.4
10,15,6,1,0.16666666666666666
10,19,2,0,0.0
10,20,2,0,0.0
10,37,1,0,0.0
10,17,4,0,0.0
