iter,utterance_length,nb_utterances,produced,production_score
1,3,3166,2710,0.8559696778269109
1,4,1793,1382,0.7707752370329057
1,5,940,665,0.7074468085106383
1,2,4041,3622,0.8963127938629052
1,6,478,274,0.5732217573221757
1,7,237,125,0.5274261603375527
1,9,89,38,0.42696629213483145
1,13,13,5,0.38461538461538464
1,11,33,9,0.2727272727272727
1,8,134,68,0.5074626865671642
1,12,15,4,0.26666666666666666
1,10,44,11,0.25
1,16,4,2,0.5
1,19,3,0,0.0
1,14,11,1,0.09090909090909091
1,18,4,1,0.25
1,17,6,3,0.5
1,22,5,0,0.0
1,20,1,1,1.0
1,21,1,1,1.0
1,15,4,1,0.25
1,38,1,0,0.0
1,23,1,0,0.0
2,3,3166,2711,0.8562855337965888
2,4,1793,1383,0.7713329615170106
2,5,940,653,0.6946808510638298
2,2,4041,3622,0.8963127938629052
2,6,478,277,0.5794979079497908
2,7,237,125,0.5274261603375527
2,9,89,37,0.4157303370786517
2,13,13,5,0.38461538461538464
2,11,33,9,0.2727272727272727
2,8,134,70,0.5223880597014925
2,12,15,4,0.26666666666666666
2,10,44,12,0.2727272727272727
2,16,4,2,0.5
2,19,3,0,0.0
2,14,11,1,0.09090909090909091
2,18,4,1,0.25
2,17,6,3,0.5
2,22,5,0,0.0
2,20,1,1,1.0
2,21,1,1,1.0
2,15,4,1,0.25
2,38,1,0,0.0
2,23,1,0,0.0
3,3,3166,2712,0.8566013897662665
3,4,1793,1385,0.7724484104852203
3,5,940,663,0.7053191489361702
3,2,4041,3621,0.8960653303637713
3,6,478,277,0.5794979079497908
3,7,237,124,0.5232067510548524
3,9,89,38,0.42696629213483145
3,13,13,5,0.38461538461538464
3,11,33,9,0.2727272727272727
3,8,134,70,0.5223880597014925
3,12,15,4,0.26666666666666666
3,10,44,12,0.2727272727272727
3,16,4,2,0.5
3,19,3,0,0.0
3,14,11,1,0.09090909090909091
3,18,4,1,0.25
3,17,6,3,0.5
3,22,5,0,0.0
3,20,1,1,1.0
3,21,1,1,1.0
3,15,4,1,0.25
3,38,1,0,0.0
3,23,1,0,0.0
4,3,3166,2709,0.8556538218572332
4,4,1793,1389,0.7746793084216397
4,5,940,664,0.7063829787234043
4,2,4041,3621,0.8960653303637713
4,6,478,276,0.5774058577405857
4,7,237,126,0.5316455696202531
4,9,89,37,0.4157303370786517
4,13,13,5,0.38461538461538464
4,11,33,9,0.2727272727272727
4,8,134,67,0.5
4,12,15,4,0.26666666666666666
4,10,44,12,0.2727272727272727
4,16,4,2,0.5
4,19,3,0,0.0
4,14,11,1,0.09090909090909091
4,18,4,1,0.25
4,17,6,3,0.5
4,22,5,0,0.0
4,20,1,1,1.0
4,21,1,1,1.0
4,15,4,1,0.25
4,38,1,0,0.0
4,23,1,0,0.0
5,3,3166,2712,0.8566013897662665
5,4,1793,1385,0.7724484104852203
5,5,940,666,0.7085106382978723
5,2,4041,3621,0.8960653303637713
5,6,478,276,0.5774058577405857
5,7,237,127,0.5358649789029536
5,9,89,37,0.4157303370786517
5,13,13,5,0.38461538461538464
