iter,utterance_length,nb_utterances,produced,production_score
1,5,1052,623,0.5922053231939164
1,3,2668,2223,0.8332083958020989
1,2,2593,2386,0.9201696876205168
1,4,1650,1209,0.7327272727272728
1,7,344,121,0.35174418604651164
1,6,594,284,0.4781144781144781
1,12,43,1,0.023255813953488372
1,8,199,54,0.271356783919598
1,9,155,31,0.2
1,11,58,6,0.10344827586206896
1,14,13,0,0.0
1,13,17,1,0.058823529411764705
1,10,82,14,0.17073170731707318
1,28,1,0,0.0
1,17,12,0,0.0
1,15,15,0,0.0
1,30,1,0,0.0
1,20,2,0,0.0
1,16,8,0,0.0
1,19,1,0,0.0
1,35,1,0,0.0
1,21,1,0,0.0
1,18,3,0,0.0
1,29,1,0,0.0
2,5,1052,618,0.5874524714828897
2,3,2668,2221,0.8324587706146926
2,2,2593,2386,0.9201696876205168
2,4,1650,1205,0.7303030303030303
2,7,344,125,0.3633720930232558
2,6,594,279,0.4696969696969697
2,12,43,2,0.046511627906976744
2,8,199,53,0.2663316582914573
2,9,155,32,0.2064516129032258
2,11,58,7,0.1206896551724138
2,14,13,0,0.0
2,13,17,1,0.058823529411764705
2,10,82,15,0.18292682926829268
2,28,1,0,0.0
2,17,12,0,0.0
2,15,15,1,0.06666666666666667
2,30,1,0,0.0
2,20,2,0,0.0
2,16,8,0,0.0
2,19,1,0,0.0
2,35,1,0,0.0
2,21,1,0,0.0
2,18,3,0,0.0
2,29,1,0,0.0
3,5,1052,612,0.5817490494296578
3,3,2668,2223,0.8332083958020989
3,2,2593,2386,0.9201696876205168
3,4,1650,1203,0.7290909090909091
3,7,344,123,0.35755813953488375
3,6,594,275,0.46296296296296297
3,12,43,2,0.046511627906976744
3,8,199,52,0.2613065326633166
3,9,155,32,0.2064516129032258
3,11,58,6,0.10344827586206896
3,14,13,0,0.0
3,13,17,1,0.058823529411764705
3,10,82,14,0.17073170731707318
3,28,1,0,0.0
3,17,12,0,0.0
3,15,15,0,0.0
3,30,1,0,0.0
3,20,2,0,0.0
3,16,8,0,0.0
3,19,1,0,0.0
3,35,1,0,0.0
3,21,1,0,0.0
3,18,3,0,0.0
3,29,1,0,0.0
4,5,1052,618,0.5874524714828897
4,3,2668,2222,0.8328335832083958
4,2,2593,2386,0.9201696876205168
4,4,1650,1203,0.7290909090909091
4,7,344,118,0.3430232558139535
4,6,594,274,0.4612794612794613
4,12,43,2,0.046511627906976744
4,8,199,54,0.271356783919598
4,9,155,30,0.1935483870967742
4,11,58,8,0.13793103448275862
4,14,13,0,0.0
4,13,17,1,0.058823529411764705
4,10,82,15,0.18292682926829268
4,28,1,0,0.0
4,17,12,0,0.0
4,15,15,0,0.0
4,30,1,0,0.0
4,20,2,0,0.0
4,16,8,0,0.0
4,19,1,0,0.0
4,35,1,0,0.0
4,21,1,0,0.0
4,18,3,0,0.0
4,29,1,0,0.0
5,5,1052,617,0.5865019011406845
5,3,2668,2221,0.8324587706146926
5,2,2593,2386,0.9201696876205168
5,4,1650,1208,0.7321212121212122
5,7,344,122,0.3546511627906977
5,6,594,275,0.46296296296296297
5,12,43,3,0.06976744186046512
5,8,199,53,0.2663316582914573
5,9,155,32,0.2064516129032258
5,11,58,6,0.10344827586206896
5,14,13,0,0.0
5,13,17,1,0.058823529411764705
5,10,82,16,0.1951219512195122
5,28,1,0,0.0
5,17,12,0,0.0
5,15,15,0,0.0
5,30,1,0,0.0
5,20,2,0,0.0
5,16,8,0,0.0
5,19,1,0,0.0
5,35,1,0,0.0
5,21,1,0,0.0
5,18,3,0,0.0
5,29,1,0,0.0
6,5,1052,620,0.5893536121673004
6,3,2668,2221,0.8324587706146926
6,2,2593,2386,0.9201696876205168
6,4,1650,1208,0.7321212121212122
6,7,344,127,0.3691860465116279
6,6,594,276,0.46464646464646464
6,12,43,2,0.046511627906976744
6,8,199,55,0.27638190954773867
6,9,155,31,0.2
6,11,58,7,0.1206896551724138
6,14,13,0,0.0
6,13,17,1,0.058823529411764705
6,10,82,14,0.17073170731707318
6,28,1,0,0.0
6,17,12,0,0.0
6,15,15,0,0.0
6,30,1,0,0.0
6,20,2,0,0.0
6,16,8,0,0.0
6,19,1,0,0.0
6,35,1,0,0.0
6,21,1,0,0.0
6,18,3,0,0.0
6,29,1,0,0.0
7,5,1052,623,0.5922053231939164
7,3,2668,2221,0.8324587706146926
7,2,2593,2386,0.9201696876205168
7,4,1650,1205,0.7303030303030303
7,7,344,126,0.36627906976744184
7,6,594,274,0.4612794612794613
7,12,43,1,0.023255813953488372
7,8,199,53,0.2663316582914573
7,9,155,30,0.1935483870967742
7,11,58,7,0.1206896551724138
7,14,13,0,0.0
7,13,17,1,0.058823529411764705
7,10,82,14,0.17073170731707318
7,28,1,0,0.0
7,17,12,0,0.0
7,15,15,1,0.06666666666666667
7,30,1,0,0.0
7,20,2,0,0.0
7,16,8,0,0.0
7,19,1,0,0.0
7,35,1,0,0.0
7,21,1,0,0.0
7,18,3,0,0.0
7,29,1,0,0.0
8,5,1052,619,0.5884030418250951
8,3,2668,2222,0.8328335832083958
8,2,2593,2386,0.9201696876205168
8,4,1650,1206,0.730909090909091
8,7,344,121,0.35174418604651164
8,6,594,278,0.468013468013468
8,12,43,2,0.046511627906976744
8,8,199,54,0.271356783919598
8,9,155,30,0.1935483870967742
8,11,58,6,0.10344827586206896
8,14,13,0,0.0
8,13,17,1,0.058823529411764705
8,10,82,15,0.18292682926829268
8,28,1,0,0.0
8,17,12,0,0.0
8,15,15,0,0.0
8,30,1,0,0.0
8,20,2,0,0.0
8,16,8,0,0.0
8,19,1,0,0.0
8,35,1,0,0.0
8,21,1,0,0.0
8,18,3,0,0.0
8,29,1,0,0.0
9,5,1052,612,0.5817490494296578
9,3,2668,2221,0.8324587706146926
9,2,2593,2386,0.9201696876205168
9,4,1650,1208,0.7321212121212122
9,7,344,126,0.36627906976744184
9,6,594,276,0.46464646464646464
9,12,43,3,0.06976744186046512
9,8,199,53,0.2663316582914573
9,9,155,31,0.2
9,11,58,7,0.1206896551724138
9,14,13,0,0.0
9,13,17,1,0.058823529411764705
9,10,82,14,0.17073170731707318
9,28,1,0,0.0
9,17,12,0,0.0
9,15,15,0,0.0
9,30,1,0,0.0
9,20,2,0,0.0
9,16,8,0,0.0
9,19,1,0,0.0
9,35,1,0,0.0
9,21,1,0,0.0
9,18,3,0,0.0
9,29,1,0,0.0
10,5,1052,618,0.5874524714828897
10,3,2668,2221,0.8324587706146926
10,2,2593,2386,0.9201696876205168
10,4,1650,1207,0.7315151515151516
10,7,344,121,0.35174418604651164
10,6,594,278,0.468013468013468
10,12,43,2,0.046511627906976744
10,8,199,56,0.2814070351758794
10,9,155,30,0.1935483870967742
10,11,58,7,0.1206896551724138
10,14,13,0,0.0
10,13,17,1,0.058823529411764705
10,10,82,14,0.17073170731707318
10,28,1,0,0.0
10,17,12,0,0.0
10,15,15,0,0.0
10,30,1,0,0.0
10,20,2,0,0.0
10,16,8,0,0.0
10,19,1,0,0.0
10,35,1,0,0.0
10,21,1,0,0.0
10,18,3,0,0.0
10,29,1,0,0.0
